Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,Age Group,Deaths,Population,Standard Weight,Crude Rate,AAMR
,Influenza and pneumonia,J09-J18,2010,2010,<25,82.0,104853555.0,0.353346,0.07820431076466602,0.07714643500838697
,Influenza and pneumonia,J09-J18,2010,2010,25-44,263.0,82134554.0,0.298186,0.3202062800511463,0.3245059218372587
,Influenza and pneumonia,J09-J18,2010,2010,45-64,1016.0,81489445.0,0.22208100000000003,1.246787237291897,1.1964010827303018
,Influenza and pneumonia,J09-J18,2010,2010,65+,1838.0,40267984.0,0.126387,4.564420210358681,4.58780024779631
,Influenza and pneumonia,J09-J18,2011,2011,<25,103.0,101002444.0,0.339528,0.10197773036066335,0.10016418744368026
,Influenza and pneumonia,J09-J18,2011,2011,25-44,310.0,82418452.0,0.298186,0.37612936481748044,0.3840610207650951
,Influenza and pneumonia,J09-J18,2011,2011,45-64,1111.0,82780343.0,0.22208100000000003,1.3421060601307246,1.2909419847197359
,Influenza and pneumonia,J09-J18,2011,2011,65+,1848.0,41394141.0,0.126387,4.464399925583671,4.481884581950818
,Influenza and pneumonia,J09-J18,2012,2012,<25,65.0,89031736.0,0.298029,0.0730076744768854,0.07177094313351177
,Influenza and pneumonia,J09-J18,2012,2012,25-44,222.0,82825741.0,0.298186,0.2680326156091981,0.27519746601606776
,Influenza and pneumonia,J09-J18,2012,2012,45-64,1007.0,82854940.0,0.22208100000000003,1.2153771398543043,1.1538836862252368
,Influenza and pneumonia,J09-J18,2012,2012,65+,1785.0,43145356.0,0.126387,4.137177591025092,4.204465499146755
,Influenza and pneumonia,J09-J18,2013,2013,<25,76.0,101101742.0,0.339528,0.07517180069953691,0.07409110758256438
,Influenza and pneumonia,J09-J18,2013,2013,25-44,300.0,83297277.0,0.298186,0.3601558307842404,0.3725812536384735
,Influenza and pneumonia,J09-J18,2013,2013,45-64,1174.0,83083963.0,0.22208100000000003,1.4130284083824938,1.3344865982383811
,Influenza and pneumonia,J09-J18,2013,2013,65+,1970.0,44704074.0,0.126387,4.406757200697189,4.465001816502658
