Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,Month,Month Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate
,Influenza and pneumonia,J09-J18,2010,2010,"Jan., 2010",2010/01,351.0,308745538.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2010,2010,"Feb., 2010",2010/02,298.0,308745538.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2010,2010,"Mar., 2010",2010/03,338.0,308745538.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2010,2010,"Apr., 2010",2010/04,283.0,308745538.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2010,2010,"May, 2010",2010/05,259.0,308745538.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2010,2010,"Jun., 2010",2010/06,217.0,308745538.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2010,2010,"Jul., 2010",2010/07,227.0,308745538.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2010,2010,"Aug., 2010",2010/08,234.0,308745538.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2010,2010,"Sep., 2010",2010/09,236.0,308745538.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2010,2010,"Oct., 2010",2010/10,261.0,308745538.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2010,2010,"Nov., 2010",2010/11,227.0,308745538.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2010,2010,"Dec., 2010",2010/12,268.0,308745538.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2011,2011,"Jan., 2011",2011/01,370.0,311591917.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2011,2011,"Feb., 2011",2011/02,365.0,311591917.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2011,2011,"Mar., 2011",2011/03,409.0,311591917.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2011,2011,"Apr., 2011",2011/04,282.0,311591917.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2011,2011,"May, 2011",2011/05,285.0,311591917.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2011,2011,"Jun., 2011",2011/06,218.0,311591917.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2011,2011,"Jul., 2011",2011/07,214.0,311591917.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2011,2011,"Aug., 2011",2011/08,218.0,311591917.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2011,2011,"Sep., 2011",2011/09,219.0,311591917.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2011,2011,"Oct., 2011",2011/10,252.0,311591917.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2011,2011,"Nov., 2011",2011/11,239.0,311591917.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2011,2011,"Dec., 2011",2011/12,307.0,311591917.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2012,2012,"Jan., 2012",2012/01,291.0,313914040.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2012,2012,"Feb., 2012",2012/02,268.0,313914040.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2012,2012,"Mar., 2012",2012/03,303.0,313914040.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2012,2012,"Apr., 2012",2012/04,261.0,313914040.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2012,2012,"May, 2012",2012/05,251.0,313914040.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2012,2012,"Jun., 2012",2012/06,220.0,313914040.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2012,2012,"Jul., 2012",2012/07,212.0,313914040.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2012,2012,"Aug., 2012",2012/08,239.0,313914040.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2012,2012,"Sep., 2012",2012/09,215.0,313914040.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2012,2012,"Oct., 2012",2012/10,273.0,313914040.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2012,2012,"Nov., 2012",2012/11,250.0,313914040.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2012,2012,"Dec., 2012",2012/12,303.0,313914040.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2013,2013,"Jan., 2013",2013/01,398.0,316128839.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2013,2013,"Feb., 2013",2013/02,320.0,316128839.0,0.1,Not Applicable,Not Applicable,0.1
,Influenza and pneumonia,J09-J18,2013,2013,"Mar., 2013",2013/03,327.0,316128839.0,0.1,Not Applicable,Not Applicable,0.1
