Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,Place of Death,Place of Death Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,Influenza and pneumonia,J09-J18,2010,2010,Medical Facility - Inpatient,1.0,3071,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2010,2010,Medical Facility - Outpatient or ER,2.0,40,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2010,2010,Medical Facility - Dead on Arrival,3.0,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2010,2010,Decedent's home,4.0,27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2010,2010,Hospice facility,5.0,17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2010,2010,Nursing home/long term care,6.0,31,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2010,2010,Other,7.0,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2010,2010,Place of death unknown,9.0,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2011,2011,Medical Facility - Inpatient,1.0,3241,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2011,2011,Medical Facility - Outpatient or ER,2.0,35,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2011,2011,Medical Facility - Dead on Arrival,3.0,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2011,2011,Decedent's home,4.0,25,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2011,2011,Hospice facility,5.0,19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2011,2011,Nursing home/long term care,6.0,36,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2011,2011,Other,7.0,19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2011,2011,Place of death unknown,9.0,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2012,2012,Medical Facility - Inpatient,1.0,2952,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2012,2012,Medical Facility - Outpatient or ER,2.0,46,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2012,2012,Decedent's home,4.0,19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2012,2012,Hospice facility,5.0,26,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2012,2012,Nursing home/long term care,6.0,30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2012,2012,Other,7.0,10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2012,2012,Place of death unknown,9.0,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2013,2013,Medical Facility - Inpatient,1.0,3395,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2013,2013,Medical Facility - Outpatient or ER,2.0,46,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2013,2013,Medical Facility - Dead on Arrival,3.0,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2013,2013,Decedent's home,4.0,17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2013,2013,Hospice facility,5.0,19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2013,2013,Nursing home/long term care,6.0,31,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2013,2013,Other,7.0,10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2013,2013,Place of death unknown,9.0,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2014,2014,Medical Facility - Inpatient,1.0,3717,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2014,2014,Medical Facility - Outpatient or ER,2.0,35,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2014,2014,Decedent's home,4.0,23,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2014,2014,Hospice facility,5.0,27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2014,2014,Nursing home/long term care,6.0,28,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2014,2014,Other,7.0,17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2014,2014,Place of death unknown,9.0,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2015,2015,Medical Facility - Inpatient,1.0,3488,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2015,2015,Medical Facility - Outpatient or ER,2.0,50,Not Applicable,Not Applicable,Not Applicable,Not Applicable
