Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval,Race 6,Race 6 Code
,Influenza and pneumonia,J09-J18,2010,2010,56.0,4263538.0,1.3,1.0,1.7,2.1,1.5,2.8,American Indian or Alaska Native,1002-5
,Influenza and pneumonia,J09-J18,2010,2010,152.0,16993326.0,0.9,0.8,1.0,1.2,1.0,1.4,Asian,A-PI
,Influenza and pneumonia,J09-J18,2010,2010,336.0,42065334.0,0.8,0.7,0.9,0.9,0.8,1.0,Black or African American,2054-5
,Influenza and pneumonia,J09-J18,2010,2010,2655.0,245423340.0,1.1,1.0,1.1,1.0,0.9,1.0,White,2106-3
,Influenza and pneumonia,J09-J18,2011,2011,42.0,4347413.0,1.0,0.7,1.3,1.5,1.0,2.1,American Indian or Alaska Native,1002-5
,Influenza and pneumonia,J09-J18,2011,2011,115.0,17471358.0,0.7,0.5,0.8,0.9,0.7,1.0,Asian,A-PI
,Influenza and pneumonia,J09-J18,2011,2011,393.0,42678815.0,0.9,0.8,1.0,1.1,1.0,1.2,Black or African American,2054-5
,Influenza and pneumonia,J09-J18,2011,2011,2828.0,247094331.0,1.1,1.1,1.2,1.0,0.9,1.0,White,2106-3
,Influenza and pneumonia,J09-J18,2012,2012,34.0,4398436.0,0.8,0.5,1.1,1.2,0.8,1.8,American Indian or Alaska Native,1002-5
,Influenza and pneumonia,J09-J18,2012,2012,144.0,18087959.0,0.8,0.7,0.9,1.0,0.8,1.2,Asian,A-PI
,Influenza and pneumonia,J09-J18,2012,2012,374.0,43203092.0,0.9,0.8,1.0,1.0,0.9,1.1,Black or African American,2054-5
,Influenza and pneumonia,J09-J18,2012,2012,2534.0,248224553.0,1.0,1.0,1.1,0.9,0.8,0.9,White,2106-3
,Influenza and pneumonia,J09-J18,2013,2013,58.0,4457934.0,1.3,1.0,1.7,1.9,1.4,2.5,American Indian or Alaska Native,1002-5
,Influenza and pneumonia,J09-J18,2013,2013,168.0,18630136.0,0.9,0.8,1.0,1.1,0.9,1.3,Asian,A-PI
,Influenza and pneumonia,J09-J18,2013,2013,402.0,43696271.0,0.9,0.8,1.0,1.1,1.0,1.2,Black or African American,2054-5
,Influenza and pneumonia,J09-J18,2013,2013,2899.0,249344498.0,1.2,1.1,1.2,1.0,1.0,1.0,White,2106-3
,Influenza and pneumonia,J09-J18,2014,2014,62.0,4518981.0,1.4,1.1,1.8,1.9,1.5,2.5,American Indian or Alaska Native,1002-5
,Influenza and pneumonia,J09-J18,2014,2014,157.0,19398214.0,0.8,0.7,0.9,1.0,0.8,1.1,Asian,A-PI
,Influenza and pneumonia,J09-J18,2014,2014,435.0,44309394.0,1.0,0.9,1.1,1.1,1.0,1.2,Black or African American,2054-5
,Influenza and pneumonia,J09-J18,2014,2014,3195.0,250630467.0,1.3,1.2,1.3,1.1,1.0,1.1,White,2106-3
,Influenza and pneumonia,J09-J18,2015,2015,65.0,4577853.0,1.4,1.1,1.8,1.8,1.3,2.3,American Indian or Alaska Native,1002-5
,Influenza and pneumonia,J09-J18,2015,2015,161.0,20102717.0,0.8,0.7,0.9,0.9,0.8,1.1,Asian,A-PI
,Influenza and pneumonia,J09-J18,2015,2015,431.0,44863196.0,1.0,0.9,1.1,1.0,0.9,1.1,Black or African American,2054-5
,Influenza and pneumonia,J09-J18,2015,2015,2964.0,251875054.0,1.2,1.1,1.2,1.0,0.9,1.0,White,2106-3
,Influenza and pneumonia,J09-J18,2016,2016,61.0,4630155.0,1.3,1.0,1.7,1.6,1.2,2.1,American Indian or Alaska Native,1002-5
,Influenza and pneumonia,J09-J18,2016,2016,175.0,20487524.0,0.9,0.7,1.0,0.9,0.8,1.1,Asian,A-PI
,Influenza and pneumonia,J09-J18,2016,2016,449.0,45307020.0,1.0,0.9,1.1,1.1,1.0,1.2,Black or African American,2054-5
,Influenza and pneumonia,J09-J18,2016,2016,3104.0,252702814.0,1.2,1.2,1.3,1.0,1.0,1.1,White,2106-3
,Influenza and pneumonia,J09-J18,2017,2017,55.0,4689047.0,1.2,0.9,1.5,1.5,1.1,1.9,American Indian or Alaska Native,1002-5
,Influenza and pneumonia,J09-J18,2017,2017,181.0,21210673.0,0.9,0.7,1.0,0.9,0.8,1.1,Asian,A-PI
,Influenza and pneumonia,J09-J18,2017,2017,447.0,45883808.0,1.0,0.9,1.1,1.0,0.9,1.1,Black or African American,2054-5
