Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,Sex,Sex Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,Influenza and pneumonia,J09-J18,2010,2010,Female,F,1539.0,156964212.0,1.0,0.9,1.0,0.8,,
,Influenza and pneumonia,J09-J18,2010,2010,Male,M,1660.0,151781326.0,1.1,1.0,1.1,1.1,,
Total,Influenza and pneumonia,J09-J18,2010,2010,,,3199.0,308745538.0,1.0,1.0,1.1,1.0,,
,Influenza and pneumonia,J09-J18,2011,2011,Female,F,1650.0,158301098.0,1.0,1.0,1.1,0.9,,
,Influenza and pneumonia,J09-J18,2011,2011,Male,M,1728.0,153290819.0,1.1,1.1,1.2,1.1,,
Total,Influenza and pneumonia,J09-J18,2011,2011,,,3378.0,311591917.0,1.1,1.0,1.1,1.0,,
,Influenza and pneumonia,J09-J18,2012,2012,Female,F,1527.0,159421973.0,1.0,0.9,1.0,0.8,,
,Influenza and pneumonia,J09-J18,2012,2012,Male,M,1559.0,154492067.0,1.0,1.0,1.1,1.0,,
Total,Influenza and pneumonia,J09-J18,2012,2012,,,3086.0,313914040.0,1.0,0.9,1.0,0.9,,
,Influenza and pneumonia,J09-J18,2013,2013,Female,F,1706.0,160477237.0,1.1,1.0,1.1,0.9,,
,Influenza and pneumonia,J09-J18,2013,2013,Male,M,1821.0,155651602.0,1.2,1.1,1.2,1.1,,
Total,Influenza and pneumonia,J09-J18,2013,2013,,,3527.0,316128839.0,1.1,1.1,1.2,1.0,,
,Influenza and pneumonia,J09-J18,2014,2014,Female,F,1894.0,161920569.0,1.2,1.1,1.2,1.0,,
,Influenza and pneumonia,J09-J18,2014,2014,Male,M,1955.0,156936487.0,1.2,1.2,1.3,1.2,,
Total,Influenza and pneumonia,J09-J18,2014,2014,,,3849.0,318857056.0,1.2,1.2,1.2,1.1,,
,Influenza and pneumonia,J09-J18,2015,2015,Female,F,1671.0,163189523.0,1.0,1.0,1.1,0.9,,
,Influenza and pneumonia,J09-J18,2015,2015,Male,M,1950.0,158229297.0,1.2,1.2,1.3,1.2,,
Total,Influenza and pneumonia,J09-J18,2015,2015,,,3621.0,321418820.0,1.1,1.1,1.2,1.0,,
,Influenza and pneumonia,J09-J18,2016,2016,Female,F,1816.0,164048590.0,1.1,1.1,1.2,0.9,,
,Influenza and pneumonia,J09-J18,2016,2016,Male,M,1973.0,159078923.0,1.2,1.2,1.3,1.2,,
Total,Influenza and pneumonia,J09-J18,2016,2016,,,3789.0,323127513.0,1.2,1.1,1.2,1.0,,
,Influenza and pneumonia,J09-J18,2017,2017,Female,F,1756.0,165311059.0,1.1,1.0,1.1,0.8,,
,Influenza and pneumonia,J09-J18,2017,2017,Male,M,1951.0,160408119.0,1.2,1.2,1.3,1.1,,
Total,Influenza and pneumonia,J09-J18,2017,2017,,,3707.0,325719178.0,1.1,1.1,1.2,1.0,,
Total,Influenza and pneumonia,J09-J18,,,,,28156.0,2539502901.0,1.1,1.1,1.1,1.0,,
,Influenza and pneumonia,J09-J18,2018,2018,Female,F,1809.0,166038755.0,1.1,1.0,1.1,0.9,0.8,0.9
,Influenza and pneumonia,J09-J18,2018,2018,Male,M,1941.0,161128679.0,1.2,1.2,1.3,1.1,1.1,1.2
Total,Influenza and pneumonia,J09-J18,2018,2018,,,3750.0,327167434.0,1.1,1.1,1.2,1.0,0.9,1.0
,Influenza and pneumonia,J09-J18,2019,2019,Female,F,1709.0,166582199.0,1.0,1.0,1.1,0.8,0.8,0.8
,Influenza and pneumonia,J09-J18,2019,2019,Male,M,1877.0,161657324.0,1.2,1.1,1.2,1.0,1.0,1.1
Total,Influenza and pneumonia,J09-J18,2019,2019,,,3586.0,328239523.0,1.1,1.1,1.1,0.9,0.9,1.0
,Influenza and pneumonia,J09-J18,2020,2020,Female,F,12115.0,167227921.0,7.2,7.1,7.4,5.3,5.2,5.4
,Influenza and pneumonia,J09-J18,2020,2020,Male,M,18271.0,162256202.0,11.3,11.1,11.4,9.9,9.7,10.0
Total,Influenza and pneumonia,J09-J18,2020,2020,,,30386.0,329484123.0,9.2,9.1,9.3,7.4,7.3,7.5
,Influenza and pneumonia,J09-J18,2021,2021,Female,F,15688.0,167509003.0,9.4,9.2,9.5,7.4,7.3,7.5
,Influenza and pneumonia,J09-J18,2021,2021,Male,M,23563.0,164384742.0,14.3,14.2,14.5,12.5,12.4,12.7
