Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,State,State Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,Influenza and pneumonia,J09-J18,2010,2010,Alabama,1.0,86,4779736.0,1.8,1.4,2.2,1.7,1.3,2.1
,Influenza and pneumonia,J09-J18,2010,2010,Alaska,2.0,Suppressed,710231.0,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,Influenza and pneumonia,J09-J18,2010,2010,Arizona,4.0,69,6392017.0,1.1,0.8,1.4,1.0,0.8,1.3
,Influenza and pneumonia,J09-J18,2010,2010,Arkansas,5.0,50,2915918.0,1.7,1.3,2.3,1.5,1.1,2.0
,Influenza and pneumonia,J09-J18,2010,2010,California,6.0,410,37253956.0,1.1,1.0,1.2,1.1,1.0,1.3
,Influenza and pneumonia,J09-J18,2010,2010,Colorado,8.0,38,5029196.0,0.8,0.5,1.0,0.8,0.5,1.1
,Influenza and pneumonia,J09-J18,2010,2010,Connecticut,9.0,33,3574097.0,0.9,0.6,1.3,0.7,0.5,1.1
,Influenza and pneumonia,J09-J18,2010,2010,Delaware,10.0,Suppressed,897934.0,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,Influenza and pneumonia,J09-J18,2010,2010,District of Columbia,11.0,Suppressed,601723.0,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,Influenza and pneumonia,J09-J18,2010,2010,Florida,12.0,204,18801310.0,1.1,0.9,1.2,0.8,0.7,1.0
,Influenza and pneumonia,J09-J18,2010,2010,Georgia,13.0,104,9687653.0,1.1,0.9,1.3,1.1,0.9,1.4
,Influenza and pneumonia,J09-J18,2010,2010,Hawaii,15.0,22,1360301.0,1.6,1.0,2.4,1.3,0.8,2.0
,Influenza and pneumonia,J09-J18,2010,2010,Idaho,16.0,14,1567582.0,Unreliable,0.5,1.5,Unreliable,0.5,1.6
,Influenza and pneumonia,J09-J18,2010,2010,Illinois,17.0,118,12830632.0,0.9,0.8,1.1,0.9,0.7,1.0
,Influenza and pneumonia,J09-J18,2010,2010,Indiana,18.0,57,6483802.0,0.9,0.7,1.1,0.8,0.6,1.0
,Influenza and pneumonia,J09-J18,2010,2010,Iowa,19.0,31,3046355.0,1.0,0.7,1.4,0.8,0.6,1.2
,Influenza and pneumonia,J09-J18,2010,2010,Kansas,20.0,28,2853118.0,1.0,0.7,1.4,0.9,0.6,1.3
,Influenza and pneumonia,J09-J18,2010,2010,Kentucky,21.0,61,4339367.0,1.4,1.1,1.8,1.2,0.9,1.6
,Influenza and pneumonia,J09-J18,2010,2010,Louisiana,22.0,41,4533372.0,0.9,0.6,1.2,0.9,0.7,1.3
,Influenza and pneumonia,J09-J18,2010,2010,Maine,23.0,12,1328361.0,Unreliable,0.5,1.6,Unreliable,0.4,1.4
,Influenza and pneumonia,J09-J18,2010,2010,Maryland,24.0,64,5773552.0,1.1,0.9,1.4,1.1,0.8,1.4
,Influenza and pneumonia,J09-J18,2010,2010,Massachusetts,25.0,70,6547629.0,1.1,0.8,1.4,1.0,0.7,1.2
,Influenza and pneumonia,J09-J18,2010,2010,Michigan,26.0,97,9883640.0,1.0,0.8,1.2,0.9,0.7,1.0
,Influenza and pneumonia,J09-J18,2010,2010,Minnesota,27.0,43,5303925.0,0.8,0.6,1.1,0.8,0.5,1.0
,Influenza and pneumonia,J09-J18,2010,2010,Mississippi,28.0,49,2967297.0,1.7,1.2,2.2,1.6,1.2,2.1
,Influenza and pneumonia,J09-J18,2010,2010,Missouri,29.0,54,5988927.0,0.9,0.7,1.2,0.8,0.6,1.0
,Influenza and pneumonia,J09-J18,2010,2010,Montana,30.0,Suppressed,989415.0,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,Influenza and pneumonia,J09-J18,2010,2010,Nebraska,31.0,20,1826341.0,1.1,0.7,1.7,1.0,0.6,1.6
,Influenza and pneumonia,J09-J18,2010,2010,Nevada,32.0,24,2700551.0,0.9,0.6,1.3,0.9,0.6,1.3
,Influenza and pneumonia,J09-J18,2010,2010,New Hampshire,33.0,23,1316470.0,1.7,1.1,2.6,1.7,1.1,2.5
,Influenza and pneumonia,J09-J18,2010,2010,New Jersey,34.0,70,8791894.0,0.8,0.6,1.0,0.7,0.6,0.9
,Influenza and pneumonia,J09-J18,2010,2010,New Mexico,35.0,26,2059179.0,1.3,0.8,1.9,1.2,0.8,1.8
,Influenza and pneumonia,J09-J18,2010,2010,New York,36.0,137,19378102.0,0.7,0.6,0.8,0.6,0.5,0.7
,Influenza and pneumonia,J09-J18,2010,2010,North Carolina,37.0,117,9535483.0,1.2,1.0,1.4,1.2,1.0,1.4
,Influenza and pneumonia,J09-J18,2010,2010,North Dakota,38.0,Suppressed,672591.0,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,Influenza and pneumonia,J09-J18,2010,2010,Ohio,39.0,118,11536504.0,1.0,0.8,1.2,0.9,0.8,1.1
,Influenza and pneumonia,J09-J18,2010,2010,Oklahoma,40.0,42,3751351.0,1.1,0.8,1.5,1.1,0.8,1.5
,Influenza and pneumonia,J09-J18,2010,2010,Oregon,41.0,40,3831074.0,1.0,0.7,1.4,0.9,0.6,1.2
,Influenza and pneumonia,J09-J18,2010,2010,Pennsylvania,42.0,118,12702379.0,0.9,0.8,1.1,0.8,0.6,0.9
,Influenza and pneumonia,J09-J18,2010,2010,Rhode Island,44.0,15,1052567.0,Unreliable,0.8,2.4,Unreliable,0.7,2.1
,Influenza and pneumonia,J09-J18,2010,2010,South Carolina,45.0,51,4625364.0,1.1,0.8,1.4,1.0,0.8,1.4
,Influenza and pneumonia,J09-J18,2010,2010,South Dakota,46.0,Suppressed,814180.0,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,Influenza and pneumonia,J09-J18,2010,2010,Tennessee,47.0,107,6346105.0,1.7,1.4,2.0,1.6,1.3,1.9
,Influenza and pneumonia,J09-J18,2010,2010,Texas,48.0,245,25145561.0,1.0,0.9,1.1,1.1,0.9,1.2
