Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,Month,Month Code,Deaths,Population,Crude Rate,Age Adjusted Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,Other bacterial diseases,A30-A49,2010,2010,"Jan., 2010",2010/01,3278.0,308745538.0,1.1,1.0,,,,
,Other bacterial diseases,A30-A49,2010,2010,"Feb., 2010",2010/02,2767.0,308745538.0,0.9,0.8,,,,
,Other bacterial diseases,A30-A49,2010,2010,"Mar., 2010",2010/03,3129.0,308745538.0,1.0,0.9,,,,
,Other bacterial diseases,A30-A49,2010,2010,"Apr., 2010",2010/04,2676.0,308745538.0,0.9,0.8,,,,
,Other bacterial diseases,A30-A49,2010,2010,"May, 2010",2010/05,2569.0,308745538.0,0.8,0.8,,,,
,Other bacterial diseases,A30-A49,2010,2010,"Jun., 2010",2010/06,2473.0,308745538.0,0.8,0.7,,,,
,Other bacterial diseases,A30-A49,2010,2010,"Jul., 2010",2010/07,2353.0,308745538.0,0.8,0.7,,,,
,Other bacterial diseases,A30-A49,2010,2010,"Aug., 2010",2010/08,2400.0,308745538.0,0.8,0.7,,,,
,Other bacterial diseases,A30-A49,2010,2010,"Sep., 2010",2010/09,2461.0,308745538.0,0.8,0.7,,,,
,Other bacterial diseases,A30-A49,2010,2010,"Oct., 2010",2010/10,2573.0,308745538.0,0.8,0.8,,,,
,Other bacterial diseases,A30-A49,2010,2010,"Nov., 2010",2010/11,2817.0,308745538.0,0.9,0.8,,,,
,Other bacterial diseases,A30-A49,2010,2010,"Dec., 2010",2010/12,3129.0,308745538.0,1.0,0.9,,,,
,Other bacterial diseases,A30-A49,2011,2011,"Jan., 2011",2011/01,3647.0,311591917.0,1.2,1.1,,,,
,Other bacterial diseases,A30-A49,2011,2011,"Feb., 2011",2011/02,3530.0,311591917.0,1.1,1.0,,,,
,Other bacterial diseases,A30-A49,2011,2011,"Mar., 2011",2011/03,3517.0,311591917.0,1.1,1.0,,,,
,Other bacterial diseases,A30-A49,2011,2011,"Apr., 2011",2011/04,2971.0,311591917.0,1.0,0.9,,,,
,Other bacterial diseases,A30-A49,2011,2011,"May, 2011",2011/05,2842.0,311591917.0,0.9,0.8,,,,
,Other bacterial diseases,A30-A49,2011,2011,"Jun., 2011",2011/06,2633.0,311591917.0,0.8,0.8,,,,
,Other bacterial diseases,A30-A49,2011,2011,"Jul., 2011",2011/07,2571.0,311591917.0,0.8,0.8,,,,
,Other bacterial diseases,A30-A49,2011,2011,"Aug., 2011",2011/08,2437.0,311591917.0,0.8,0.7,,,,
,Other bacterial diseases,A30-A49,2011,2011,"Sep., 2011",2011/09,2511.0,311591917.0,0.8,0.7,,,,
