Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,Place of Death,Place of Death Code,Deaths,Population,Crude Rate,Age Adjusted Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,Other bacterial diseases,A30-A49,2010,2010,Medical Facility - Inpatient,1.0,28304,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2010,2010,Medical Facility - Outpatient or ER,2.0,993,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2010,2010,Medical Facility - Dead on Arrival,3.0,25,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2010,2010,Medical Facility - Status unknown,10.0,Missing,Missing,Missing,Missing,,,,
,Other bacterial diseases,A30-A49,2010,2010,Decedent's home,4.0,534,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2010,2010,Hospice facility,5.0,603,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2010,2010,Nursing home/long term care,6.0,1814,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2010,2010,Other,7.0,315,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2010,2010,Place of death unknown,9.0,37,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2011,2011,Medical Facility - Inpatient,1.0,30541,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2011,2011,Medical Facility - Outpatient or ER,2.0,1073,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2011,2011,Medical Facility - Dead on Arrival,3.0,20,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2011,2011,Medical Facility - Status unknown,10.0,Missing,Missing,Missing,Missing,,,,
,Other bacterial diseases,A30-A49,2011,2011,Decedent's home,4.0,634,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2011,2011,Hospice facility,5.0,748,Not Applicable,Not Applicable,Not Applicable,,,,
