Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,Deaths,Population,Crude Rate,Age Adjusted Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval,Race 6,Race 6 Code
,Other bacterial diseases,A30-A49,2010,2010,264.0,4263538.0,6.2,11.0,,,,,American Indian or Alaska Native,1002-5
,Other bacterial diseases,A30-A49,2010,2010,1147.0,16993326.0,6.7,10.0,,,,,Asian,A-PI
,Other bacterial diseases,A30-A49,2010,2010,4621.0,42065334.0,11.0,15.2,,,,,Black or African American,2054-5
,Other bacterial diseases,A30-A49,2010,2010,26593.0,245423340.0,10.8,9.3,,,,,White,2106-3
,Other bacterial diseases,A30-A49,2011,2011,320.0,4347413.0,7.4,12.7,,,,,American Indian or Alaska Native,1002-5
,Other bacterial diseases,A30-A49,2011,2011,1216.0,17471358.0,7.0,9.8,,,,,Asian,A-PI
,Other bacterial diseases,A30-A49,2011,2011,4930.0,42678815.0,11.6,15.6,,,,,Black or African American,2054-5
,Other bacterial diseases,A30-A49,2011,2011,28814.0,247094331.0,11.7,9.8,,,,,White,2106-3
,Other bacterial diseases,A30-A49,2012,2012,312.0,4398436.0,7.1,12.5,,,,,American Indian or Alaska Native,1002-5
,Other bacterial diseases,A30-A49,2012,2012,1262.0,18087959.0,7.0,9.6,,,,,Asian,A-PI
,Other bacterial diseases,A30-A49,2012,2012,4962.0,43203092.0,11.5,15.1,,,,,Black or African American,2054-5
,Other bacterial diseases,A30-A49,2012,2012,28526.0,248224553.0,11.5,9.5,,,,,White,2106-3
,Other bacterial diseases,A30-A49,2013,2013,334.0,4457934.0,7.5,12.0,,,,,American Indian or Alaska Native,1002-5
,Other bacterial diseases,A30-A49,2013,2013,1414.0,18630136.0,7.6,9.9,,,,,Asian,A-PI
,Other bacterial diseases,A30-A49,2013,2013,5420.0,43696271.0,12.4,15.9,,,,,Black or African American,2054-5
,Other bacterial diseases,A30-A49,2013,2013,31103.0,249344498.0,12.5,10.2,,,,,White,2106-3
