Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,State,State Code,Deaths,Population,Crude Rate,Age Adjusted Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,Other bacterial diseases,A30-A49,2010,2010,Alabama,1.0,567.0,4779736.0,11.9,11.1,,,,
,Other bacterial diseases,A30-A49,2010,2010,Alaska,2.0,29.0,710231.0,4.1,6.1,,,,
,Other bacterial diseases,A30-A49,2010,2010,Arizona,4.0,569.0,6392017.0,8.9,8.4,,,,
,Other bacterial diseases,A30-A49,2010,2010,Arkansas,5.0,348.0,2915918.0,11.9,10.6,,,,
,Other bacterial diseases,A30-A49,2010,2010,California,6.0,4674.0,37253956.0,12.5,13.0,,,,
,Other bacterial diseases,A30-A49,2010,2010,Colorado,8.0,252.0,5029196.0,5.0,5.5,,,,
,Other bacterial diseases,A30-A49,2010,2010,Connecticut,9.0,376.0,3574097.0,10.5,8.4,,,,
,Other bacterial diseases,A30-A49,2010,2010,Delaware,10.0,108.0,897934.0,12.0,10.5,,,,
,Other bacterial diseases,A30-A49,2010,2010,District of Columbia,11.0,104.0,601723.0,17.3,17.9,,,,
,Other bacterial diseases,A30-A49,2010,2010,Florida,12.0,1632.0,18801310.0,8.7,6.5,,,,
,Other bacterial diseases,A30-A49,2010,2010,Georgia,13.0,971.0,9687653.0,10.0,11.7,,,,
,Other bacterial diseases,A30-A49,2010,2010,Hawaii,15.0,139.0,1360301.0,10.2,8.4,,,,
,Other bacterial diseases,A30-A49,2010,2010,Idaho,16.0,76.0,1567582.0,4.8,4.9,,,,
,Other bacterial diseases,A30-A49,2010,2010,Illinois,17.0,1334.0,12830632.0,10.4,9.9,,,,
,Other bacterial diseases,A30-A49,2010,2010,Indiana,18.0,609.0,6483802.0,9.4,8.8,,,,
,Other bacterial diseases,A30-A49,2010,2010,Iowa,19.0,211.0,3046355.0,6.9,5.5,,,,
,Other bacterial diseases,A30-A49,2010,2010,Kansas,20.0,215.0,2853118.0,7.5,6.7,,,,
,Other bacterial diseases,A30-A49,2010,2010,Kentucky,21.0,662.0,4339367.0,15.3,14.4,,,,
,Other bacterial diseases,A30-A49,2010,2010,Louisiana,22.0,509.0,4533372.0,11.2,11.5,,,,
,Other bacterial diseases,A30-A49,2010,2010,Maine,23.0,114.0,1328361.0,8.6,6.7,,,,
,Other bacterial diseases,A30-A49,2010,2010,Maryland,24.0,660.0,5773552.0,11.4,11.1,,,,
,Other bacterial diseases,A30-A49,2010,2010,Massachusetts,25.0,710.0,6547629.0,10.8,9.2,,,,
,Other bacterial diseases,A30-A49,2010,2010,Michigan,26.0,1118.0,9883640.0,11.3,10.0,,,,
,Other bacterial diseases,A30-A49,2010,2010,Minnesota,27.0,293.0,5303925.0,5.5,4.9,,,,
,Other bacterial diseases,A30-A49,2010,2010,Mississippi,28.0,389.0,2967297.0,13.1,13.1,,,,
,Other bacterial diseases,A30-A49,2010,2010,Missouri,29.0,574.0,5988927.0,9.6,8.4,,,,
,Other bacterial diseases,A30-A49,2010,2010,Montana,30.0,84.0,989415.0,8.5,7.1,,,,
,Other bacterial diseases,A30-A49,2010,2010,Nebraska,31.0,111.0,1826341.0,6.1,5.3,,,,
,Other bacterial diseases,A30-A49,2010,2010,Nevada,32.0,361.0,2700551.0,13.4,14.5,,,,
,Other bacterial diseases,A30-A49,2010,2010,New Hampshire,33.0,107.0,1316470.0,8.1,7.1,,,,
,Other bacterial diseases,A30-A49,2010,2010,New Jersey,34.0,1047.0,8791894.0,11.9,10.4,,,,
,Other bacterial diseases,A30-A49,2010,2010,New Mexico,35.0,215.0,2059179.0,10.4,9.9,,,,
,Other bacterial diseases,A30-A49,2010,2010,New York,36.0,2398.0,19378102.0,12.4,10.9,,,,
,Other bacterial diseases,A30-A49,2010,2010,North Carolina,37.0,1167.0,9535483.0,12.2,11.9,,,,
,Other bacterial diseases,A30-A49,2010,2010,North Dakota,38.0,51.0,672591.0,7.6,5.9,,,,
,Other bacterial diseases,A30-A49,2010,2010,Ohio,39.0,1277.0,11536504.0,11.1,9.6,,,,
,Other bacterial diseases,A30-A49,2010,2010,Oklahoma,40.0,581.0,3751351.0,15.5,14.5,,,,
,Other bacterial diseases,A30-A49,2010,2010,Oregon,41.0,272.0,3831074.0,7.1,6.1,,,,
,Other bacterial diseases,A30-A49,2010,2010,Pennsylvania,42.0,1309.0,12702379.0,10.3,8.0,,,,
,Other bacterial diseases,A30-A49,2010,2010,Rhode Island,44.0,145.0,1052567.0,13.8,10.8,,,,
,Other bacterial diseases,A30-A49,2010,2010,South Carolina,45.0,555.0,4625364.0,12.0,11.4,,,,
,Other bacterial diseases,A30-A49,2010,2010,South Dakota,46.0,47.0,814180.0,5.8,4.6,,,,
,Other bacterial diseases,A30-A49,2010,2010,Tennessee,47.0,940.0,6346105.0,14.8,14.1,,,,
,Other bacterial diseases,A30-A49,2010,2010,Texas,48.0,2559.0,25145561.0,10.2,12.0,,,,
,Other bacterial diseases,A30-A49,2010,2010,Utah,49.0,126.0,2763885.0,4.6,6.1,,,,
,Other bacterial diseases,A30-A49,2010,2010,Vermont,50.0,42.0,625741.0,6.7,5.9,,,,
,Other bacterial diseases,A30-A49,2010,2010,Virginia,51.0,756.0,8001024.0,9.4,9.7,,,,
,Other bacterial diseases,A30-A49,2010,2010,Washington,53.0,558.0,6724540.0,8.3,8.0,,,,
,Other bacterial diseases,A30-A49,2010,2010,West Virginia,54.0,309.0,1852994.0,16.7,13.2,,,,
,Other bacterial diseases,A30-A49,2010,2010,Wisconsin,55.0,329.0,5686986.0,5.8,5.0,,,,
,Other bacterial diseases,A30-A49,2010,2010,Wyoming,56.0,36.0,563626.0,6.4,5.9,,,,
Total,Other bacterial diseases,A30-A49,2010,2010,,,32625.0,308745538.0,10.6,9.9,,,,
,Other bacterial diseases,A30-A49,2011,2011,Alabama,1.0,562.0,4802740.0,11.7,10.6,,,,
,Other bacterial diseases,A30-A49,2011,2011,Alaska,2.0,47.0,722718.0,6.5,8.4,,,,
,Other bacterial diseases,A30-A49,2011,2011,Arizona,4.0,650.0,6482505.0,10.0,9.1,,,,
,Other bacterial diseases,A30-A49,2011,2011,Arkansas,5.0,345.0,2937979.0,11.7,10.3,,,,
,Other bacterial diseases,A30-A49,2011,2011,California,6.0,5164.0,37691912.0,13.7,13.9,,,,
,Other bacterial diseases,A30-A49,2011,2011,Colorado,8.0,264.0,5116796.0,5.2,5.4,,,,
,Other bacterial diseases,A30-A49,2011,2011,Connecticut,9.0,455.0,3580709.0,12.7,10.0,,,,
,Other bacterial diseases,A30-A49,2011,2011,Delaware,10.0,97.0,907135.0,10.7,9.4,,,,
,Other bacterial diseases,A30-A49,2011,2011,District of Columbia,11.0,76.0,617996.0,12.3,12.8,,,,
,Other bacterial diseases,A30-A49,2011,2011,Florida,12.0,1843.0,19057542.0,9.7,7.0,,,,
,Other bacterial diseases,A30-A49,2011,2011,Georgia,13.0,979.0,9815210.0,10.0,11.3,,,,
,Other bacterial diseases,A30-A49,2011,2011,Hawaii,15.0,138.0,1374810.0,10.0,8.2,,,,
,Other bacterial diseases,A30-A49,2011,2011,Idaho,16.0,101.0,1584985.0,6.4,6.3,,,,
,Other bacterial diseases,A30-A49,2011,2011,Illinois,17.0,1485.0,12869257.0,11.5,10.8,,,,
,Other bacterial diseases,A30-A49,2011,2011,Indiana,18.0,704.0,6516922.0,10.8,10.0,,,,
,Other bacterial diseases,A30-A49,2011,2011,Iowa,19.0,234.0,3062309.0,7.6,6.0,,,,
,Other bacterial diseases,A30-A49,2011,2011,Kansas,20.0,248.0,2871238.0,8.6,7.6,,,,
,Other bacterial diseases,A30-A49,2011,2011,Kentucky,21.0,707.0,4369356.0,16.2,14.9,,,,
,Other bacterial diseases,A30-A49,2011,2011,Louisiana,22.0,480.0,4574836.0,10.5,10.5,,,,
,Other bacterial diseases,A30-A49,2011,2011,Maine,23.0,128.0,1328188.0,9.6,7.2,,,,
,Other bacterial diseases,A30-A49,2011,2011,Maryland,24.0,618.0,5828289.0,10.6,10.2,,,,
,Other bacterial diseases,A30-A49,2011,2011,Massachusetts,25.0,732.0,6587536.0,11.1,9.2,,,,
,Other bacterial diseases,A30-A49,2011,2011,Michigan,26.0,1275.0,9876187.0,12.9,11.1,,,,
,Other bacterial diseases,A30-A49,2011,2011,Minnesota,27.0,316.0,5344861.0,5.9,5.3,,,,
,Other bacterial diseases,A30-A49,2011,2011,Mississippi,28.0,398.0,2978512.0,13.4,13.1,,,,
,Other bacterial diseases,A30-A49,2011,2011,Missouri,29.0,635.0,6010688.0,10.6,9.3,,,,
,Other bacterial diseases,A30-A49,2011,2011,Montana,30.0,50.0,998199.0,5.0,4.3,,,,
,Other bacterial diseases,A30-A49,2011,2011,Nebraska,31.0,131.0,1842641.0,7.1,6.3,,,,
,Other bacterial diseases,A30-A49,2011,2011,Nevada,32.0,446.0,2723322.0,16.4,17.2,,,,
,Other bacterial diseases,A30-A49,2011,2011,New Hampshire,33.0,97.0,1318194.0,7.4,6.4,,,,
,Other bacterial diseases,A30-A49,2011,2011,New Jersey,34.0,1070.0,8821155.0,12.1,10.4,,,,
,Other bacterial diseases,A30-A49,2011,2011,New Mexico,35.0,234.0,2082224.0,11.2,10.4,,,,
,Other bacterial diseases,A30-A49,2011,2011,New York,36.0,2596.0,19465197.0,13.3,11.5,,,,
,Other bacterial diseases,A30-A49,2011,2011,North Carolina,37.0,1278.0,9656401.0,13.2,12.6,,,,
,Other bacterial diseases,A30-A49,2011,2011,North Dakota,38.0,56.0,683932.0,8.2,6.9,,,,
,Other bacterial diseases,A30-A49,2011,2011,Ohio,39.0,1414.0,11544951.0,12.2,10.3,,,,
,Other bacterial diseases,A30-A49,2011,2011,Oklahoma,40.0,603.0,3791508.0,15.9,14.6,,,,
,Other bacterial diseases,A30-A49,2011,2011,Oregon,41.0,229.0,3871859.0,5.9,5.2,,,,
,Other bacterial diseases,A30-A49,2011,2011,Pennsylvania,42.0,1308.0,12742886.0,10.3,7.9,,,,
,Other bacterial diseases,A30-A49,2011,2011,Rhode Island,44.0,191.0,1051302.0,18.2,14.0,,,,
,Other bacterial diseases,A30-A49,2011,2011,South Carolina,45.0,661.0,4679230.0,14.1,13.1,,,,
,Other bacterial diseases,A30-A49,2011,2011,South Dakota,46.0,60.0,824082.0,7.3,6.0,,,,
,Other bacterial diseases,A30-A49,2011,2011,Tennessee,47.0,989.0,6403353.0,15.4,14.4,,,,
,Other bacterial diseases,A30-A49,2011,2011,Texas,48.0,2753.0,25674681.0,10.7,12.4,,,,
,Other bacterial diseases,A30-A49,2011,2011,Utah,49.0,149.0,2817222.0,5.3,6.9,,,,
,Other bacterial diseases,A30-A49,2011,2011,Vermont,50.0,46.0,626431.0,7.3,6.0,,,,
,Other bacterial diseases,A30-A49,2011,2011,Virginia,51.0,858.0,8096604.0,10.6,10.5,,,,
,Other bacterial diseases,A30-A49,2011,2011,Washington,53.0,657.0,6830038.0,9.6,9.2,,,,
,Other bacterial diseases,A30-A49,2011,2011,West Virginia,54.0,327.0,1855364.0,17.6,14.3,,,,
,Other bacterial diseases,A30-A49,2011,2011,Wisconsin,55.0,371.0,5711767.0,6.5,5.6,,,,
,Other bacterial diseases,A30-A49,2011,2011,Wyoming,56.0,25.0,568158.0,4.4,4.0,,,,
Total,Other bacterial diseases,A30-A49,2011,2011,,,35280.0,311591917.0,11.3,10.4,,,,
,Other bacterial diseases,A30-A49,2012,2012,Alabama,1.0,620.0,4822023.0,12.9,11.5,,,,
,Other bacterial diseases,A30-A49,2012,2012,Alaska,2.0,32.0,731449.0,4.4,5.7,,,,
,Other bacterial diseases,A30-A49,2012,2012,Arizona,4.0,626.0,6553255.0,9.6,8.6,,,,
,Other bacterial diseases,A30-A49,2012,2012,Arkansas,5.0,367.0,2949131.0,12.4,10.8,,,,
,Other bacterial diseases,A30-A49,2012,2012,California,6.0,4934.0,38041430.0,13.0,12.8,,,,
,Other bacterial diseases,A30-A49,2012,2012,Colorado,8.0,275.0,5187582.0,5.3,5.5,,,,
,Other bacterial diseases,A30-A49,2012,2012,Connecticut,9.0,407.0,3590347.0,11.3,8.9,,,,
,Other bacterial diseases,A30-A49,2012,2012,Delaware,10.0,111.0,917092.0,12.1,10.3,,,,
,Other bacterial diseases,A30-A49,2012,2012,District of Columbia,11.0,67.0,632323.0,10.6,10.6,,,,
,Other bacterial diseases,A30-A49,2012,2012,Florida,12.0,1795.0,19317568.0,9.3,6.7,,,,
,Other bacterial diseases,A30-A49,2012,2012,Georgia,13.0,1036.0,9919945.0,10.4,11.5,,,,
,Other bacterial diseases,A30-A49,2012,2012,Hawaii,15.0,143.0,1392313.0,10.3,8.0,,,,
,Other bacterial diseases,A30-A49,2012,2012,Idaho,16.0,97.0,1595728.0,6.1,5.7,,,,
,Other bacterial diseases,A30-A49,2012,2012,Illinois,17.0,1351.0,12875255.0,10.5,9.6,,,,
,Other bacterial diseases,A30-A49,2012,2012,Indiana,18.0,734.0,6537334.0,11.2,10.3,,,,
,Other bacterial diseases,A30-A49,2012,2012,Iowa,19.0,241.0,3074186.0,7.8,6.0,,,,
,Other bacterial diseases,A30-A49,2012,2012,Kansas,20.0,244.0,2885905.0,8.5,7.3,,,,
,Other bacterial diseases,A30-A49,2012,2012,Kentucky,21.0,694.0,4380415.0,15.8,14.4,,,,
,Other bacterial diseases,A30-A49,2012,2012,Louisiana,22.0,520.0,4601893.0,11.3,11.1,,,,
,Other bacterial diseases,A30-A49,2012,2012,Maine,23.0,122.0,1329192.0,9.2,6.8,,,,
,Other bacterial diseases,A30-A49,2012,2012,Maryland,24.0,652.0,5884563.0,11.1,10.3,,,,
,Other bacterial diseases,A30-A49,2012,2012,Massachusetts,25.0,727.0,6646144.0,10.9,9.0,,,,
,Other bacterial diseases,A30-A49,2012,2012,Michigan,26.0,1175.0,9883360.0,11.9,10.1,,,,
,Other bacterial diseases,A30-A49,2012,2012,Minnesota,27.0,328.0,5379139.0,6.1,5.3,,,,
,Other bacterial diseases,A30-A49,2012,2012,Mississippi,28.0,416.0,2984926.0,13.9,13.1,,,,
,Other bacterial diseases,A30-A49,2012,2012,Missouri,29.0,654.0,6021988.0,10.9,9.2,,,,
,Other bacterial diseases,A30-A49,2012,2012,Montana,30.0,42.0,1005141.0,4.2,3.4,,,,
,Other bacterial diseases,A30-A49,2012,2012,Nebraska,31.0,136.0,1855525.0,7.3,6.5,,,,
,Other bacterial diseases,A30-A49,2012,2012,Nevada,32.0,398.0,2758931.0,14.4,14.7,,,,
,Other bacterial diseases,A30-A49,2012,2012,New Hampshire,33.0,104.0,1320718.0,7.9,6.5,,,,
,Other bacterial diseases,A30-A49,2012,2012,New Jersey,34.0,1047.0,8864590.0,11.8,10.1,,,,
,Other bacterial diseases,A30-A49,2012,2012,New Mexico,35.0,238.0,2085538.0,11.4,10.4,,,,
,Other bacterial diseases,A30-A49,2012,2012,New York,36.0,2536.0,19570261.0,13.0,11.0,,,,
,Other bacterial diseases,A30-A49,2012,2012,North Carolina,37.0,1314.0,9752073.0,13.5,12.6,,,,
,Other bacterial diseases,A30-A49,2012,2012,North Dakota,38.0,66.0,699628.0,9.4,7.6,,,,
,Other bacterial diseases,A30-A49,2012,2012,Ohio,39.0,1354.0,11544225.0,11.7,9.7,,,,
,Other bacterial diseases,A30-A49,2012,2012,Oklahoma,40.0,619.0,3814820.0,16.2,14.9,,,,
,Other bacterial diseases,A30-A49,2012,2012,Oregon,41.0,286.0,3899353.0,7.3,6.0,,,,
