Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,Sex,Sex Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,Influenza and pneumonia,J09-J18,2010,2010,Female,F,79403.0,156964212.0,50.6,50.2,50.9,39.6,0.0,0.0
,Influenza and pneumonia,J09-J18,2010,2010,Male,M,77366.0,151781326.0,51.0,50.6,51.3,58.6,0.0,0.0
Total,Influenza and pneumonia,J09-J18,2010,2010,,,156769.0,308745538.0,50.8,50.5,51.0,47.3,0.0,0.0
,Influenza and pneumonia,J09-J18,2011,2011,Female,F,82831.0,158301098.0,52.3,52.0,52.7,40.4,0.0,0.0
,Influenza and pneumonia,J09-J18,2011,2011,Male,M,79772.0,153290819.0,52.0,51.7,52.4,58.1,0.0,0.0
Total,Influenza and pneumonia,J09-J18,2011,2011,,,162603.0,311591917.0,52.2,51.9,52.4,47.7,0.0,0.0
,Influenza and pneumonia,J09-J18,2012,2012,Female,F,78426.0,159421973.0,49.2,48.8,49.5,37.5,0.0,0.0
,Influenza and pneumonia,J09-J18,2012,2012,Male,M,76672.0,154492067.0,49.6,49.3,50.0,54.3,0.0,0.0
Total,Influenza and pneumonia,J09-J18,2012,2012,,,155098.0,313914040.0,49.4,49.2,49.7,44.4,0.0,0.0
,Influenza and pneumonia,J09-J18,2013,2013,Female,F,81259.0,160477237.0,50.6,50.3,51.0,38.1,0.0,0.0
,Influenza and pneumonia,J09-J18,2013,2013,Male,M,79184.0,155651602.0,50.9,50.5,51.2,54.2,0.0,0.0
Total,Influenza and pneumonia,J09-J18,2013,2013,,,160443.0,316128839.0,50.8,50.5,51.0,44.9,0.0,0.0
,Influenza and pneumonia,J09-J18,2014,2014,Female,F,76672.0,161920569.0,47.4,47.0,47.7,35.7,0.0,0.0
,Influenza and pneumonia,J09-J18,2014,2014,Male,M,77239.0,156936487.0,49.2,48.9,49.6,51.2,0.0,0.0
Total,Influenza and pneumonia,J09-J18,2014,2014,,,153911.0,318857056.0,48.3,48.0,48.5,42.2,0.0,0.0
