Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,Age Group,Deaths,Population,Standard Weight,Crude Rate,AAMR
,Influenza and pneumonia,J09-J18,2010,2010,<25,1596.0,104853555.0,0.353346,1.5221229265903289,1.5136586198047497
,Influenza and pneumonia,J09-J18,2010,2010,25-44,3919.0,82134554.0,0.298186,4.771438827073926,4.924400321279874
,Influenza and pneumonia,J09-J18,2010,2010,45-64,21516.0,81489445.0,0.22208100000000003,26.403419485799663,25.160404542045768
,Influenza and pneumonia,J09-J18,2010,2010,65+,129733.0,40267984.0,0.126387,322.1740626498709,314.1761877970947
,Influenza and pneumonia,J09-J18,2011,2011,<25,1611.0,104998981.0,0.353346,1.5343006043077696,1.5224757337412649
,Influenza and pneumonia,J09-J18,2011,2011,25-44,4038.0,82418452.0,0.298186,4.8993883068806,5.0571953783346855
,Influenza and pneumonia,J09-J18,2011,2011,45-64,22976.0,82780343.0,0.22208100000000003,27.755381491956367,26.27458503020191
,Influenza and pneumonia,J09-J18,2011,2011,65+,133971.0,41394141.0,0.126387,323.64725239738635,314.73489569251734
,Influenza and pneumonia,J09-J18,2012,2012,<25,1447.0,105088003.0,0.353346,1.3769411908988318,1.3692099687347938
,Influenza and pneumonia,J09-J18,2012,2012,25-44,3756.0,82825741.0,0.298186,4.534822091117784,4.701890015326269
,Influenza and pneumonia,J09-J18,2012,2012,45-64,22126.0,82854940.0,0.22208100000000003,26.70450307489209,25.027615271548683
,Influenza and pneumonia,J09-J18,2012,2012,65+,127765.0,43145356.0,0.126387,296.12688790886324,292.4477165781918
,Influenza and pneumonia,J09-J18,2013,2013,<25,1400.0,105043525.0,0.353346,1.3327808639323557,1.3298214000953468
,Influenza and pneumonia,J09-J18,2013,2013,25-44,3931.0,83297277.0,0.298186,4.719241902709497,4.898832165619125
,Influenza and pneumonia,J09-J18,2013,2013,45-64,23157.0,83083963.0,0.22208100000000003,27.87180481508808,25.985227323568424
,Influenza and pneumonia,J09-J18,2013,2013,65+,131951.0,44704074.0,0.126387,295.1654920757334,293.8818504632185
,Influenza and pneumonia,J09-J18,2014,2014,<25,1382.0,105047776.0,0.353346,1.3155918693604707,1.3096755577647394
,Influenza and pneumonia,J09-J18,2014,2014,25-44,4148.0,84029637.0,0.298186,4.93635358677082,5.159043369983157
,Influenza and pneumonia,J09-J18,2014,2014,45-64,24059.0,83536432.0,0.22208100000000003,28.800607619918456,26.77316245718408
,Influenza and pneumonia,J09-J18,2014,2014,65+,124313.0,46243211.0,0.126387,268.82432536962017,270.6870508771067
,Influenza and pneumonia,J09-J18,2015,2015,<25,1350.0,104865003.0,0.353346,1.2873694382100003,1.277874816859695
,Influenza and pneumonia,J09-J18,2015,2015,25-44,3812.0,84726985.0,0.298186,4.499156909690579,4.696560723596417
,Influenza and pneumonia,J09-J18,2015,2015,45-64,23104.0,84065980.0,0.22208100000000003,27.483174525533396,25.31931518891687
,Influenza and pneumonia,J09-J18,2015,2015,65+,129018.0,47760852.0,0.126387,270.1333719926102,274.0168562647727
,Influenza and pneumonia,J09-J18,2016,2016,<25,1372.0,104486096.0,0.353346,1.3130933708155772,1.3045618124569154
,Influenza and pneumonia,J09-J18,2016,2016,25-44,4104.0,85147399.0,0.298186,4.819877116857087,5.0518973315205
,Influenza and pneumonia,J09-J18,2016,2016,45-64,23730.0,84249823.0,0.22208100000000003,28.166231280984412,25.68362148179978
,Influenza and pneumonia,J09-J18,2016,2016,65+,120643.0,49244195.0,0.126387,244.98928249309387,250.65501216502972
