Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,Month,Month Code,Deaths,Population,Crude Rate,Age Adjusted Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,Influenza and pneumonia,J09-J18,2010,2010,"Jan., 2010",2010/01,15874.0,308745538.0,5.1,4.8,,,,
,Influenza and pneumonia,J09-J18,2010,2010,"Feb., 2010",2010/02,13875.0,308745538.0,4.5,4.2,,,,
,Influenza and pneumonia,J09-J18,2010,2010,"Mar., 2010",2010/03,15500.0,308745538.0,5.0,4.7,,,,
,Influenza and pneumonia,J09-J18,2010,2010,"Apr., 2010",2010/04,13211.0,308745538.0,4.3,4.0,,,,
,Influenza and pneumonia,J09-J18,2010,2010,"May, 2010",2010/05,12504.0,308745538.0,4.0,3.8,,,,
,Influenza and pneumonia,J09-J18,2010,2010,"Jun., 2010",2010/06,11436.0,308745538.0,3.7,3.5,,,,
,Influenza and pneumonia,J09-J18,2010,2010,"Jul., 2010",2010/07,11472.0,308745538.0,3.7,3.5,,,,
,Influenza and pneumonia,J09-J18,2010,2010,"Aug., 2010",2010/08,10954.0,308745538.0,3.5,3.3,,,,
,Influenza and pneumonia,J09-J18,2010,2010,"Sep., 2010",2010/09,11369.0,308745538.0,3.7,3.4,,,,
,Influenza and pneumonia,J09-J18,2010,2010,"Oct., 2010",2010/10,12537.0,308745538.0,4.1,3.8,,,,
,Influenza and pneumonia,J09-J18,2010,2010,"Nov., 2010",2010/11,13040.0,308745538.0,4.2,3.9,,,,
,Influenza and pneumonia,J09-J18,2010,2010,"Dec., 2010",2010/12,14997.0,308745538.0,4.9,4.5,,,,
,Influenza and pneumonia,J09-J18,2011,2011,"Jan., 2011",2011/01,17468.0,311591917.0,5.6,5.1,,,,
,Influenza and pneumonia,J09-J18,2011,2011,"Feb., 2011",2011/02,16225.0,311591917.0,5.2,4.8,,,,
,Influenza and pneumonia,J09-J18,2011,2011,"Mar., 2011",2011/03,16539.0,311591917.0,5.3,4.9,,,,
,Influenza and pneumonia,J09-J18,2011,2011,"Apr., 2011",2011/04,13834.0,311591917.0,4.4,4.1,,,,
