Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,Place of Death,Place of Death Code,Deaths,Population,Crude Rate,Age Adjusted Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,Influenza and pneumonia,J09-J18,2010,2010,Medical Facility - Inpatient,1.0,101533,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Medical Facility - Outpatient or ER,2.0,4730,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Medical Facility - Dead on Arrival,3.0,244,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Medical Facility - Status unknown,10.0,Missing,Missing,Missing,Missing,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Decedent's home,4.0,11191,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Hospice facility,5.0,4156,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Nursing home/long term care,6.0,31308,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Other,7.0,3484,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Place of death unknown,9.0,123,Not Applicable,Not Applicable,Not Applicable,,,,
Total,Influenza and pneumonia,J09-J18,2010,2010,,,156769,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Medical Facility - Inpatient,1.0,104478,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Medical Facility - Outpatient or ER,2.0,4926,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Medical Facility - Dead on Arrival,3.0,228,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Medical Facility - Status unknown,10.0,Missing,Missing,Missing,Missing,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Decedent's home,4.0,11707,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Hospice facility,5.0,5215,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Nursing home/long term care,6.0,32170,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Other,7.0,3772,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Place of death unknown,9.0,107,Not Applicable,Not Applicable,Not Applicable,,,,
Total,Influenza and pneumonia,J09-J18,2011,2011,,,162603,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Medical Facility - Inpatient,1.0,99277,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Medical Facility - Outpatient or ER,2.0,4781,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Medical Facility - Dead on Arrival,3.0,206,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Medical Facility - Status unknown,10.0,Missing,Missing,Missing,Missing,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Decedent's home,4.0,11362,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Hospice facility,5.0,5796,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Nursing home/long term care,6.0,29769,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Other,7.0,3798,Not Applicable,Not Applicable,Not Applicable,,,,
