Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,Deaths,Population,Crude Rate,Age Adjusted Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval,Race 6,Race 6 Code
,Influenza and pneumonia,J09-J18,2010,2010,1017.0,4263538.0,23.9,47.9,,,,,American Indian or Alaska Native,1002-5
,Influenza and pneumonia,J09-J18,2010,2010,4563.0,16993326.0,26.9,41.4,,,,,Asian,A-PI
,Influenza and pneumonia,J09-J18,2010,2010,15740.0,42065334.0,37.4,52.7,,,,,Black or African American,2054-5
,Influenza and pneumonia,J09-J18,2010,2010,135449.0,245423340.0,55.2,46.8,,,,,White,2106-3
,Influenza and pneumonia,J09-J18,2011,2011,1088.0,4347413.0,25.0,46.6,,,,,American Indian or Alaska Native,1002-5
,Influenza and pneumonia,J09-J18,2011,2011,4708.0,17471358.0,26.9,39.4,,,,,Asian,A-PI
,Influenza and pneumonia,J09-J18,2011,2011,16088.0,42678815.0,37.7,51.8,,,,,Black or African American,2054-5
,Influenza and pneumonia,J09-J18,2011,2011,140719.0,247094331.0,56.9,47.4,,,,,White,2106-3
,Influenza and pneumonia,J09-J18,2012,2012,1028.0,4398436.0,23.4,42.4,,,,,American Indian or Alaska Native,1002-5
,Influenza and pneumonia,J09-J18,2012,2012,4902.0,18087959.0,27.1,38.2,,,,,Asian,A-PI
,Influenza and pneumonia,J09-J18,2012,2012,15662.0,43203092.0,36.3,48.6,,,,,Black or African American,2054-5
,Influenza and pneumonia,J09-J18,2012,2012,133506.0,248224553.0,53.8,44.1,,,,,White,2106-3
,Influenza and pneumonia,J09-J18,2013,2013,1122.0,4457934.0,25.2,44.0,,,,,American Indian or Alaska Native,1002-5
,Influenza and pneumonia,J09-J18,2013,2013,5361.0,18630136.0,28.8,38.7,,,,,Asian,A-PI
,Influenza and pneumonia,J09-J18,2013,2013,16397.0,43696271.0,37.5,48.9,,,,,Black or African American,2054-5
,Influenza and pneumonia,J09-J18,2013,2013,137563.0,249344498.0,55.2,44.5,,,,,White,2106-3
,Influenza and pneumonia,J09-J18,2014,2014,1161.0,4518981.0,25.7,42.2,,,,,American Indian or Alaska Native,1002-5
,Influenza and pneumonia,J09-J18,2014,2014,5083.0,19398214.0,26.2,33.7,,,,,Asian,A-PI
,Influenza and pneumonia,J09-J18,2014,2014,16033.0,44309394.0,36.2,46.0,,,,,Black or African American,2054-5
,Influenza and pneumonia,J09-J18,2014,2014,131634.0,250630467.0,52.5,42.0,,,,,White,2106-3
