Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,State,State Code,Deaths,Population,Crude Rate,Age Adjusted Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,Influenza and pneumonia,J09-J18,2010,2010,Alabama,1.0,2841.0,4779736.0,59.4,56.2,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Alaska,2.0,184.0,710231.0,25.9,42.3,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Arizona,4.0,2432.0,6392017.0,38.0,35.9,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Arkansas,5.0,1997.0,2915918.0,68.5,61.7,,,,
,Influenza and pneumonia,J09-J18,2010,2010,California,6.0,19048.0,37253956.0,51.1,52.9,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Colorado,8.0,1661.0,5029196.0,33.0,37.1,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Connecticut,9.0,1927.0,3574097.0,53.9,42.1,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Delaware,10.0,437.0,897934.0,48.7,43.6,,,,
,Influenza and pneumonia,J09-J18,2010,2010,District of Columbia,11.0,274.0,601723.0,45.5,46.8,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Florida,12.0,7558.0,18801310.0,40.2,29.9,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Georgia,13.0,4077.0,9687653.0,42.1,50.6,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Hawaii,15.0,866.0,1360301.0,63.7,51.3,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Idaho,16.0,629.0,1567582.0,40.1,40.8,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Illinois,17.0,6779.0,12830632.0,52.8,49.5,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Indiana,18.0,3485.0,6483802.0,53.7,50.4,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Iowa,19.0,1685.0,3046355.0,55.3,42.1,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Kansas,20.0,1487.0,2853118.0,52.1,45.1,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Kentucky,21.0,3094.0,4339367.0,71.3,68.1,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Louisiana,22.0,2144.0,4533372.0,47.3,48.9,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Maine,23.0,729.0,1328361.0,54.9,42.3,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Maryland,24.0,3055.0,5773552.0,52.9,51.6,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Massachusetts,25.0,4168.0,6547629.0,63.7,52.3,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Michigan,26.0,5004.0,9883640.0,50.6,44.4,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Minnesota,27.0,2308.0,5303925.0,43.5,38.2,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Mississippi,28.0,1724.0,2967297.0,58.1,58.2,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Missouri,29.0,3448.0,5988927.0,57.6,50.5,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Montana,30.0,538.0,989415.0,54.4,44.7,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Nebraska,31.0,1003.0,1826341.0,54.9,45.9,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Nevada,32.0,1050.0,2700551.0,38.9,43.3,,,,
,Influenza and pneumonia,J09-J18,2010,2010,New Hampshire,33.0,646.0,1316470.0,49.1,43.3,,,,
,Influenza and pneumonia,J09-J18,2010,2010,New Jersey,34.0,3823.0,8791894.0,43.5,37.4,,,,
,Influenza and pneumonia,J09-J18,2010,2010,New Mexico,35.0,1090.0,2059179.0,52.9,51.7,,,,
,Influenza and pneumonia,J09-J18,2010,2010,New York,36.0,11014.0,19378102.0,56.8,49.2,,,,
,Influenza and pneumonia,J09-J18,2010,2010,North Carolina,37.0,5731.0,9535483.0,60.1,59.5,,,,
,Influenza and pneumonia,J09-J18,2010,2010,North Dakota,38.0,435.0,672591.0,64.7,48.6,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Ohio,39.0,6876.0,11536504.0,59.6,50.9,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Oklahoma,40.0,2310.0,3751351.0,61.6,58.1,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Oregon,41.0,1670.0,3831074.0,43.6,37.5,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Pennsylvania,42.0,6872.0,12702379.0,54.1,40.7,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Rhode Island,44.0,743.0,1052567.0,70.6,53.8,,,,
,Influenza and pneumonia,J09-J18,2010,2010,South Carolina,45.0,2552.0,4625364.0,55.2,53.7,,,,
,Influenza and pneumonia,J09-J18,2010,2010,South Dakota,46.0,527.0,814180.0,64.7,50.5,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Tennessee,47.0,4141.0,6346105.0,65.3,62.8,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Texas,48.0,10234.0,25145561.0,40.7,48.9,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Utah,49.0,1011.0,2763885.0,36.6,49.9,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Vermont,50.0,363.0,625741.0,58.0,48.4,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Virginia,51.0,3545.0,8001024.0,44.3,45.4,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Washington,53.0,2986.0,6724540.0,44.4,42.8,,,,
,Influenza and pneumonia,J09-J18,2010,2010,West Virginia,54.0,1469.0,1852994.0,79.3,63.4,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Wisconsin,55.0,2802.0,5686986.0,49.3,41.6,,,,
,Influenza and pneumonia,J09-J18,2010,2010,Wyoming,56.0,297.0,563626.0,52.7,52.8,,,,
Total,Influenza and pneumonia,J09-J18,2010,2010,,,156769.0,308745538.0,50.8,47.3,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Alabama,1.0,2733.0,4802740.0,56.9,52.8,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Alaska,2.0,211.0,722718.0,29.2,47.1,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Arizona,4.0,2635.0,6482505.0,40.6,37.4,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Arkansas,5.0,1991.0,2937979.0,67.8,59.7,,,,
,Influenza and pneumonia,J09-J18,2011,2011,California,6.0,19435.0,37691912.0,51.6,52.0,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Colorado,8.0,1682.0,5116796.0,32.9,35.4,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Connecticut,9.0,2192.0,3580709.0,61.2,46.9,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Delaware,10.0,423.0,907135.0,46.6,41.2,,,,
,Influenza and pneumonia,J09-J18,2011,2011,District of Columbia,11.0,282.0,617996.0,45.6,47.3,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Florida,12.0,7990.0,19057542.0,41.9,30.4,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Georgia,13.0,3932.0,9815210.0,40.1,46.9,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Hawaii,15.0,913.0,1374810.0,66.4,51.8,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Idaho,16.0,692.0,1584985.0,43.7,42.9,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Illinois,17.0,7057.0,12869257.0,54.8,50.5,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Indiana,18.0,3753.0,6516922.0,57.6,53.1,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Iowa,19.0,1862.0,3062309.0,60.8,45.3,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Kansas,20.0,1594.0,2871238.0,55.5,46.9,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Kentucky,21.0,2938.0,4369356.0,67.2,63.7,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Louisiana,22.0,2204.0,4574836.0,48.2,48.7,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Maine,23.0,838.0,1328188.0,63.1,47.2,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Maryland,24.0,2998.0,5828289.0,51.4,49.3,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Massachusetts,25.0,4334.0,6587536.0,65.8,53.1,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Michigan,26.0,5511.0,9876187.0,55.8,47.7,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Minnesota,27.0,2477.0,5344861.0,46.3,40.1,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Mississippi,28.0,1750.0,2978512.0,58.8,57.9,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Missouri,29.0,3500.0,6010688.0,58.2,50.3,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Montana,30.0,461.0,998199.0,46.2,37.9,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Nebraska,31.0,1077.0,1842641.0,58.4,48.5,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Nevada,32.0,1225.0,2723322.0,45.0,48.3,,,,
,Influenza and pneumonia,J09-J18,2011,2011,New Hampshire,33.0,713.0,1318194.0,54.1,46.3,,,,
,Influenza and pneumonia,J09-J18,2011,2011,New Jersey,34.0,3968.0,8821155.0,45.0,38.2,,,,
,Influenza and pneumonia,J09-J18,2011,2011,New Mexico,35.0,1107.0,2082224.0,53.2,50.5,,,,
,Influenza and pneumonia,J09-J18,2011,2011,New York,36.0,11532.0,19465197.0,59.2,50.6,,,,
,Influenza and pneumonia,J09-J18,2011,2011,North Carolina,37.0,5458.0,9656401.0,56.5,54.7,,,,
,Influenza and pneumonia,J09-J18,2011,2011,North Dakota,38.0,384.0,683932.0,56.1,43.1,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Ohio,39.0,7389.0,11544951.0,64.0,53.6,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Oklahoma,40.0,2493.0,3791508.0,65.8,60.9,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Oregon,41.0,1525.0,3871859.0,39.4,33.1,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Pennsylvania,42.0,7549.0,12742886.0,59.2,43.8,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Rhode Island,44.0,820.0,1051302.0,78.0,57.5,,,,
,Influenza and pneumonia,J09-J18,2011,2011,South Carolina,45.0,2615.0,4679230.0,55.9,52.9,,,,
,Influenza and pneumonia,J09-J18,2011,2011,South Dakota,46.0,554.0,824082.0,67.2,52.3,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Tennessee,47.0,4280.0,6403353.0,66.8,63.0,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Texas,48.0,10334.0,25674681.0,40.2,47.4,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Utah,49.0,1007.0,2817222.0,35.7,48.0,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Vermont,50.0,361.0,626431.0,57.6,46.5,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Virginia,51.0,3790.0,8096604.0,46.8,46.9,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Washington,53.0,3321.0,6830038.0,48.6,46.0,,,,
,Influenza and pneumonia,J09-J18,2011,2011,West Virginia,54.0,1550.0,1855364.0,83.5,66.9,,,,
