Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,Age Group,Deaths,Population,Standard Weight,Crude Rate,AAMR
,Other bacterial diseases,A30-A49,2010,2010,<25,1859.0,104853555.0,0.353346,1.7729489477013916,1.770295083014131
,Other bacterial diseases,A30-A49,2010,2010,25-44,5385.0,82134554.0,0.298186,6.556314897625183,6.8025834492322454
,Other bacterial diseases,A30-A49,2010,2010,45-64,34614.0,81489445.0,0.22208100000000003,42.476666763407216,40.46725339479384
,Other bacterial diseases,A30-A49,2010,2010,65+,117781.0,40267984.0,0.126387,292.49291447021534,289.77029723758466
,Other bacterial diseases,A30-A49,2011,2011,<25,1683.0,104998981.0,0.353346,1.6028726983550439,1.5939725055892713
,Other bacterial diseases,A30-A49,2011,2011,25-44,5603.0,82418452.0,0.298186,6.798234938943042,7.090974206601779
,Other bacterial diseases,A30-A49,2011,2011,45-64,36401.0,82780343.0,0.22208100000000003,43.97299972530918,41.51680472098519
,Other bacterial diseases,A30-A49,2011,2011,65+,121114.0,41394141.0,0.126387,292.5873011835177,289.70762785927286
,Other bacterial diseases,A30-A49,2012,2012,<25,1586.0,105088003.0,0.353346,1.5092112845649945,1.5062334528210626
,Other bacterial diseases,A30-A49,2012,2012,25-44,5436.0,82825741.0,0.298186,6.563177020052256,6.863807357869029
,Other bacterial diseases,A30-A49,2012,2012,45-64,36284.0,82854940.0,0.22208100000000003,43.792198751215075,41.03601479975435
,Other bacterial diseases,A30-A49,2012,2012,65+,121775.0,43145356.0,0.126387,282.24358607679585,282.8713387769646
,Other bacterial diseases,A30-A49,2013,2013,<25,1547.0,105043525.0,0.353346,1.472722854645253,1.4664052079565921
,Other bacterial diseases,A30-A49,2013,2013,25-44,5750.0,83297277.0,0.298186,6.90298675669794,7.227644976267468
,Other bacterial diseases,A30-A49,2013,2013,45-64,38069.0,83083963.0,0.22208100000000003,45.81991352530933,42.69324012797231
,Other bacterial diseases,A30-A49,2013,2013,65+,128249.0,44704074.0,0.126387,286.8843676305654,289.79746756153514
,Other bacterial diseases,A30-A49,2014,2014,<25,1556.0,105047776.0,0.353346,1.481230787789358,1.4702734728116114
,Other bacterial diseases,A30-A49,2014,2014,25-44,5991.0,84029637.0,0.298186,7.129627371828346,7.522976959908184
,Other bacterial diseases,A30-A49,2014,2014,45-64,40527.0,83536432.0,0.22208100000000003,48.514162060452854,44.95614070949377
,Other bacterial diseases,A30-A49,2014,2014,65+,134159.0,46243211.0,0.126387,290.1160994205182,294.8002511035838
,Other bacterial diseases,A30-A49,2015,2015,<25,1626.0,104865003.0,0.353346,1.5505649677996003,1.5408706896255204
,Other bacterial diseases,A30-A49,2015,2015,25-44,6232.0,84726985.0,0.298186,7.355389785202435,7.747332371218645
,Other bacterial diseases,A30-A49,2015,2015,45-64,42257.0,84065980.0,0.22208100000000003,50.266469266164506,46.32424515921966
,Other bacterial diseases,A30-A49,2015,2015,65+,145091.0,47760852.0,0.126387,303.78645674076336,310.64808813080947
,Other bacterial diseases,A30-A49,2016,2016,<25,1814.0,104486096.0,0.353346,1.736116162288234,1.724827427626126
,Other bacterial diseases,A30-A49,2016,2016,25-44,6665.0,85147399.0,0.298186,7.827602578911423,8.279893564173804
,Other bacterial diseases,A30-A49,2016,2016,45-64,43318.0,84249823.0,0.22208100000000003,51.41613175852014,47.049020497129376
,Other bacterial diseases,A30-A49,2016,2016,65+,146345.0,49244195.0,0.126387,297.182236403702,305.68052325142577
,Other bacterial diseases,A30-A49,2017,2017,<25,1534.0,104271847.0,0.353346,1.4711545293716721,1.466144265170816
,Other bacterial diseases,A30-A49,2017,2017,25-44,6769.0,86218042.0,0.298186,7.8510249629654085,8.298420002727532
,Other bacterial diseases,A30-A49,2017,2017,45-64,43383.0,84370610.0,0.22208100000000003,51.41956422977149,46.77380594385767
,Other bacterial diseases,A30-A49,2017,2017,65+,151983.0,50858679.0,0.126387,298.8339512318045,308.73706952472605
,Other bacterial diseases,A30-A49,2018,2018,<25,1510.0,103856244.0,0.353346,1.4539328035009622,1.4531527623863205
,Other bacterial diseases,A30-A49,2018,2018,25-44,6872.0,86975662.0,0.298186,7.901060873787888,8.36840495627855
,Other bacterial diseases,A30-A49,2018,2018,45-64,43748.0,83904335.0,0.22208100000000003,52.140333392785955,47.26717856592362
,Other bacterial diseases,A30-A49,2018,2018,65+,153782.0,52431193.0,0.126387,293.3025002883303,303.57979921552567
,Other bacterial diseases,A30-A49,2019,2019,<25,1455.0,103258356.0,0.353346,1.4090869314247072,1.4119666163081115
,Other bacterial diseases,A30-A49,2019,2019,25-44,6985.0,87599465.0,0.298186,7.973792990630708,8.412042952792149
,Other bacterial diseases,A30-A49,2019,2019,45-64,42669.0,83323439.0,0.22208100000000003,51.20888013275593,46.158630872600185
,Other bacterial diseases,A30-A49,2019,2019,65+,149974.0,54058263.0,0.126387,277.4302977511505,288.4959868289906
,Other bacterial diseases,A30-A49,2020,2020,<25,1432.0,102849110.0,0.353346,1.3923309594025655,1.3956101096272404
,Other bacterial diseases,A30-A49,2020,2020,25-44,9015.0,88205838.0,0.298186,10.220411941440883,10.843850364135573
,Other bacterial diseases,A30-A49,2020,2020,45-64,54122.0,82769810.0,0.22208100000000003,65.38857585875816,59.10263949978929
,Other bacterial diseases,A30-A49,2020,2020,65+,177581.0,55659365.0,0.126387,319.0496334264683,332.6176909392739
,Other bacterial diseases,A30-A49,2021,2021,<25,1534.0,103655333.0,0.353346,1.4799045602410055,1.4968030786459356
,Other bacterial diseases,A30-A49,2021,2021,25-44,11672.0,88898959.0,0.298186,13.12951257393239,13.831145480611353
,Other bacterial diseases,A30-A49,2021,2021,45-64,62917.0,83491500.0,0.22208100000000003,75.35737170849727,68.3897351539527
,Other bacterial diseases,A30-A49,2021,2021,65+,184821.0,55847953.0,0.126387,330.9360326957731,354.5057278408845
,Other bacterial diseases,A30-A49,2022,2022,<25,1610.0,103778958.0,0.353346,1.5513742198105325,1.5640918342746393
,Other bacterial diseases,A30-A49,2022,2022,25-44,9459.0,89196665.0,0.298186,10.604656575444833,11.091430943338251
,Other bacterial diseases,A30-A49,2022,2022,45-64,52344.0,82517082.0,0.22208100000000003,63.43413840057989,57.36140258856512
,Other bacterial diseases,A30-A49,2022,2022,65+,180253.0,57794852.0,0.126387,311.884179580562,328.36303878988315
,Other bacterial diseases,A30-A49,2023,2023,<25,1654.0,103385133.0,0.353346,1.599843180547052,1.6164166596751883
,Other bacterial diseases,A30-A49,2023,2023,25-44,8379.0,89933209.0,0.298186,9.316914289136509,9.717931937932745
,Other bacterial diseases,A30-A49,2023,2023,45-64,45445.0,82348192.0,0.22208100000000003,55.1863968063804,49.86531093622532
,Other bacterial diseases,A30-A49,2023,2023,65+,170012.0,59248361.0,0.126387,286.94802207271186,306.96606608427436
,Other bacterial diseases,A30-A49,2024,2024,<25,1478.0,104495901.0,0.353346,1.4144095470309406,1.4359024768018307
,Other bacterial diseases,A30-A49,2024,2024,25-44,7843.0,91993088.0,0.298186,8.525640535080202,8.902716238713431
,Other bacterial diseases,A30-A49,2024,2024,45-64,42935.0,82442081.0,0.22208100000000003,52.07898621578948,47.17421781445469
,Other bacterial diseases,A30-A49,2024,2024,65+,168936.0,61179918.0,0.126387,276.12982416877384,293.7519456683473
,Other bacterial diseases,A30-A49,2025,2025,<25,1378.0,104495901.0,0.353346,1.3187120134023247,1.3415666933399208
,Other bacterial diseases,A30-A49,2025,2025,25-44,7603.0,91993088.0,0.298186,8.264751369146342,8.660381652238314
,Other bacterial diseases,A30-A49,2025,2025,45-64,41650.0,82442081.0,0.22208100000000003,50.52031619628816,45.778001909554334
,Other bacterial diseases,A30-A49,2025,2025,65+,170541.0,61179918.0,0.126387,278.753234026891,296.59801800470706
