Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,Month,Month Code,Deaths,Population,Crude Rate,Age Adjusted Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,Other bacterial diseases,A30-A49,2010,2010,"Jan., 2010",2010/01,14929.0,308745538.0,4.8,4.5,,,,
,Other bacterial diseases,A30-A49,2010,2010,"Feb., 2010",2010/02,13004.0,308745538.0,4.2,3.9,,,,
,Other bacterial diseases,A30-A49,2010,2010,"Mar., 2010",2010/03,14262.0,308745538.0,4.6,4.3,,,,
,Other bacterial diseases,A30-A49,2010,2010,"Apr., 2010",2010/04,13009.0,308745538.0,4.2,3.9,,,,
,Other bacterial diseases,A30-A49,2010,2010,"May, 2010",2010/05,12847.0,308745538.0,4.2,3.9,,,,
,Other bacterial diseases,A30-A49,2010,2010,"Jun., 2010",2010/06,12335.0,308745538.0,4.0,3.7,,,,
,Other bacterial diseases,A30-A49,2010,2010,"Jul., 2010",2010/07,12702.0,308745538.0,4.1,3.8,,,,
,Other bacterial diseases,A30-A49,2010,2010,"Aug., 2010",2010/08,12766.0,308745538.0,4.1,3.9,,,,
,Other bacterial diseases,A30-A49,2010,2010,"Sep., 2010",2010/09,12501.0,308745538.0,4.0,3.8,,,,
,Other bacterial diseases,A30-A49,2010,2010,"Oct., 2010",2010/10,13242.0,308745538.0,4.3,4.0,,,,
,Other bacterial diseases,A30-A49,2010,2010,"Nov., 2010",2010/11,13462.0,308745538.0,4.4,4.1,,,,
,Other bacterial diseases,A30-A49,2010,2010,"Dec., 2010",2010/12,14583.0,308745538.0,4.7,4.4,,,,
,Other bacterial diseases,A30-A49,2011,2011,"Jan., 2011",2011/01,15972.0,311591917.0,5.1,4.7,,,,
,Other bacterial diseases,A30-A49,2011,2011,"Feb., 2011",2011/02,14596.0,311591917.0,4.7,4.3,,,,
,Other bacterial diseases,A30-A49,2011,2011,"Mar., 2011",2011/03,15182.0,311591917.0,4.9,4.5,,,,
,Other bacterial diseases,A30-A49,2011,2011,"Apr., 2011",2011/04,13307.0,311591917.0,4.3,3.9,,,,
,Other bacterial diseases,A30-A49,2011,2011,"May, 2011",2011/05,13381.0,311591917.0,4.3,3.9,,,,
,Other bacterial diseases,A30-A49,2011,2011,"Jun., 2011",2011/06,12714.0,311591917.0,4.1,3.7,,,,
,Other bacterial diseases,A30-A49,2011,2011,"Jul., 2011",2011/07,12960.0,311591917.0,4.2,3.8,,,,
,Other bacterial diseases,A30-A49,2011,2011,"Aug., 2011",2011/08,12706.0,311591917.0,4.1,3.7,,,,
,Other bacterial diseases,A30-A49,2011,2011,"Sep., 2011",2011/09,12696.0,311591917.0,4.1,3.7,,,,
,Other bacterial diseases,A30-A49,2011,2011,"Oct., 2011",2011/10,13579.0,311591917.0,4.4,4.0,,,,
,Other bacterial diseases,A30-A49,2011,2011,"Nov., 2011",2011/11,13402.0,311591917.0,4.3,3.9,,,,
,Other bacterial diseases,A30-A49,2011,2011,"Dec., 2011",2011/12,14310.0,311591917.0,4.6,4.2,,,,
,Other bacterial diseases,A30-A49,2012,2012,"Jan., 2012",2012/01,15234.0,313914040.0,4.9,4.4,,,,
,Other bacterial diseases,A30-A49,2012,2012,"Feb., 2012",2012/02,13657.0,313914040.0,4.4,3.9,,,,
,Other bacterial diseases,A30-A49,2012,2012,"Mar., 2012",2012/03,14511.0,313914040.0,4.6,4.2,,,,
,Other bacterial diseases,A30-A49,2012,2012,"Apr., 2012",2012/04,13542.0,313914040.0,4.3,3.9,,,,
,Other bacterial diseases,A30-A49,2012,2012,"May, 2012",2012/05,13217.0,313914040.0,4.2,3.8,,,,
,Other bacterial diseases,A30-A49,2012,2012,"Jun., 2012",2012/06,12612.0,313914040.0,4.0,3.6,,,,
,Other bacterial diseases,A30-A49,2012,2012,"Jul., 2012",2012/07,12739.0,313914040.0,4.1,3.7,,,,
,Other bacterial diseases,A30-A49,2012,2012,"Aug., 2012",2012/08,13164.0,313914040.0,4.2,3.8,,,,
,Other bacterial diseases,A30-A49,2012,2012,"Sep., 2012",2012/09,12860.0,313914040.0,4.1,3.7,,,,
,Other bacterial diseases,A30-A49,2012,2012,"Oct., 2012",2012/10,13814.0,313914040.0,4.4,4.0,,,,
,Other bacterial diseases,A30-A49,2012,2012,"Nov., 2012",2012/11,14025.0,313914040.0,4.5,4.0,,,,
,Other bacterial diseases,A30-A49,2012,2012,"Dec., 2012",2012/12,15717.0,313914040.0,5.0,4.5,,,,
,Other bacterial diseases,A30-A49,2013,2013,"Jan., 2013",2013/01,18149.0,316128839.0,5.7,5.1,,,,
,Other bacterial diseases,A30-A49,2013,2013,"Feb., 2013",2013/02,14686.0,316128839.0,4.6,4.1,,,,
,Other bacterial diseases,A30-A49,2013,2013,"Mar., 2013",2013/03,15689.0,316128839.0,5.0,4.4,,,,
,Other bacterial diseases,A30-A49,2013,2013,"Apr., 2013",2013/04,14229.0,316128839.0,4.5,4.0,,,,
,Other bacterial diseases,A30-A49,2013,2013,"May, 2013",2013/05,13511.0,316128839.0,4.3,3.8,,,,
,Other bacterial diseases,A30-A49,2013,2013,"Jun., 2013",2013/06,12890.0,316128839.0,4.1,3.6,,,,
,Other bacterial diseases,A30-A49,2013,2013,"Jul., 2013",2013/07,13288.0,316128839.0,4.2,3.7,,,,
,Other bacterial diseases,A30-A49,2013,2013,"Aug., 2013",2013/08,13592.0,316128839.0,4.3,3.8,,,,
,Other bacterial diseases,A30-A49,2013,2013,"Sep., 2013",2013/09,13157.0,316128839.0,4.2,3.7,,,,
,Other bacterial diseases,A30-A49,2013,2013,"Oct., 2013",2013/10,14164.0,316128839.0,4.5,4.0,,,,
,Other bacterial diseases,A30-A49,2013,2013,"Nov., 2013",2013/11,14190.0,316128839.0,4.5,4.0,,,,
,Other bacterial diseases,A30-A49,2013,2013,"Dec., 2013",2013/12,16075.0,316128839.0,5.1,4.5,,,,
,Other bacterial diseases,A30-A49,2014,2014,"Jan., 2014",2014/01,17686.0,318857056.0,5.5,4.9,,,,
,Other bacterial diseases,A30-A49,2014,2014,"Feb., 2014",2014/02,15099.0,318857056.0,4.7,4.1,,,,
,Other bacterial diseases,A30-A49,2014,2014,"Mar., 2014",2014/03,15834.0,318857056.0,5.0,4.3,,,,
,Other bacterial diseases,A30-A49,2014,2014,"Apr., 2014",2014/04,14658.0,318857056.0,4.6,4.0,,,,
,Other bacterial diseases,A30-A49,2014,2014,"May, 2014",2014/05,14616.0,318857056.0,4.6,4.0,,,,
,Other bacterial diseases,A30-A49,2014,2014,"Jun., 2014",2014/06,13850.0,318857056.0,4.3,3.8,,,,
,Other bacterial diseases,A30-A49,2014,2014,"Jul., 2014",2014/07,14499.0,318857056.0,4.5,4.0,,,,
,Other bacterial diseases,A30-A49,2014,2014,"Aug., 2014",2014/08,14075.0,318857056.0,4.4,3.9,,,,
,Other bacterial diseases,A30-A49,2014,2014,"Sep., 2014",2014/09,14117.0,318857056.0,4.4,3.9,,,,
,Other bacterial diseases,A30-A49,2014,2014,"Oct., 2014",2014/10,15070.0,318857056.0,4.7,4.1,,,,
,Other bacterial diseases,A30-A49,2014,2014,"Nov., 2014",2014/11,15184.0,318857056.0,4.8,4.2,,,,
,Other bacterial diseases,A30-A49,2014,2014,"Dec., 2014",2014/12,17554.0,318857056.0,5.5,4.8,,,,
,Other bacterial diseases,A30-A49,2015,2015,"Jan., 2015",2015/01,19755.0,321418820.0,6.1,5.3,,,,
,Other bacterial diseases,A30-A49,2015,2015,"Feb., 2015",2015/02,16737.0,321418820.0,5.2,4.5,,,,
,Other bacterial diseases,A30-A49,2015,2015,"Mar., 2015",2015/03,17718.0,321418820.0,5.5,4.7,,,,
,Other bacterial diseases,A30-A49,2015,2015,"Apr., 2015",2015/04,15936.0,321418820.0,5.0,4.3,,,,
,Other bacterial diseases,A30-A49,2015,2015,"May, 2015",2015/05,15318.0,321418820.0,4.8,4.1,,,,
,Other bacterial diseases,A30-A49,2015,2015,"Jun., 2015",2015/06,14534.0,321418820.0,4.5,3.9,,,,
,Other bacterial diseases,A30-A49,2015,2015,"Jul., 2015",2015/07,15075.0,321418820.0,4.7,4.1,,,,
,Other bacterial diseases,A30-A49,2015,2015,"Aug., 2015",2015/08,15304.0,321418820.0,4.8,4.1,,,,
,Other bacterial diseases,A30-A49,2015,2015,"Sep., 2015",2015/09,14993.0,321418820.0,4.7,4.0,,,,
,Other bacterial diseases,A30-A49,2015,2015,"Oct., 2015",2015/10,16265.0,321418820.0,5.1,4.4,,,,
,Other bacterial diseases,A30-A49,2015,2015,"Nov., 2015",2015/11,16086.0,321418820.0,5.0,4.3,,,,
,Other bacterial diseases,A30-A49,2015,2015,"Dec., 2015",2015/12,17493.0,321418820.0,5.4,4.7,,,,
,Other bacterial diseases,A30-A49,2016,2016,"Jan., 2016",2016/01,18455.0,323127513.0,5.7,4.9,,,,
,Other bacterial diseases,A30-A49,2016,2016,"Feb., 2016",2016/02,17022.0,323127513.0,5.3,4.5,,,,
,Other bacterial diseases,A30-A49,2016,2016,"Mar., 2016",2016/03,18315.0,323127513.0,5.7,4.8,,,,
,Other bacterial diseases,A30-A49,2016,2016,"Apr., 2016",2016/04,16482.0,323127513.0,5.1,4.3,,,,
,Other bacterial diseases,A30-A49,2016,2016,"May, 2016",2016/05,16023.0,323127513.0,5.0,4.2,,,,
,Other bacterial diseases,A30-A49,2016,2016,"Jun., 2016",2016/06,14942.0,323127513.0,4.6,3.9,,,,
,Other bacterial diseases,A30-A49,2016,2016,"Jul., 2016",2016/07,15537.0,323127513.0,4.8,4.1,,,,
,Other bacterial diseases,A30-A49,2016,2016,"Aug., 2016",2016/08,15485.0,323127513.0,4.8,4.1,,,,
,Other bacterial diseases,A30-A49,2016,2016,"Sep., 2016",2016/09,15398.0,323127513.0,4.8,4.1,,,,
,Other bacterial diseases,A30-A49,2016,2016,"Oct., 2016",2016/10,16298.0,323127513.0,5.0,4.3,,,,
,Other bacterial diseases,A30-A49,2016,2016,"Nov., 2016",2016/11,16189.0,323127513.0,5.0,4.3,,,,
,Other bacterial diseases,A30-A49,2016,2016,"Dec., 2016",2016/12,18009.0,323127513.0,5.6,4.7,,,,
,Other bacterial diseases,A30-A49,2017,2017,"Jan., 2017",2017/01,19801.0,325719178.0,6.1,5.1,,,,
,Other bacterial diseases,A30-A49,2017,2017,"Feb., 2017",2017/02,17546.0,325719178.0,5.4,4.5,,,,
,Other bacterial diseases,A30-A49,2017,2017,"Mar., 2017",2017/03,18609.0,325719178.0,5.7,4.8,,,,
