Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,Place of Death,Place of Death Code,Deaths,Population,Crude Rate,Age Adjusted Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,Other bacterial diseases,A30-A49,2010,2010,Medical Facility - Inpatient,1.0,132077,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2010,2010,Medical Facility - Outpatient or ER,2.0,4677,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2010,2010,Medical Facility - Dead on Arrival,3.0,119,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2010,2010,Medical Facility - Status unknown,10.0,Missing,Missing,Missing,Missing,,,,
,Other bacterial diseases,A30-A49,2010,2010,Decedent's home,4.0,4703,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2010,2010,Hospice facility,5.0,3854,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2010,2010,Nursing home/long term care,6.0,11957,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2010,2010,Other,7.0,2106,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2010,2010,Place of death unknown,9.0,149,Not Applicable,Not Applicable,Not Applicable,,,,
Total,Other bacterial diseases,A30-A49,2010,2010,,,159642,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2011,2011,Medical Facility - Inpatient,1.0,135167,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2011,2011,Medical Facility - Outpatient or ER,2.0,4799,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2011,2011,Medical Facility - Dead on Arrival,3.0,125,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2011,2011,Medical Facility - Status unknown,10.0,Missing,Missing,Missing,Missing,,,,
,Other bacterial diseases,A30-A49,2011,2011,Decedent's home,4.0,5211,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2011,2011,Hospice facility,5.0,4775,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2011,2011,Nursing home/long term care,6.0,12269,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2011,2011,Other,7.0,2319,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2011,2011,Place of death unknown,9.0,140,Not Applicable,Not Applicable,Not Applicable,,,,
Total,Other bacterial diseases,A30-A49,2011,2011,,,164805,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2012,2012,Medical Facility - Inpatient,1.0,134191,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2012,2012,Medical Facility - Outpatient or ER,2.0,4948,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2012,2012,Medical Facility - Dead on Arrival,3.0,110,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2012,2012,Medical Facility - Status unknown,10.0,Missing,Missing,Missing,Missing,,,,
,Other bacterial diseases,A30-A49,2012,2012,Decedent's home,4.0,5396,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2012,2012,Hospice facility,5.0,5892,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2012,2012,Nursing home/long term care,6.0,11956,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2012,2012,Other,7.0,2459,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2012,2012,Place of death unknown,9.0,140,Not Applicable,Not Applicable,Not Applicable,,,,
Total,Other bacterial diseases,A30-A49,2012,2012,,,165092,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2013,2013,Medical Facility - Inpatient,1.0,140858,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2013,2013,Medical Facility - Outpatient or ER,2.0,5203,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2013,2013,Medical Facility - Dead on Arrival,3.0,169,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2013,2013,Medical Facility - Status unknown,10.0,Missing,Missing,Missing,Missing,,,,
,Other bacterial diseases,A30-A49,2013,2013,Decedent's home,4.0,5933,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2013,2013,Hospice facility,5.0,6421,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2013,2013,Nursing home/long term care,6.0,12066,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2013,2013,Other,7.0,2824,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2013,2013,Place of death unknown,9.0,146,Not Applicable,Not Applicable,Not Applicable,,,,
Total,Other bacterial diseases,A30-A49,2013,2013,,,173620,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2014,2014,Medical Facility - Inpatient,1.0,147127,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2014,2014,Medical Facility - Outpatient or ER,2.0,5536,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2014,2014,Medical Facility - Dead on Arrival,3.0,115,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2014,2014,Medical Facility - Status unknown,10.0,Missing,Missing,Missing,Missing,,,,
,Other bacterial diseases,A30-A49,2014,2014,Decedent's home,4.0,6524,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2014,2014,Hospice facility,5.0,8338,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2014,2014,Nursing home/long term care,6.0,12575,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2014,2014,Other,7.0,1892,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2014,2014,Place of death unknown,9.0,135,Not Applicable,Not Applicable,Not Applicable,,,,
Total,Other bacterial diseases,A30-A49,2014,2014,,,182242,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2015,2015,Medical Facility - Inpatient,1.0,156304,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2015,2015,Medical Facility - Outpatient or ER,2.0,5874,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2015,2015,Medical Facility - Dead on Arrival,3.0,112,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2015,2015,Medical Facility - Status unknown,10.0,Missing,Missing,Missing,Missing,,,,
,Other bacterial diseases,A30-A49,2015,2015,Decedent's home,4.0,7141,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2015,2015,Hospice facility,5.0,10548,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2015,2015,Nursing home/long term care,6.0,13483,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2015,2015,Other,7.0,1678,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2015,2015,Place of death unknown,9.0,74,Not Applicable,Not Applicable,Not Applicable,,,,
Total,Other bacterial diseases,A30-A49,2015,2015,,,195214,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2016,2016,Medical Facility - Inpatient,1.0,157242,Not Applicable,Not Applicable,Not Applicable,,,,
