Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,Deaths,Population,Crude Rate,Age Adjusted Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval,Race 6,Race 6 Code
,Other bacterial diseases,A30-A49,2010,2010,1234.0,4263538.0,28.9,51.0,,,,,American Indian or Alaska Native,1002-5
,Other bacterial diseases,A30-A49,2010,2010,4047.0,16993326.0,23.8,34.2,,,,,Asian,A-PI
,Other bacterial diseases,A30-A49,2010,2010,24695.0,42065334.0,58.7,79.4,,,,,Black or African American,2054-5
,Other bacterial diseases,A30-A49,2010,2010,129666.0,245423340.0,52.8,45.4,,,,,White,2106-3
,Other bacterial diseases,A30-A49,2011,2011,1329.0,4347413.0,30.6,51.3,,,,,American Indian or Alaska Native,1002-5
,Other bacterial diseases,A30-A49,2011,2011,4224.0,17471358.0,24.2,32.8,,,,,Asian,A-PI
,Other bacterial diseases,A30-A49,2011,2011,25012.0,42678815.0,58.6,77.6,,,,,Black or African American,2054-5
,Other bacterial diseases,A30-A49,2011,2011,134240.0,247094331.0,54.3,45.9,,,,,White,2106-3
,Other bacterial diseases,A30-A49,2012,2012,1358.0,4398436.0,30.9,50.6,,,,,American Indian or Alaska Native,1002-5
,Other bacterial diseases,A30-A49,2012,2012,4425.0,18087959.0,24.5,32.3,,,,,Asian,A-PI
,Other bacterial diseases,A30-A49,2012,2012,24713.0,43203092.0,57.2,74.0,,,,,Black or African American,2054-5
,Other bacterial diseases,A30-A49,2012,2012,134596.0,248224553.0,54.2,45.1,,,,,White,2106-3
,Other bacterial diseases,A30-A49,2013,2013,1465.0,4457934.0,32.9,50.8,,,,,American Indian or Alaska Native,1002-5
,Other bacterial diseases,A30-A49,2013,2013,4906.0,18630136.0,26.3,33.4,,,,,Asian,A-PI
,Other bacterial diseases,A30-A49,2013,2013,26113.0,43696271.0,59.8,75.6,,,,,Black or African American,2054-5
,Other bacterial diseases,A30-A49,2013,2013,141136.0,249344498.0,56.6,46.4,,,,,White,2106-3
,Other bacterial diseases,A30-A49,2014,2014,1608.0,4518981.0,35.6,53.6,,,,,American Indian or Alaska Native,1002-5
,Other bacterial diseases,A30-A49,2014,2014,5032.0,19398214.0,25.9,32.0,,,,,Asian,A-PI
,Other bacterial diseases,A30-A49,2014,2014,26903.0,44309394.0,60.7,75.1,,,,,Black or African American,2054-5
,Other bacterial diseases,A30-A49,2014,2014,148699.0,250630467.0,59.3,48.0,,,,,White,2106-3
,Other bacterial diseases,A30-A49,2015,2015,1698.0,4577853.0,37.1,54.1,,,,,American Indian or Alaska Native,1002-5
,Other bacterial diseases,A30-A49,2015,2015,5563.0,20102717.0,27.7,33.1,,,,,Asian,A-PI
,Other bacterial diseases,A30-A49,2015,2015,28723.0,44863196.0,64.0,77.5,,,,,Black or African American,2054-5
,Other bacterial diseases,A30-A49,2015,2015,159230.0,251875054.0,63.2,50.4,,,,,White,2106-3
,Other bacterial diseases,A30-A49,2016,2016,1799.0,4630155.0,38.9,54.5,,,,,American Indian or Alaska Native,1002-5
,Other bacterial diseases,A30-A49,2016,2016,5823.0,20487524.0,28.4,32.8,,,,,Asian,A-PI
,Other bacterial diseases,A30-A49,2016,2016,29115.0,45307020.0,64.3,76.0,,,,,Black or African American,2054-5
,Other bacterial diseases,A30-A49,2016,2016,161418.0,252702814.0,63.9,50.3,,,,,White,2106-3
,Other bacterial diseases,A30-A49,2017,2017,1868.0,4689047.0,39.8,54.8,,,,,American Indian or Alaska Native,1002-5
,Other bacterial diseases,A30-A49,2017,2017,6225.0,21210673.0,29.3,33.2,,,,,Asian,A-PI
,Other bacterial diseases,A30-A49,2017,2017,29580.0,45883808.0,64.5,74.7,,,,,Black or African American,2054-5
,Other bacterial diseases,A30-A49,2017,2017,166003.0,253935650.0,65.4,50.7,,,,,White,2106-3
,Other bacterial diseases,A30-A49,2018,2018,1699.0,4147521.0,41.0,51.8,39.0,42.9,49.2,54.4,American Indian or Alaska Native,1002-5
,Other bacterial diseases,A30-A49,2018,2018,5773.0,19330600.0,29.9,31.3,29.1,30.6,30.5,32.2,Asian,A
,Other bacterial diseases,A30-A49,2018,2018,30323.0,43804319.0,69.2,75.9,68.4,70.0,75.1,76.8,Black or African American,2054-5
,Other bacterial diseases,A30-A49,2018,2018,312.0,799418.0,39.0,53.6,34.7,43.4,47.5,60.4,Native Hawaiian or Other Pacific Islander,NHOPI
,Other bacterial diseases,A30-A49,2018,2018,166885.0,250139096.0,66.7,50.4,66.4,67.0,50.1,50.6,White,2106-3
,Other bacterial diseases,A30-A49,2018,2018,933.0,8946480.0,10.4,21.8,9.8,11.1,20.3,23.3,More than one race,M
,Other bacterial diseases,A30-A49,2019,2019,1674.0,4188092.0,40.0,49.6,38.1,41.9,47.1,52.1,American Indian or Alaska Native,1002-5
,Other bacterial diseases,A30-A49,2019,2019,5724.0,19504862.0,29.3,29.7,28.6,30.1,28.9,30.5,Asian,A
,Other bacterial diseases,A30-A49,2019,2019,29508.0,44075086.0,66.9,71.8,66.2,67.7,70.9,72.6,Black or African American,2054-5
,Other bacterial diseases,A30-A49,2019,2019,356.0,806937.0,44.1,55.1,39.5,48.7,49.2,61.5,Native Hawaiian or Other Pacific Islander,NHOPI
,Other bacterial diseases,A30-A49,2019,2019,162915.0,250522190.0,65.0,48.4,64.7,65.3,48.2,48.7,White,2106-3
,Other bacterial diseases,A30-A49,2019,2019,915.0,9142356.0,10.0,20.3,9.4,10.7,18.9,21.7,More than one race,M
,Other bacterial diseases,A30-A49,2020,2020,2375.0,4292990.0,55.3,65.6,53.1,57.5,62.9,68.4,American Indian or Alaska Native,1002-5
,Other bacterial diseases,A30-A49,2020,2020,7647.0,20012278.0,38.2,37.4,37.4,39.1,36.6,38.3,Asian,A
,Other bacterial diseases,A30-A49,2020,2020,38590.0,44531112.0,86.7,91.2,85.8,87.5,90.3,92.2,Black or African American,2054-5
,Other bacterial diseases,A30-A49,2020,2020,494.0,843693.0,58.6,73.0,53.4,63.7,66.5,80.2,Native Hawaiian or Other Pacific Islander,NHOPI
,Other bacterial diseases,A30-A49,2020,2020,191831.0,250309724.0,76.6,56.4,76.3,77.0,56.1,56.7,White,2106-3
,Other bacterial diseases,A30-A49,2020,2020,1218.0,9494326.0,12.8,26.3,12.1,13.5,24.8,27.9,More than one race,M
,Other bacterial diseases,A30-A49,2021,2021,2560.0,4367540.0,58.6,68.1,56.3,60.9,65.4,71.0,American Indian or Alaska Native,1002-5
,Other bacterial diseases,A30-A49,2021,2021,8138.0,20350483.0,40.0,39.3,39.1,40.9,38.5,40.2,Asian,A
