Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,Sex,Sex Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,Other bacterial diseases,A30-A49,2010,2010,Female,F,83122.0,156964212.0,53.0,52.6,53.3,43.4,,
,Other bacterial diseases,A30-A49,2010,2010,Male,M,76520.0,151781326.0,50.4,50.1,50.8,54.9,,
Total,Other bacterial diseases,A30-A49,2010,2010,,,159642.0,308745538.0,51.7,51.5,52.0,48.3,,
,Other bacterial diseases,A30-A49,2011,2011,Female,F,86190.0,158301098.0,54.4,54.1,54.8,44.0,,
,Other bacterial diseases,A30-A49,2011,2011,Male,M,78615.0,153290819.0,51.3,50.9,51.6,54.7,,
Total,Other bacterial diseases,A30-A49,2011,2011,,,164805.0,311591917.0,52.9,52.6,53.1,48.5,,
,Other bacterial diseases,A30-A49,2012,2012,Female,F,85350.0,159421973.0,53.5,53.2,53.9,42.7,,
,Other bacterial diseases,A30-A49,2012,2012,Male,M,79742.0,154492067.0,51.6,51.3,52.0,53.9,,
Total,Other bacterial diseases,A30-A49,2012,2012,,,165092.0,313914040.0,52.6,52.3,52.8,47.4,,
,Other bacterial diseases,A30-A49,2013,2013,Female,F,89595.0,160477237.0,55.8,55.5,56.2,44.0,,
,Other bacterial diseases,A30-A49,2013,2013,Male,M,84025.0,155651602.0,54.0,53.6,54.3,55.1,,
Total,Other bacterial diseases,A30-A49,2013,2013,,,173620.0,316128839.0,54.9,54.7,55.2,48.8,,
,Other bacterial diseases,A30-A49,2014,2014,Female,F,93388.0,161920569.0,57.7,57.3,58.0,45.0,,
,Other bacterial diseases,A30-A49,2014,2014,Male,M,88854.0,156936487.0,56.6,56.2,57.0,56.6,,
Total,Other bacterial diseases,A30-A49,2014,2014,,,182242.0,318857056.0,57.2,56.9,57.4,50.0,,
,Other bacterial diseases,A30-A49,2015,2015,Female,F,99474.0,163189523.0,61.0,60.6,61.3,47.0,,
,Other bacterial diseases,A30-A49,2015,2015,Male,M,95740.0,158229297.0,60.5,60.1,60.9,59.6,,
Total,Other bacterial diseases,A30-A49,2015,2015,,,195214.0,321418820.0,60.7,60.5,61.0,52.4,,
,Other bacterial diseases,A30-A49,2016,2016,Female,F,100300.0,164048590.0,61.1,60.8,61.5,46.7,,
,Other bacterial diseases,A30-A49,2016,2016,Male,M,97855.0,159078923.0,61.5,61.1,61.9,59.4,,
Total,Other bacterial diseases,A30-A49,2016,2016,,,198155.0,323127513.0,61.3,61.1,61.6,52.2,,
,Other bacterial diseases,A30-A49,2017,2017,Female,F,102750.0,165311059.0,62.2,61.8,62.5,46.8,,
,Other bacterial diseases,A30-A49,2017,2017,Male,M,100926.0,160408119.0,62.9,62.5,63.3,59.8,,
Total,Other bacterial diseases,A30-A49,2017,2017,,,203676.0,325719178.0,62.5,62.3,62.8,52.4,,
Total,Other bacterial diseases,A30-A49,,,,,1442446.0,2539502901.0,56.8,56.7,56.9,50.1,,
Total,,,,,,,1442446.0,2539502901.0,56.8,56.7,56.9,50.1,,
---,,,,,,,,,,,,,,
"Dataset: Multiple Cause of Death, 1999-2020",,,,,,,,,,,,,,
Query Parameters:,,,,,,,,,,,,,,
"MCD - ICD-10 Codes: A40.0 (Septicaemia due to streptococcus, group A); A40.1 (Septicaemia due to streptococcus, group B); A40.2",,,,,,,,,,,,,,
"(Septicaemia due to streptococcus, group D); A40.3 (Septicaemia due to Streptococcus pneumoniae); A40.8 (Other streptococcal",,,,,,,,,,,,,,
"septicaemia); A40.9 (Streptococcal septicaemia, unspecified); A41.0 (Septicaemia due to Staphylococcus aureus); A41.1",,,,,,,,,,,,,,
(Septicaemia due to other specified staphylococcus); A41.2 (Septicaemia due to unspecified staphylococcus); A41.3 (Septicaemia,,,,,,,,,,,,,,
due to Haemophilus influenzae); A41.4 (Septicaemia due to anaerobes); A41.5 (Septicaemia due to other Gram-negative organisms);,,,,,,,,,,,,,,
"A41.8 (Other specified septicaemia); A41.9 (Septicaemia, unspecified)",,,,,,,,,,,,,,
Year/Month: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017,,,,,,,,,,,,,,
Group By: MCD - ICD Sub-Chapter; Year; Sex,,,,,,,,,,,,,,
Show Totals: True,,,,,,,,,,,,,,
