Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,State,State Code,Deaths,Population,Crude Rate,Age Adjusted Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,Other bacterial diseases,A30-A49,2010,2010,Alabama,1.0,3033.0,4779736.0,63.5,58.6,,,,
,Other bacterial diseases,A30-A49,2010,2010,Alaska,2.0,179.0,710231.0,25.2,37.4,,,,
,Other bacterial diseases,A30-A49,2010,2010,Arizona,4.0,2659.0,6392017.0,41.6,39.1,,,,
,Other bacterial diseases,A30-A49,2010,2010,Arkansas,5.0,1757.0,2915918.0,60.3,53.9,,,,
,Other bacterial diseases,A30-A49,2010,2010,California,6.0,17395.0,37253956.0,46.7,48.3,,,,
,Other bacterial diseases,A30-A49,2010,2010,Colorado,8.0,1493.0,5029196.0,29.7,32.4,,,,
,Other bacterial diseases,A30-A49,2010,2010,Connecticut,9.0,2130.0,3574097.0,59.6,48.7,,,,
,Other bacterial diseases,A30-A49,2010,2010,Delaware,10.0,504.0,897934.0,56.1,49.6,,,,
,Other bacterial diseases,A30-A49,2010,2010,District of Columbia,11.0,484.0,601723.0,80.4,84.4,,,,
,Other bacterial diseases,A30-A49,2010,2010,Florida,12.0,9034.0,18801310.0,48.0,36.1,,,,
,Other bacterial diseases,A30-A49,2010,2010,Georgia,13.0,5104.0,9687653.0,52.7,60.4,,,,
,Other bacterial diseases,A30-A49,2010,2010,Hawaii,15.0,585.0,1360301.0,43.0,35.9,,,,
,Other bacterial diseases,A30-A49,2010,2010,Idaho,16.0,479.0,1567582.0,30.6,30.3,,,,
,Other bacterial diseases,A30-A49,2010,2010,Illinois,17.0,7153.0,12830632.0,55.7,53.0,,,,
,Other bacterial diseases,A30-A49,2010,2010,Indiana,18.0,3313.0,6483802.0,51.1,47.8,,,,
,Other bacterial diseases,A30-A49,2010,2010,Iowa,19.0,1209.0,3046355.0,39.7,31.8,,,,
,Other bacterial diseases,A30-A49,2010,2010,Kansas,20.0,1190.0,2853118.0,41.7,37.6,,,,
,Other bacterial diseases,A30-A49,2010,2010,Kentucky,21.0,2960.0,4339367.0,68.2,63.9,,,,
,Other bacterial diseases,A30-A49,2010,2010,Louisiana,22.0,2885.0,4533372.0,63.6,64.1,,,,
,Other bacterial diseases,A30-A49,2010,2010,Maine,23.0,625.0,1328361.0,47.1,36.8,,,,
,Other bacterial diseases,A30-A49,2010,2010,Maryland,24.0,3300.0,5773552.0,57.2,55.5,,,,
,Other bacterial diseases,A30-A49,2010,2010,Massachusetts,25.0,3398.0,6547629.0,51.9,44.2,,,,
,Other bacterial diseases,A30-A49,2010,2010,Michigan,26.0,5541.0,9883640.0,56.1,49.3,,,,
,Other bacterial diseases,A30-A49,2010,2010,Minnesota,27.0,1581.0,5303925.0,29.8,27.2,,,,
,Other bacterial diseases,A30-A49,2010,2010,Mississippi,28.0,1970.0,2967297.0,66.4,65.3,,,,
,Other bacterial diseases,A30-A49,2010,2010,Missouri,29.0,2980.0,5988927.0,49.8,43.9,,,,
,Other bacterial diseases,A30-A49,2010,2010,Montana,30.0,352.0,989415.0,35.6,30.0,,,,
,Other bacterial diseases,A30-A49,2010,2010,Nebraska,31.0,633.0,1826341.0,34.7,30.5,,,,
,Other bacterial diseases,A30-A49,2010,2010,Nevada,32.0,1419.0,2700551.0,52.5,56.4,,,,
,Other bacterial diseases,A30-A49,2010,2010,New Hampshire,33.0,527.0,1316470.0,40.0,36.0,,,,
,Other bacterial diseases,A30-A49,2010,2010,New Jersey,34.0,6299.0,8791894.0,71.6,63.0,,,,
,Other bacterial diseases,A30-A49,2010,2010,New Mexico,35.0,967.0,2059179.0,47.0,44.8,,,,
,Other bacterial diseases,A30-A49,2010,2010,New York,36.0,9813.0,19378102.0,50.6,44.7,,,,
,Other bacterial diseases,A30-A49,2010,2010,North Carolina,37.0,5450.0,9535483.0,57.2,55.5,,,,
,Other bacterial diseases,A30-A49,2010,2010,North Dakota,38.0,273.0,672591.0,40.6,32.6,,,,
,Other bacterial diseases,A30-A49,2010,2010,Ohio,39.0,6763.0,11536504.0,58.6,50.7,,,,
,Other bacterial diseases,A30-A49,2010,2010,Oklahoma,40.0,2393.0,3751351.0,63.8,59.4,,,,
,Other bacterial diseases,A30-A49,2010,2010,Oregon,41.0,1372.0,3831074.0,35.8,30.9,,,,
,Other bacterial diseases,A30-A49,2010,2010,Pennsylvania,42.0,7876.0,12702379.0,62.0,48.6,,,,
,Other bacterial diseases,A30-A49,2010,2010,Rhode Island,44.0,727.0,1052567.0,69.1,55.3,,,,
,Other bacterial diseases,A30-A49,2010,2010,South Carolina,45.0,2959.0,4625364.0,64.0,60.1,,,,
,Other bacterial diseases,A30-A49,2010,2010,South Dakota,46.0,296.0,814180.0,36.4,29.9,,,,
,Other bacterial diseases,A30-A49,2010,2010,Tennessee,47.0,3879.0,6346105.0,61.1,57.3,,,,
,Other bacterial diseases,A30-A49,2010,2010,Texas,48.0,13009.0,25145561.0,51.7,60.1,,,,
,Other bacterial diseases,A30-A49,2010,2010,Utah,49.0,650.0,2763885.0,23.5,30.9,,,,
,Other bacterial diseases,A30-A49,2010,2010,Vermont,50.0,254.0,625741.0,40.6,34.0,,,,
,Other bacterial diseases,A30-A49,2010,2010,Virginia,51.0,4305.0,8001024.0,53.8,54.2,,,,
,Other bacterial diseases,A30-A49,2010,2010,Washington,53.0,2784.0,6724540.0,41.4,40.1,,,,
,Other bacterial diseases,A30-A49,2010,2010,West Virginia,54.0,1419.0,1852994.0,76.6,61.0,,,,
,Other bacterial diseases,A30-A49,2010,2010,Wisconsin,55.0,2083.0,5686986.0,36.6,31.9,,,,
,Other bacterial diseases,A30-A49,2010,2010,Wyoming,56.0,199.0,563626.0,35.3,34.2,,,,
Total,Other bacterial diseases,A30-A49,2010,2010,,,159642.0,308745538.0,51.7,48.3,,,,
,Other bacterial diseases,A30-A49,2011,2011,Alabama,1.0,3022.0,4802740.0,62.9,56.9,,,,
,Other bacterial diseases,A30-A49,2011,2011,Alaska,2.0,199.0,722718.0,27.5,38.2,,,,
,Other bacterial diseases,A30-A49,2011,2011,Arizona,4.0,2708.0,6482505.0,41.8,38.1,,,,
,Other bacterial diseases,A30-A49,2011,2011,Arkansas,5.0,1795.0,2937979.0,61.1,53.7,,,,
,Other bacterial diseases,A30-A49,2011,2011,California,6.0,18126.0,37691912.0,48.1,48.6,,,,
,Other bacterial diseases,A30-A49,2011,2011,Colorado,8.0,1591.0,5116796.0,31.1,33.1,,,,
,Other bacterial diseases,A30-A49,2011,2011,Connecticut,9.0,2230.0,3580709.0,62.3,50.1,,,,
,Other bacterial diseases,A30-A49,2011,2011,Delaware,10.0,442.0,907135.0,48.7,42.4,,,,
,Other bacterial diseases,A30-A49,2011,2011,District of Columbia,11.0,430.0,617996.0,69.6,73.1,,,,
,Other bacterial diseases,A30-A49,2011,2011,Florida,12.0,9507.0,19057542.0,49.9,36.8,,,,
,Other bacterial diseases,A30-A49,2011,2011,Georgia,13.0,5016.0,9815210.0,51.1,57.2,,,,
,Other bacterial diseases,A30-A49,2011,2011,Hawaii,15.0,541.0,1374810.0,39.4,32.8,,,,
,Other bacterial diseases,A30-A49,2011,2011,Idaho,16.0,531.0,1584985.0,33.5,32.8,,,,
,Other bacterial diseases,A30-A49,2011,2011,Illinois,17.0,7356.0,12869257.0,57.2,53.4,,,,
,Other bacterial diseases,A30-A49,2011,2011,Indiana,18.0,3630.0,6516922.0,55.7,51.4,,,,
