"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Other bacterial diseases","A30-A49","2010","2010","< 1 year","1",44,3944153,1.1
,"Other bacterial diseases","A30-A49","2010","2010","1-4 years","1-4",30,16257209,0.2
,"Other bacterial diseases","A30-A49","2010","2010","5-14 years","5-14",32,41025851,0.1
,"Other bacterial diseases","A30-A49","2010","2010","15-24 years","15-24",134,43626342,0.3
,"Other bacterial diseases","A30-A49","2010","2010","25-34 years","25-34",294,41063948,0.7
,"Other bacterial diseases","A30-A49","2010","2010","35-44 years","35-44",737,41070606,1.8
,"Other bacterial diseases","A30-A49","2010","2010","45-54 years","45-54",2193,45006716,4.9
,"Other bacterial diseases","A30-A49","2010","2010","55-64 years","55-64",4156,36482729,11.4
,"Other bacterial diseases","A30-A49","2010","2010","65-74 years","65-74",5933,21713429,27.3
,"Other bacterial diseases","A30-A49","2010","2010","75-84 years","75-84",9264,13061122,70.9
,"Other bacterial diseases","A30-A49","2010","2010","85+ years","85+",9807,5493433,178.5
,"Other bacterial diseases","A30-A49","2011","2011","< 1 year","1",50,3996537,1.3
,"Other bacterial diseases","A30-A49","2011","2011","1-4 years","1-4",37,16165521,0.2
,"Other bacterial diseases","A30-A49","2011","2011","5-14 years","5-14",49,41039048,0.1
,"Other bacterial diseases","A30-A49","2011","2011","15-24 years","15-24",144,43797875,0.3
,"Other bacterial diseases","A30-A49","2011","2011","25-34 years","25-34",373,41790498,0.9
,"Other bacterial diseases","A30-A49","2011","2011","35-44 years","35-44",729,40627954,1.8
,"Other bacterial diseases","A30-A49","2011","2011","45-54 years","45-54",2449,44718203,5.5
,"Other bacterial diseases","A30-A49","2011","2011","55-64 years","55-64",4695,38062140,12.3
,"Other bacterial diseases","A30-A49","2011","2011","65-74 years","65-74",6541,22481738,29.1
,"Other bacterial diseases","A30-A49","2011","2011","75-84 years","75-84",9634,13175230,73.1
,"Other bacterial diseases","A30-A49","2011","2011","85+ years","85+",10578,5737173,184.4
,"Other bacterial diseases","A30-A49","2012","2012","< 1 year","1",51,3943077,1.3
,"Other bacterial diseases","A30-A49","2012","2012","1-4 years","1-4",31,16056267,0.2
,"Other bacterial diseases","A30-A49","2012","2012","5-14 years","5-14",34,41144754,0.1
,"Other bacterial diseases","A30-A49","2012","2012","15-24 years","15-24",139,43943905,0.3
,"Other bacterial diseases","A30-A49","2012","2012","25-34 years","25-34",349,42309321,0.8
,"Other bacterial diseases","A30-A49","2012","2012","35-44 years","35-44",693,40516420,1.7
,"Other bacterial diseases","A30-A49","2012","2012","45-54 years","45-54",2320,44268738,5.2
,"Other bacterial diseases","A30-A49","2012","2012","55-64 years","55-64",4865,38586202,12.6
,"Other bacterial diseases","A30-A49","2012","2012","65-74 years","65-74",6473,23985392,27.0
,"Other bacterial diseases","A30-A49","2012","2012","75-84 years","75-84",9321,13272634,70.2
,"Other bacterial diseases","A30-A49","2012","2012","85+ years","85+",10784,5887330,183.2
,"Other bacterial diseases","A30-A49","2013","2013","< 1 year","1",35,3941783,0.9
,"Other bacterial diseases","A30-A49","2013","2013","1-4 years","1-4",34,15926305,0.2
,"Other bacterial diseases","A30-A49","2013","2013","5-14 years","5-14",32,41221035,0.1
,"Other bacterial diseases","A30-A49","2013","2013","15-24 years","15-24",115,43954402,0.3
,"Other bacterial diseases","A30-A49","2013","2013","25-34 years","25-34",369,42844587,0.9
,"Other bacterial diseases","A30-A49","2013","2013","35-44 years","35-44",788,40452690,1.9
,"Other bacterial diseases","A30-A49","2013","2013","45-54 years","45-54",2397,43767532,5.5
,"Other bacterial diseases","A30-A49","2013","2013","55-64 years","55-64",5327,39316431,13.5
,"Other bacterial diseases","A30-A49","2013","2013","65-74 years","65-74",7367,25216766,29.2
,"Other bacterial diseases","A30-A49","2013","2013","75-84 years","75-84",10131,13446519,75.3
,"Other bacterial diseases","A30-A49","2013","2013","85+ years","85+",11675,6040789,193.3
,"Other bacterial diseases","A30-A49","2014","2014","< 1 year","1",33,3948350,0.8
,"Other bacterial diseases","A30-A49","2014","2014","1-4 years","1-4",26,15928533,0.2
,"Other bacterial diseases","A30-A49","2014","2014","5-14 years","5-14",28,41191072,0.1
,"Other bacterial diseases","A30-A49","2014","2014","15-24 years","15-24",137,43979821,0.3
,"Other bacterial diseases","A30-A49","2014","2014","25-34 years","25-34",360,43516504,0.8
,"Other bacterial diseases","A30-A49","2014","2014","35-44 years","35-44",817,40513133,2.0
,"Other bacterial diseases","A30-A49","2014","2014","45-54 years","45-54",2557,43458851,5.9
,"Other bacterial diseases","A30-A49","2014","2014","55-64 years","55-64",5753,40077581,14.4
,"Other bacterial diseases","A30-A49","2014","2014","65-74 years","65-74",8146,26398290,30.9
,"Other bacterial diseases","A30-A49","2014","2014","75-84 years","75-84",10509,13682690,76.8
,"Other bacterial diseases","A30-A49","2014","2014","85+ years","85+",11868,6162231,192.6
,"Other bacterial diseases","A30-A49","2015","2015","< 1 year","1",45,3978038,1.1
,"Other bacterial diseases","A30-A49","2015","2015","1-4 years","1-4",28,15929243,0.2
,"Other bacterial diseases","A30-A49","2015","2015","5-14 years","5-14",28,41109506,0.1
,"Other bacterial diseases","A30-A49","2015","2015","15-24 years","15-24",143,43848216,0.3
,"Other bacterial diseases","A30-A49","2015","2015","25-34 years","25-34",367,44137202,0.8
,"Other bacterial diseases","A30-A49","2015","2015","35-44 years","35-44",842,40589783,2.1
,"Other bacterial diseases","A30-A49","2015","2015","45-54 years","45-54",2507,43188161,5.8
,"Other bacterial diseases","A30-A49","2015","2015","55-64 years","55-64",6020,40877819,14.7
,"Other bacterial diseases","A30-A49","2015","2015","65-74 years","65-74",9039,27550517,32.8
,"Other bacterial diseases","A30-A49","2015","2015","75-84 years","75-84",11565,13923174,83.1
,"Other bacterial diseases","A30-A49","2015","2015","85+ years","85+",13573,6287161,215.9
,"Other bacterial diseases","A30-A49","2016","2016","< 1 year","1",46,3970145,1.2
,"Other bacterial diseases","A30-A49","2016","2016","1-4 years","1-4",34,15956892,0.2
,"Other bacterial diseases","A30-A49","2016","2016","5-14 years","5-14",32,41048032,0.1
,"Other bacterial diseases","A30-A49","2016","2016","15-24 years","15-24",154,43511027,0.4
,"Other bacterial diseases","A30-A49","2016","2016","25-34 years","25-34",412,44677243,0.9
,"Other bacterial diseases","A30-A49","2016","2016","35-44 years","35-44",917,40470156,2.3
,"Other bacterial diseases","A30-A49","2016","2016","45-54 years","45-54",2514,42786679,5.9
,"Other bacterial diseases","A30-A49","2016","2016","55-64 years","55-64",6497,41463144,15.7
,"Other bacterial diseases","A30-A49","2016","2016","65-74 years","65-74",9438,28630330,33.0
,"Other bacterial diseases","A30-A49","2016","2016","75-84 years","75-84",11572,14233534,81.3
,"Other bacterial diseases","A30-A49","2016","2016","85+ years","85+",13121,6380331,205.6
,"Other bacterial diseases","A30-A49","2017","2017","< 1 year","1",40,3939295,1.0
,"Other bacterial diseases","A30-A49","2017","2017","1-4 years","1-4",32,15999565,0.2
,"Other bacterial diseases","A30-A49","2017","2017","5-14 years","5-14",43,41082692,0.1
,"Other bacterial diseases","A30-A49","2017","2017","15-24 years","15-24",131,43250295,0.3
,"Other bacterial diseases","A30-A49","2017","2017","25-34 years","25-34",404,45342672,0.9
,"Other bacterial diseases","A30-A49","2017","2017","35-44 years","35-44",900,40875370,2.2
,"Other bacterial diseases","A30-A49","2017","2017","45-54 years","45-54",2459,42374952,5.8
,"Other bacterial diseases","A30-A49","2017","2017","55-64 years","55-64",6468,41995658,15.4
,"Other bacterial diseases","A30-A49","2017","2017","65-74 years","65-74",9854,29683446,33.2
,"Other bacterial diseases","A30-A49","2017","2017","75-84 years","75-84",12098,14706551,82.3
,"Other bacterial diseases","A30-A49","2017","2017","85+ years","85+",13918,6468682,215.2
,"Influenza and pneumonia","J09-J18","2010","2010","< 1 year","1",44,3944153,1.1
,"Influenza and pneumonia","J09-J18","2010","2010","1-4 years","1-4",31,16257209,0.2
,"Influenza and pneumonia","J09-J18","2010","2010","5-14 years","5-14",32,41025851,0.1
,"Influenza and pneumonia","J09-J18","2010","2010","15-24 years","15-24",134,43626342,0.3
,"Influenza and pneumonia","J09-J18","2010","2010","25-34 years","25-34",298,41063948,0.7
,"Influenza and pneumonia","J09-J18","2010","2010","35-44 years","35-44",742,41070606,1.8
,"Influenza and pneumonia","J09-J18","2010","2010","45-54 years","45-54",2207,45006716,4.9
,"Influenza and pneumonia","J09-J18","2010","2010","55-64 years","55-64",4190,36482729,11.5
,"Influenza and pneumonia","J09-J18","2010","2010","65-74 years","65-74",5956,21713429,27.4
,"Influenza and pneumonia","J09-J18","2010","2010","75-84 years","75-84",9296,13061122,71.2
,"Influenza and pneumonia","J09-J18","2010","2010","85+ years","85+",9836,5493433,179.1
,"Influenza and pneumonia","J09-J18","2011","2011","< 1 year","1",52,3996537,1.3
