"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Other bacterial diseases","A30-A49","2010","2010","Jan., 2010","2010/01","< 1 year","1",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jan., 2010","2010/01","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jan., 2010","2010/01","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jan., 2010","2010/01","15-24 years","15-24",10,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jan., 2010","2010/01","25-34 years","25-34",29,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jan., 2010","2010/01","35-44 years","35-44",70,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jan., 2010","2010/01","45-54 years","45-54",233,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jan., 2010","2010/01","55-64 years","55-64",423,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jan., 2010","2010/01","65-74 years","65-74",558,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jan., 2010","2010/01","75-84 years","75-84",966,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jan., 2010","2010/01","85+ years","85+",980,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Feb., 2010","2010/02","< 1 year","1",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Feb., 2010","2010/02","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Feb., 2010","2010/02","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Feb., 2010","2010/02","15-24 years","15-24",14,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Feb., 2010","2010/02","25-34 years","25-34",29,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Feb., 2010","2010/02","35-44 years","35-44",72,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Feb., 2010","2010/02","45-54 years","45-54",197,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Feb., 2010","2010/02","55-64 years","55-64",334,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Feb., 2010","2010/02","65-74 years","65-74",481,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Feb., 2010","2010/02","75-84 years","75-84",798,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Feb., 2010","2010/02","85+ years","85+",829,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Feb., 2010","2010/02","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Mar., 2010","2010/03","< 1 year","1",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Mar., 2010","2010/03","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Mar., 2010","2010/03","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable
