"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Place of Death","Place of Death Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Other bacterial diseases","A30-A49","2010","2010","Medical Facility - Inpatient","1",28304,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Medical Facility - Outpatient or ER","2",993,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Medical Facility - Dead on Arrival","3",25,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Medical Facility - Status unknown","10",Missing,Missing,Missing,Missing
,"Other bacterial diseases","A30-A49","2010","2010","Decedent's home","4",534,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Hospice facility","5",603,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Nursing home/long term care","6",1814,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Other","7",315,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Place of death unknown","9",37,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Medical Facility - Inpatient","1",30541,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Medical Facility - Outpatient or ER","2",1073,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Medical Facility - Dead on Arrival","3",20,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Medical Facility - Status unknown","10",Missing,Missing,Missing,Missing
,"Other bacterial diseases","A30-A49","2011","2011","Decedent's home","4",634,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Hospice facility","5",748,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Nursing home/long term care","6",1855,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Other","7",363,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Place of death unknown","9",46,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Medical Facility - Inpatient","1",30147,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Medical Facility - Outpatient or ER","2",1083,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Medical Facility - Dead on Arrival","3",23,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Medical Facility - Status unknown","10",Missing,Missing,Missing,Missing
,"Other bacterial diseases","A30-A49","2012","2012","Decedent's home","4",647,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Hospice facility","5",921,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Nursing home/long term care","6",1857,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Other","7",361,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Place of death unknown","9",23,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Medical Facility - Inpatient","1",32900,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Medical Facility - Outpatient or ER","2",1161,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Medical Facility - Dead on Arrival","3",51,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Medical Facility - Status unknown","10",Missing,Missing,Missing,Missing
,"Other bacterial diseases","A30-A49","2013","2013","Decedent's home","4",749,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Hospice facility","5",1081,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Nursing home/long term care","6",1861,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Other","7",442,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Place of death unknown","9",26,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Medical Facility - Inpatient","1",34523,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Medical Facility - Outpatient or ER","2",1217,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Medical Facility - Dead on Arrival","3",18,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Medical Facility - Status unknown","10",Missing,Missing,Missing,Missing
,"Other bacterial diseases","A30-A49","2014","2014","Decedent's home","4",739,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Hospice facility","5",1412,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Nursing home/long term care","6",1977,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Other","7",326,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Place of death unknown","9",24,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Medical Facility - Inpatient","1",37207,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Medical Facility - Outpatient or ER","2",1375,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Medical Facility - Dead on Arrival","3",23,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Medical Facility - Status unknown","10",Missing,Missing,Missing,Missing
,"Other bacterial diseases","A30-A49","2015","2015","Decedent's home","4",946,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Hospice facility","5",2034,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Nursing home/long term care","6",2255,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Other","7",298,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Place of death unknown","9",19,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2016","2016","Medical Facility - Inpatient","1",37684,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2016","2016","Medical Facility - Outpatient or ER","2",1372,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2016","2016","Medical Facility - Dead on Arrival","3",20,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2016","2016","Medical Facility - Status unknown","10",Missing,Missing,Missing,Missing
,"Other bacterial diseases","A30-A49","2016","2016","Decedent's home","4",1098,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2016","2016","Hospice facility","5",2088,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2016","2016","Nursing home/long term care","6",2130,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2016","2016","Other","7",342,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2016","2016","Place of death unknown","9",Suppressed,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2017","2017","Medical Facility - Inpatient","1",38511,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2017","2017","Medical Facility - Outpatient or ER","2",1529,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2017","2017","Medical Facility - Dead on Arrival","3",25,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2017","2017","Medical Facility - Status unknown","10",Missing,Missing,Missing,Missing
,"Other bacterial diseases","A30-A49","2017","2017","Decedent's home","4",1198,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2017","2017","Hospice facility","5",2526,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2017","2017","Nursing home/long term care","6",2209,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2017","2017","Other","7",343,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2017","2017","Place of death unknown","9",Suppressed,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Medical Facility - Inpatient","1",28435,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Medical Facility - Outpatient or ER","2",997,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Medical Facility - Dead on Arrival","3",25,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Medical Facility - Status unknown","10",Missing,Missing,Missing,Missing
,"Influenza and pneumonia","J09-J18","2010","2010","Decedent's home","4",534,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Hospice facility","5",604,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Nursing home/long term care","6",1818,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Other","7",317,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Place of death unknown","9",37,Not Applicable,Not Applicable,Not Applicable
