"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,"Other bacterial diseases","A30-A49","2018","2018","American Indian or Alaska Native","1002-5",388,4147521,9.4,8.4,10.3,12.3,11.1,13.7
,"Other bacterial diseases","A30-A49","2018","2018","Asian","A",1696,19330600,8.8,8.4,9.2,9.3,8.9,9.8
,"Other bacterial diseases","A30-A49","2018","2018","Black or African American","2054-5",6558,43804319,15.0,14.6,15.3,16.6,16.2,17.0
,"Other bacterial diseases","A30-A49","2018","2018","Native Hawaiian or Other Pacific Islander","NHOPI",74,799418,9.3,7.3,11.6,13.0,10.1,16.6
,"Other bacterial diseases","A30-A49","2018","2018","White","2106-3",38170,250139096,15.3,15.1,15.4,11.4,11.3,11.5
,"Other bacterial diseases","A30-A49","2018","2018","More than one race","M",193,8946480,2.2,1.9,2.5,4.7,4.0,5.5
,"Other bacterial diseases","A30-A49","2018","2018","Not Available","999",0,0,0.0,0.0,0.0,0.0,0.0,0.0
"Total","Other bacterial diseases","A30-A49","2018","2018",,,47079,327167434,14.4,14.3,14.5,11.8,11.7,11.9
,"Other bacterial diseases","A30-A49","2019","2019","American Indian or Alaska Native","1002-5",396,4188092,9.5,8.5,10.4,11.8,10.6,13.1
,"Other bacterial diseases","A30-A49","2019","2019","Asian","A",1677,19504862,8.6,8.2,9.0,8.8,8.3,9.2
,"Other bacterial diseases","A30-A49","2019","2019","Black or African American","2054-5",6316,44075086,14.3,14.0,14.7,15.5,15.1,15.9
,"Other bacterial diseases","A30-A49","2019","2019","Native Hawaiian or Other Pacific Islander","NHOPI",73,806937,9.0,7.1,11.4,11.6,9.0,14.8
,"Other bacterial diseases","A30-A49","2019","2019","White","2106-3",36487,250522190,14.6,14.4,14.7,10.8,10.7,10.9
,"Other bacterial diseases","A30-A49","2019","2019","More than one race","M",204,9142356,2.2,1.9,2.5,4.7,4.1,5.5
,"Other bacterial diseases","A30-A49","2019","2019","Not Available","999",0,0,0.0,0.0,0.0,0.0,0.0,0.0
"Total","Other bacterial diseases","A30-A49","2019","2019",,,45153,328239523,13.8,13.6,13.9,11.1,11.0,11.2
,"Other bacterial diseases","A30-A49","2020","2020","American Indian or Alaska Native","1002-5",732,4292990,17.1,15.8,18.3,20.0,18.6,21.6
,"Other bacterial diseases","A30-A49","2020","2020","Asian","A",2702,20012278,13.5,13.0,14.0,13.2,12.7,13.7
,"Other bacterial diseases","A30-A49","2020","2020","Black or African American","2054-5",10822,44531112,24.3,23.8,24.8,25.6,25.1,26.1
,"Other bacterial diseases","A30-A49","2020","2020","Native Hawaiian or Other Pacific Islander","NHOPI",145,843693,17.2,14.4,20.0,21.5,18.0,25.5
,"Other bacterial diseases","A30-A49","2020","2020","White","2106-3",52417,250309724,20.9,20.8,21.1,15.4,15.2,15.5
,"Other bacterial diseases","A30-A49","2020","2020","More than one race","M",293,9494326,3.1,2.7,3.4,6.6,5.9,7.5
,"Other bacterial diseases","A30-A49","2020","2020","Not Available","999",0,0,0.0,0.0,0.0,0.0,0.0,0.0
"Total","Other bacterial diseases","A30-A49","2020","2020",,,67111,329484123,20.4,20.2,20.5,16.3,16.1,16.4
,"Other bacterial diseases","A30-A49","2021","2021","American Indian or Alaska Native","1002-5",812,4367540,18.6,17.3,19.9,21.2,19.7,22.7
,"Other bacterial diseases","A30-A49","2021","2021","Asian","A",2922,20350483,14.4,13.8,14.9,14.0,13.5,14.6
,"Other bacterial diseases","A30-A49","2021","2021","Black or African American","2054-5",11623,45060857,25.8,25.3,26.3,27.0,26.5,27.5
,"Other bacterial diseases","A30-A49","2021","2021","Native Hawaiian or Other Pacific Islander","NHOPI",206,863043,23.9,20.6,27.1,27.6,23.8,31.9
,"Other bacterial diseases","A30-A49","2021","2021","White","2106-3",60530,251461611,24.1,23.9,24.3,18.3,18.2,18.5
,"Other bacterial diseases","A30-A49","2021","2021","More than one race","M",460,9790211,4.7,4.3,5.1,9.4,8.5,10.4
,"Other bacterial diseases","A30-A49","2021","2021","Not Available","999",0,0,0.0,0.0,0.0,0.0,0.0,0.0
"Total","Other bacterial diseases","A30-A49","2021","2021",,,76553,331893745,23.1,22.9,23.2,19.0,18.8,19.1
,"Other bacterial diseases","A30-A49","2022","2022","American Indian or Alaska Native","1002-5",610,4382234,13.9,12.8,15.0,15.9,14.6,17.2
,"Other bacterial diseases","A30-A49","2022","2022","Asian","A",2393,20953941,11.4,11.0,11.9,10.9,10.5,11.4
,"Other bacterial diseases","A30-A49","2022","2022","Black or African American","2054-5",8738,45399743,19.2,18.8,19.7,20.1,19.6,20.5
,"Other bacterial diseases","A30-A49","2022","2022","Native Hawaiian or Other Pacific Islander","NHOPI",116,878808,13.2,10.8,15.6,15.6,12.8,18.9
,"Other bacterial diseases","A30-A49","2022","2022","White","2106-3",46859,251602174,18.6,18.5,18.8,13.5,13.4,13.7
,"Other bacterial diseases","A30-A49","2022","2022","More than one race","M",337,10070657,3.3,3.0,3.7,6.4,5.7,7.2
,"Other bacterial diseases","A30-A49","2022","2022","Not Available","999",0,0,0.0,0.0,0.0,0.0,0.0,0.0
"Total","Other bacterial diseases","A30-A49","2022","2022",,,59053,333287557,17.7,17.6,17.9,14.0,13.9,14.1
,"Other bacterial diseases","A30-A49","2023","2023","American Indian or Alaska Native","1002-5",487,4486417,10.9,9.9,11.8,12.4,11.3,13.6
,"Other bacterial diseases","A30-A49","2023","2023","Asian","A",2184,21386914,10.2,9.8,10.6,9.6,9.2,10.0
,"Other bacterial diseases","A30-A49","2023","2023","Black or African American","2054-5",7040,45757433,15.4,15.0,15.7,15.9,15.5,16.3
,"Other bacterial diseases","A30-A49","2023","2023","Native Hawaiian or Other Pacific Islander","NHOPI",85,899815,9.4,7.5,11.7,11.4,9.1,14.3
,"Other bacterial diseases","A30-A49","2023","2023","White","2106-3",39955,252065704,15.9,15.7,16.0,11.5,11.4,11.6
,"Other bacterial diseases","A30-A49","2023","2023","More than one race","M",278,10318612,2.7,2.4,3.0,5.3,4.7,6.0
,"Other bacterial diseases","A30-A49","2023","2023","Not Available","999",0,0,0.0,0.0,0.0,0.0,0.0,0.0
"Total","Other bacterial diseases","A30-A49","2023","2023",,,50029,334914895,14.9,14.8,15.1,11.8,11.7,11.9
,"Other bacterial diseases","A30-A49","2024","2024","American Indian or Alaska Native","1002-5",443,4743298,9.3,8.5,10.2,10.6,9.6,11.7
,"Other bacterial diseases","A30-A49","2024","2024","Asian","A",2144,22825008,9.4,9.0,9.8,8.8,8.5,9.2
,"Other bacterial diseases","A30-A49","2024","2024","Black or African American","2054-5",7476,46608846,16.0,15.7,16.4,16.3,15.9,16.7
,"Other bacterial diseases","A30-A49","2024","2024","Native Hawaiian or Other Pacific Islander","NHOPI",111,939712,11.8,9.6,14.0,13.5,11.0,16.3
,"Other bacterial diseases","A30-A49","2024","2024","White","2106-3",39462,254281598,15.5,15.4,15.7,11.1,11.0,11.2
,"Other bacterial diseases","A30-A49","2024","2024","More than one race","M",304,10712526,2.8,2.5,3.2,5.4,4.8,6.1
,"Other bacterial diseases","A30-A49","2024","2024","Not Available","999",0,0,0.0,0.0,0.0,0.0,0.0,0.0
"Total","Other bacterial diseases","A30-A49","2024","2024",,,49940,340110988,14.7,14.6,14.8,11.5,11.4,11.6
,"Other bacterial diseases","A30-A49","2025 (provisional)","2025","American Indian or Alaska Native","1002-5",407,4743298,8.6,7.7,9.4,9.8,8.9,10.8
,"Other bacterial diseases","A30-A49","2025 (provisional)","2025","Asian","A",2140,22825008,9.4,9.0,9.8,8.8,8.4,9.2
,"Other bacterial diseases","A30-A49","2025 (provisional)","2025","Black or African American","2054-5",7450,46608846,16.0,15.6,16.3,16.3,15.9,16.7
,"Other bacterial diseases","A30-A49","2025 (provisional)","2025","Native Hawaiian or Other Pacific Islander","NHOPI",115,939712,12.2,10.0,14.5,14.3,11.7,17.3
,"Other bacterial diseases","A30-A49","2025 (provisional)","2025","White","2106-3",39801,254281598,15.7,15.5,15.8,11.2,11.0,11.3
,"Other bacterial diseases","A30-A49","2025 (provisional)","2025","More than one race","M",279,10712526,2.6,2.3,2.9,4.9,4.3,5.5
,"Other bacterial diseases","A30-A49","2025 (provisional)","2025","Not Available","999",0,0,0.0,0.0,0.0,0.0,0.0,0.0
"Total","Other bacterial diseases","A30-A49","2025 (provisional)","2025",,,50192,340110988,14.8,14.6,14.9,11.5,11.4,11.6
