"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","State","State Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Other bacterial diseases","A30-A49","2010","2010","Alabama","01",567,4779736,11.9,11.1
,"Other bacterial diseases","A30-A49","2010","2010","Alaska","02",29,710231,4.1,6.1
,"Other bacterial diseases","A30-A49","2010","2010","Arizona","04",569,6392017,8.9,8.4
,"Other bacterial diseases","A30-A49","2010","2010","Arkansas","05",348,2915918,11.9,10.6
,"Other bacterial diseases","A30-A49","2010","2010","California","06",4674,37253956,12.5,13.0
,"Other bacterial diseases","A30-A49","2010","2010","Colorado","08",252,5029196,5.0,5.5
,"Other bacterial diseases","A30-A49","2010","2010","Connecticut","09",376,3574097,10.5,8.4
,"Other bacterial diseases","A30-A49","2010","2010","Delaware","10",108,897934,12.0,10.5
,"Other bacterial diseases","A30-A49","2010","2010","District of Columbia","11",104,601723,17.3,17.9
,"Other bacterial diseases","A30-A49","2010","2010","Florida","12",1632,18801310,8.7,6.5
,"Other bacterial diseases","A30-A49","2010","2010","Georgia","13",971,9687653,10.0,11.7
,"Other bacterial diseases","A30-A49","2010","2010","Hawaii","15",139,1360301,10.2,8.4
,"Other bacterial diseases","A30-A49","2010","2010","Idaho","16",76,1567582,4.8,4.9
,"Other bacterial diseases","A30-A49","2010","2010","Illinois","17",1334,12830632,10.4,9.9
,"Other bacterial diseases","A30-A49","2010","2010","Indiana","18",609,6483802,9.4,8.8
,"Other bacterial diseases","A30-A49","2010","2010","Iowa","19",211,3046355,6.9,5.5
,"Other bacterial diseases","A30-A49","2010","2010","Kansas","20",215,2853118,7.5,6.7
,"Other bacterial diseases","A30-A49","2010","2010","Kentucky","21",662,4339367,15.3,14.4
,"Other bacterial diseases","A30-A49","2010","2010","Louisiana","22",509,4533372,11.2,11.5
,"Other bacterial diseases","A30-A49","2010","2010","Maine","23",114,1328361,8.6,6.7
,"Other bacterial diseases","A30-A49","2010","2010","Maryland","24",660,5773552,11.4,11.1
,"Other bacterial diseases","A30-A49","2010","2010","Massachusetts","25",710,6547629,10.8,9.2
,"Other bacterial diseases","A30-A49","2010","2010","Michigan","26",1118,9883640,11.3,10.0
,"Other bacterial diseases","A30-A49","2010","2010","Minnesota","27",293,5303925,5.5,4.9
,"Other bacterial diseases","A30-A49","2010","2010","Mississippi","28",389,2967297,13.1,13.1
,"Other bacterial diseases","A30-A49","2010","2010","Missouri","29",574,5988927,9.6,8.4
,"Other bacterial diseases","A30-A49","2010","2010","Montana","30",84,989415,8.5,7.1
,"Other bacterial diseases","A30-A49","2010","2010","Nebraska","31",111,1826341,6.1,5.3
,"Other bacterial diseases","A30-A49","2010","2010","Nevada","32",361,2700551,13.4,14.5
,"Other bacterial diseases","A30-A49","2010","2010","New Hampshire","33",107,1316470,8.1,7.1
,"Other bacterial diseases","A30-A49","2010","2010","New Jersey","34",1047,8791894,11.9,10.4
,"Other bacterial diseases","A30-A49","2010","2010","New Mexico","35",215,2059179,10.4,9.9
,"Other bacterial diseases","A30-A49","2010","2010","New York","36",2398,19378102,12.4,10.9
,"Other bacterial diseases","A30-A49","2010","2010","North Carolina","37",1167,9535483,12.2,11.9
,"Other bacterial diseases","A30-A49","2010","2010","North Dakota","38",51,672591,7.6,5.9
,"Other bacterial diseases","A30-A49","2010","2010","Ohio","39",1277,11536504,11.1,9.6
,"Other bacterial diseases","A30-A49","2010","2010","Oklahoma","40",581,3751351,15.5,14.5
,"Other bacterial diseases","A30-A49","2010","2010","Oregon","41",272,3831074,7.1,6.1
,"Other bacterial diseases","A30-A49","2010","2010","Pennsylvania","42",1309,12702379,10.3,8.0
,"Other bacterial diseases","A30-A49","2010","2010","Rhode Island","44",145,1052567,13.8,10.8
,"Other bacterial diseases","A30-A49","2010","2010","South Carolina","45",555,4625364,12.0,11.4
,"Other bacterial diseases","A30-A49","2010","2010","South Dakota","46",47,814180,5.8,4.6
,"Other bacterial diseases","A30-A49","2010","2010","Tennessee","47",940,6346105,14.8,14.1
,"Other bacterial diseases","A30-A49","2010","2010","Texas","48",2559,25145561,10.2,12.0
,"Other bacterial diseases","A30-A49","2010","2010","Utah","49",126,2763885,4.6,6.1
,"Other bacterial diseases","A30-A49","2010","2010","Vermont","50",42,625741,6.7,5.9
,"Other bacterial diseases","A30-A49","2010","2010","Virginia","51",756,8001024,9.4,9.7
,"Other bacterial diseases","A30-A49","2010","2010","Washington","53",558,6724540,8.3,8.0
,"Other bacterial diseases","A30-A49","2010","2010","West Virginia","54",309,1852994,16.7,13.2
,"Other bacterial diseases","A30-A49","2010","2010","Wisconsin","55",329,5686986,5.8,5.0
,"Other bacterial diseases","A30-A49","2010","2010","Wyoming","56",36,563626,6.4,5.9
"Total","Other bacterial diseases","A30-A49","2010","2010",,,32625,308745538,10.6,9.9
,"Other bacterial diseases","A30-A49","2011","2011","Alabama","01",562,4802740,11.7,10.6
,"Other bacterial diseases","A30-A49","2011","2011","Alaska","02",47,722718,6.5,8.4
,"Other bacterial diseases","A30-A49","2011","2011","Arizona","04",650,6482505,10.0,9.1
,"Other bacterial diseases","A30-A49","2011","2011","Arkansas","05",345,2937979,11.7,10.3
,"Other bacterial diseases","A30-A49","2011","2011","California","06",5164,37691912,13.7,13.9
,"Other bacterial diseases","A30-A49","2011","2011","Colorado","08",264,5116796,5.2,5.4
,"Other bacterial diseases","A30-A49","2011","2011","Connecticut","09",455,3580709,12.7,10.0
,"Other bacterial diseases","A30-A49","2011","2011","Delaware","10",97,907135,10.7,9.4
,"Other bacterial diseases","A30-A49","2011","2011","District of Columbia","11",76,617996,12.3,12.8
,"Other bacterial diseases","A30-A49","2011","2011","Florida","12",1843,19057542,9.7,7.0
,"Other bacterial diseases","A30-A49","2011","2011","Georgia","13",979,9815210,10.0,11.3
,"Other bacterial diseases","A30-A49","2011","2011","Hawaii","15",138,1374810,10.0,8.2
,"Other bacterial diseases","A30-A49","2011","2011","Idaho","16",101,1584985,6.4,6.3
,"Other bacterial diseases","A30-A49","2011","2011","Illinois","17",1485,12869257,11.5,10.8
,"Other bacterial diseases","A30-A49","2011","2011","Indiana","18",704,6516922,10.8,10.0
,"Other bacterial diseases","A30-A49","2011","2011","Iowa","19",234,3062309,7.6,6.0
,"Other bacterial diseases","A30-A49","2011","2011","Kansas","20",248,2871238,8.6,7.6
,"Other bacterial diseases","A30-A49","2011","2011","Kentucky","21",707,4369356,16.2,14.9
,"Other bacterial diseases","A30-A49","2011","2011","Louisiana","22",480,4574836,10.5,10.5
,"Other bacterial diseases","A30-A49","2011","2011","Maine","23",128,1328188,9.6,7.2
,"Other bacterial diseases","A30-A49","2011","2011","Maryland","24",618,5828289,10.6,10.2
,"Other bacterial diseases","A30-A49","2011","2011","Massachusetts","25",732,6587536,11.1,9.2
,"Other bacterial diseases","A30-A49","2011","2011","Michigan","26",1275,9876187,12.9,11.1
,"Other bacterial diseases","A30-A49","2011","2011","Minnesota","27",316,5344861,5.9,5.3
,"Other bacterial diseases","A30-A49","2011","2011","Mississippi","28",398,2978512,13.4,13.1
,"Other bacterial diseases","A30-A49","2011","2011","Missouri","29",635,6010688,10.6,9.3
