"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Residence State","Residence State Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,"Other bacterial diseases","A30-A49","2018","2018","Alabama","01",908,4887871,18.6,17.4,19.8,15.2,14.2,16.2
,"Other bacterial diseases","A30-A49","2018","2018","Alaska","02",46,737438,6.2,4.6,8.3,7.4,5.3,10.0
,"Other bacterial diseases","A30-A49","2018","2018","Arizona","04",643,7171646,9.0,8.3,9.7,7.2,6.6,7.8
,"Other bacterial diseases","A30-A49","2018","2018","Arkansas","05",643,3013825,21.3,19.7,23.0,17.1,15.8,18.5
,"Other bacterial diseases","A30-A49","2018","2018","California","06",6114,39557045,15.5,15.1,15.8,13.8,13.5,14.2
,"Other bacterial diseases","A30-A49","2018","2018","Colorado","08",456,5695564,8.0,7.3,8.7,7.6,6.9,8.4
,"Other bacterial diseases","A30-A49","2018","2018","Connecticut","09",548,3572665,15.3,14.1,16.6,10.9,10.0,11.9
,"Other bacterial diseases","A30-A49","2018","2018","Delaware","10",136,967171,14.1,11.7,16.4,10.5,8.8,12.6
,"Other bacterial diseases","A30-A49","2018","2018","District of Columbia","11",90,702455,12.8,10.3,15.7,13.3,10.7,16.5
,"Other bacterial diseases","A30-A49","2018","2018","Florida","12",3173,21299325,14.9,14.4,15.4,9.8,9.5,10.2
,"Other bacterial diseases","A30-A49","2018","2018","Georgia","13",1302,10519475,12.4,11.7,13.0,11.9,11.3,12.6
,"Other bacterial diseases","A30-A49","2018","2018","Hawaii","15",133,1420491,9.4,7.8,11.0,6.6,5.5,7.9
,"Other bacterial diseases","A30-A49","2018","2018","Idaho","16",166,1754208,9.5,8.0,10.9,8.2,7.0,9.6
,"Other bacterial diseases","A30-A49","2018","2018","Illinois","17",1699,12741080,13.3,12.7,14.0,10.9,10.4,11.4
,"Other bacterial diseases","A30-A49","2018","2018","Indiana","18",1031,6691878,15.4,14.5,16.3,12.9,12.1,13.7
,"Other bacterial diseases","A30-A49","2018","2018","Iowa","19",385,3156145,12.2,11.0,13.4,9.1,8.2,10.1
,"Other bacterial diseases","A30-A49","2018","2018","Kansas","20",413,2911505,14.2,12.8,15.6,11.4,10.3,12.6
,"Other bacterial diseases","A30-A49","2018","2018","Kentucky","21",1109,4468402,24.8,23.4,26.3,20.4,19.2,21.7
,"Other bacterial diseases","A30-A49","2018","2018","Louisiana","22",621,4659978,13.3,12.3,14.4,11.6,10.7,12.6
,"Other bacterial diseases","A30-A49","2018","2018","Maine","23",130,1338404,9.7,8.0,11.4,6.7,5.6,8.0
,"Other bacterial diseases","A30-A49","2018","2018","Maryland","24",690,6042718,11.4,10.6,12.3,9.6,8.8,10.3
,"Other bacterial diseases","A30-A49","2018","2018","Massachusetts","25",941,6902149,13.6,12.8,14.5,10.4,9.7,11.1
,"Other bacterial diseases","A30-A49","2018","2018","Michigan","26",1409,9995915,14.1,13.4,14.8,10.9,10.4,11.5
,"Other bacterial diseases","A30-A49","2018","2018","Minnesota","27",537,5611179,9.6,8.8,10.4,7.7,7.0,8.4
,"Other bacterial diseases","A30-A49","2018","2018","Mississippi","28",686,2986530,23.0,21.3,24.7,19.4,18.0,21.0
,"Other bacterial diseases","A30-A49","2018","2018","Missouri","29",834,6126452,13.6,12.7,14.5,10.6,9.9,11.4
,"Other bacterial diseases","A30-A49","2018","2018","Montana","30",95,1062305,8.9,7.2,10.9,6.8,5.5,8.4
,"Other bacterial diseases","A30-A49","2018","2018","Nebraska","31",258,1929268,13.4,11.7,15.0,10.7,9.4,12.1
,"Other bacterial diseases","A30-A49","2018","2018","Nevada","32",634,3034392,20.9,19.3,22.5,18.6,17.2,20.2
,"Other bacterial diseases","A30-A49","2018","2018","New Hampshire","33",150,1356458,11.1,9.3,12.8,8.2,6.9,9.7
,"Other bacterial diseases","A30-A49","2018","2018","New Jersey","34",1173,8908520,13.2,12.4,13.9,10.3,9.7,10.9
,"Other bacterial diseases","A30-A49","2018","2018","New Mexico","35",304,2095428,14.5,12.9,16.1,11.9,10.6,13.4
,"Other bacterial diseases","A30-A49","2018","2018","New York","36",3116,19542209,15.9,15.4,16.5,12.3,11.8,12.7
,"Other bacterial diseases","A30-A49","2018","2018","North Carolina","37",1645,10383620,15.8,15.1,16.6,13.3,12.6,13.9
,"Other bacterial diseases","A30-A49","2018","2018","North Dakota","38",100,760077,13.2,10.6,15.7,10.8,8.8,13.4
,"Other bacterial diseases","A30-A49","2018","2018","Ohio","39",1497,11689442,12.8,12.2,13.5,9.9,9.4,10.4
,"Other bacterial diseases","A30-A49","2018","2018","Oklahoma","40",964,3943079,24.4,22.9,26.0,20.8,19.5,22.2
,"Other bacterial diseases","A30-A49","2018","2018","Oregon","41",369,4190713,8.8,7.9,9.7,7.0,6.3,7.8
,"Other bacterial diseases","A30-A49","2018","2018","Pennsylvania","42",1727,12807060,13.5,12.8,14.1,9.6,9.1,10.0
,"Other bacterial diseases","A30-A49","2018","2018","Rhode Island","44",175,1057315,16.6,14.1,19.0,12.2,10.4,14.3
,"Other bacterial diseases","A30-A49","2018","2018","South Carolina","45",908,5084127,17.9,16.7,19.0,14.4,13.4,15.4
,"Other bacterial diseases","A30-A49","2018","2018","South Dakota","46",131,882235,14.8,12.3,17.4,11.3,9.4,13.5
,"Other bacterial diseases","A30-A49","2018","2018","Tennessee","47",1380,6770010,20.4,19.3,21.5,16.9,16.0,17.8
,"Other bacterial diseases","A30-A49","2018","2018","Texas","48",4206,28701845,14.7,14.2,15.1,15.2,14.7,15.7
,"Other bacterial diseases","A30-A49","2018","2018","Utah","49",249,3161105,7.9,6.9,8.9,9.3,8.2,10.6
,"Other bacterial diseases","A30-A49","2018","2018","Vermont","50",37,626299,5.9,4.2,8.1,4.3,3.0,6.0
,"Other bacterial diseases","A30-A49","2018","2018","Virginia","51",1074,8517685,12.6,11.9,13.4,10.9,10.3,11.6
,"Other bacterial diseases","A30-A49","2018","2018","Washington","53",833,7535591,11.1,10.3,11.8,9.7,9.0,10.3
,"Other bacterial diseases","A30-A49","2018","2018","West Virginia","54",549,1805832,30.4,27.9,32.9,21.5,19.7,23.4
,"Other bacterial diseases","A30-A49","2018","2018","Wisconsin","55",577,5813568,9.9,9.1,10.7,7.7,7.1,8.4
,"Other bacterial diseases","A30-A49","2018","2018","Wyoming","56",85,577737,14.7,11.8,18.2,12.4,9.9,15.5
"Total","Other bacterial diseases","A30-A49","2018","2018",,,47079,327167434,14.4,14.3,14.5,11.8,11.7,11.9
,"Other bacterial diseases","A30-A49","2019","2019","Alabama","01",825,4903185,16.8,15.7,18.0,13.2,12.3,14.2
,"Other bacterial diseases","A30-A49","2019","2019","Alaska","02",54,731545,7.4,5.5,9.6,8.9,6.6,11.7
,"Other bacterial diseases","A30-A49","2019","2019","Arizona","04",535,7278717,7.4,6.7,8.0,5.8,5.3,6.3
,"Other bacterial diseases","A30-A49","2019","2019","Arkansas","05",605,3017804,20.0,18.5,21.6,15.7,14.4,17.0
,"Other bacterial diseases","A30-A49","2019","2019","California","06",5754,39512223,14.6,14.2,14.9,12.7,12.4,13.1
,"Other bacterial diseases","A30-A49","2019","2019","Colorado","08",483,5758736,8.4,7.6,9.1,7.8,7.1,8.6
,"Other bacterial diseases","A30-A49","2019","2019","Connecticut","09",480,3565287,13.5,12.3,14.7,9.5,8.7,10.5
,"Other bacterial diseases","A30-A49","2019","2019","Delaware","10",98,973764,10.1,8.2,12.3,7.4,6.0,9.1
,"Other bacterial diseases","A30-A49","2019","2019","District of Columbia","11",96,705749,13.6,11.0,16.6,13.8,11.1,16.9
,"Other bacterial diseases","A30-A49","2019","2019","Florida","12",3046,21477737,14.2,13.7,14.7,9.3,8.9,9.6
,"Other bacterial diseases","A30-A49","2019","2019","Georgia","13",1275,10617423,12.0,11.3,12.7,11.3,10.7,11.9
,"Other bacterial diseases","A30-A49","2019","2019","Hawaii","15",136,1415872,9.6,8.0,11.2,7.0,5.8,8.3
,"Other bacterial diseases","A30-A49","2019","2019","Idaho","16",149,1787065,8.3,7.0,9.7,7.2,6.0,8.4
,"Other bacterial diseases","A30-A49","2019","2019","Illinois","17",1765,12671821,13.9,13.3,14.6,11.3,10.7,11.8
,"Other bacterial diseases","A30-A49","2019","2019","Indiana","18",1064,6732219,15.8,14.9,16.8,13.1,12.3,13.9
,"Other bacterial diseases","A30-A49","2019","2019","Iowa","19",386,3155070,12.2,11.0,13.5,9.1,8.2,10.1
,"Other bacterial diseases","A30-A49","2019","2019","Kansas","20",384,2913314,13.2,11.9,14.5,10.4,9.4,11.5
,"Other bacterial diseases","A30-A49","2019","2019","Kentucky","21",1089,4467673,24.4,22.9,25.8,19.8,18.6,21.0
,"Other bacterial diseases","A30-A49","2019","2019","Louisiana","22",539,4648794,11.6,10.6,12.6,9.9,9.1,10.8
,"Other bacterial diseases","A30-A49","2019","2019","Maine","23",123,1344212,9.2,7.5,10.8,6.2,5.1,7.5
,"Other bacterial diseases","A30-A49","2019","2019","Maryland","24",700,6045680,11.6,10.7,12.4,9.5,8.8,10.3
,"Other bacterial diseases","A30-A49","2019","2019","Massachusetts","25",947,6892503,13.7,12.9,14.6,10.4,9.7,11.1
,"Other bacterial diseases","A30-A49","2019","2019","Michigan","26",1426,9986857,14.3,13.5,15.0,10.9,10.3,11.5
,"Other bacterial diseases","A30-A49","2019","2019","Minnesota","27",555,5639632,9.8,9.0,10.7,7.8,7.1,8.5
,"Other bacterial diseases","A30-A49","2019","2019","Mississippi","28",719,2976149,24.2,22.4,25.9,20.5,19.0,22.1
,"Other bacterial diseases","A30-A49","2019","2019","Missouri","29",776,6137428,12.6,11.8,13.5,9.7,9.0,10.5
,"Other bacterial diseases","A30-A49","2019","2019","Montana","30",100,1068778,9.4,7.5,11.2,7.0,5.7,8.7
,"Other bacterial diseases","A30-A49","2019","2019","Nebraska","31",224,1934408,11.6,10.1,13.1,9.1,7.9,10.4
,"Other bacterial diseases","A30-A49","2019","2019","Nevada","32",560,3080156,18.2,16.7,19.7,15.9,14.6,17.3
,"Other bacterial diseases","A30-A49","2019","2019","New Hampshire","33",133,1359711,9.8,8.1,11.4,7.2,6.0,8.6
,"Other bacterial diseases","A30-A49","2019","2019","New Jersey","34",1141,8882190,12.8,12.1,13.6,9.9,9.3,10.5
,"Other bacterial diseases","A30-A49","2019","2019","New Mexico","35",298,2096829,14.2,12.6,15.8,11.2,9.9,12.6
,"Other bacterial diseases","A30-A49","2019","2019","New York","36",3099,19453561,15.9,15.4,16.5,12.1,11.6,12.5
,"Other bacterial diseases","A30-A49","2019","2019","North Carolina","37",1410,10488084,13.4,12.7,14.1,11.1,10.5,11.7
,"Other bacterial diseases","A30-A49","2019","2019","North Dakota","38",89,762062,11.7,9.4,14.4,9.8,7.8,12.2
,"Other bacterial diseases","A30-A49","2019","2019","Ohio","39",1425,11689100,12.2,11.6,12.8,9.3,8.8,9.8
,"Other bacterial diseases","A30-A49","2019","2019","Oklahoma","40",958,3956971,24.2,22.7,25.7,20.4,19.1,21.7
,"Other bacterial diseases","A30-A49","2019","2019","Oregon","41",358,4217737,8.5,7.6,9.4,6.6,5.9,7.3
,"Other bacterial diseases","A30-A49","2019","2019","Pennsylvania","42",1662,12801989,13.0,12.4,13.6,9.2,8.7,9.6
,"Other bacterial diseases","A30-A49","2019","2019","Rhode Island","44",152,1059361,14.3,12.1,16.6,10.3,8.7,12.2
,"Other bacterial diseases","A30-A49","2019","2019","South Carolina","45",860,5148714,16.7,15.6,17.8,13.2,12.3,14.1
,"Other bacterial diseases","A30-A49","2019","2019","South Dakota","46",131,884659,14.8,12.3,17.3,11.3,9.4,13.6
,"Other bacterial diseases","A30-A49","2019","2019","Tennessee","47",1332,6829174,19.5,18.5,20.6,15.9,15.0,16.7
,"Other bacterial diseases","A30-A49","2019","2019","Texas","48",4103,28995881,14.2,13.7,14.6,14.4,13.9,14.8
,"Other bacterial diseases","A30-A49","2019","2019","Utah","49",216,3205958,6.7,5.8,7.6,7.9,6.8,9.0
,"Other bacterial diseases","A30-A49","2019","2019","Vermont","50",38,623989,6.1,4.3,8.4,4.2,2.9,5.9
,"Other bacterial diseases","A30-A49","2019","2019","Virginia","51",900,8535519,10.5,9.9,11.2,8.8,8.2,9.4
,"Other bacterial diseases","A30-A49","2019","2019","Washington","53",807,7614893,10.6,9.9,11.3,9.0,8.4,9.7
,"Other bacterial diseases","A30-A49","2019","2019","West Virginia","54",496,1792147,27.7,25.2,30.1,19.3,17.6,21.2
,"Other bacterial diseases","A30-A49","2019","2019","Wisconsin","55",609,5822434,10.5,9.6,11.3,8.0,7.3,8.6
,"Other bacterial diseases","A30-A49","2019","2019","Wyoming","56",43,578759,7.4,5.4,10.0,6.0,4.3,8.3
"Total","Other bacterial diseases","A30-A49","2019","2019",,,45153,328239523,13.8,13.6,13.9,11.1,11.0,11.2
,"Other bacterial diseases","A30-A49","2020","2020","Alabama","01",1275,4921532,25.9,24.5,27.3,20.0,18.9,21.2
,"Other bacterial diseases","A30-A49","2020","2020","Alaska","02",61,731158,8.3,6.4,10.7,8.5,6.4,11.1
,"Other bacterial diseases","A30-A49","2020","2020","Arizona","04",1032,7421401,13.9,13.1,14.8,10.7,10.0,11.4
,"Other bacterial diseases","A30-A49","2020","2020","Arkansas","05",827,3030522,27.3,25.4,29.1,21.4,20.0,23.0
,"Other bacterial diseases","A30-A49","2020","2020","California","06",8690,39368078,22.1,21.6,22.5,19.0,18.6,19.4
,"Other bacterial diseases","A30-A49","2020","2020","Colorado","08",735,5807719,12.7,11.7,13.6,11.5,10.7,12.4
,"Other bacterial diseases","A30-A49","2020","2020","Connecticut","09",615,3557006,17.3,15.9,18.7,12.2,11.3,13.3
,"Other bacterial diseases","A30-A49","2020","2020","Delaware","10",183,986809,18.5,15.9,21.2,12.8,11.0,14.9
,"Other bacterial diseases","A30-A49","2020","2020","District of Columbia","11",124,712816,17.4,14.3,20.5,17.7,14.6,21.2
,"Other bacterial diseases","A30-A49","2020","2020","Florida","12",4546,21733312,20.9,20.3,21.5,13.5,13.1,13.9
,"Other bacterial diseases","A30-A49","2020","2020","Georgia","13",2230,10710017,20.8,20.0,21.7,18.9,18.1,19.7
,"Other bacterial diseases","A30-A49","2020","2020","Hawaii","15",145,1407006,10.3,8.6,12.0,7.2,6.0,8.6
,"Other bacterial diseases","A30-A49","2020","2020","Idaho","16",220,1826913,12.0,10.5,13.6,10.2,8.8,11.6
,"Other bacterial diseases","A30-A49","2020","2020","Illinois","17",2334,12587530,18.5,17.8,19.3,14.8,14.2,15.5
,"Other bacterial diseases","A30-A49","2020","2020","Indiana","18",1588,6754953,23.5,22.4,24.7,19.2,18.2,20.2
,"Other bacterial diseases","A30-A49","2020","2020","Iowa","19",495,3163561,15.6,14.3,17.0,11.5,10.5,12.6
