"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Influenza and pneumonia","J09-J18","2018","2018","Jan., 2018","2018/01",461,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Feb., 2018","2018/02",338,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Mar., 2018","2018/03",407,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Apr., 2018","2018/04",299,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","May, 2018","2018/05",275,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Jun., 2018","2018/06",248,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Jul., 2018","2018/07",283,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Aug., 2018","2018/08",273,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Sep., 2018","2018/09",246,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Oct., 2018","2018/10",309,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Nov., 2018","2018/11",280,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Dec., 2018","2018/12",331,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Influenza and pneumonia","J09-J18","2018","2018",,,3750,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2019","2019","Jan., 2019","2019/01",392,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2019","2019","Feb., 2019","2019/02",338,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2019","2019","Mar., 2019","2019/03",393,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2019","2019","Apr., 2019","2019/04",336,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2019","2019","May, 2019","2019/05",321,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2019","2019","Jun., 2019","2019/06",235,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2019","2019","Jul., 2019","2019/07",265,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2019","2019","Aug., 2019","2019/08",256,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2019","2019","Sep., 2019","2019/09",228,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2019","2019","Oct., 2019","2019/10",239,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2019","2019","Nov., 2019","2019/11",261,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2019","2019","Dec., 2019","2019/12",322,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Influenza and pneumonia","J09-J18","2019","2019",,,3586,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Jan., 2020","2020/01",413,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Feb., 2020","2020/02",369,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Mar., 2020","2020/03",1389,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Apr., 2020","2020/04",6576,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","May, 2020","2020/05",3008,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Jun., 2020","2020/06",1429,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Jul., 2020","2020/07",2399,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Aug., 2020","2020/08",2540,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Sep., 2020","2020/09",1515,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Oct., 2020","2020/10",1659,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Nov., 2020","2020/11",3172,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Dec., 2020","2020/12",5917,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Influenza and pneumonia","J09-J18","2020","2020",,,30386,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2021","2021","Jan., 2021","2021/01",6789,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2021","2021","Feb., 2021","2021/02",3644,Not Applicable,Not Applicable,Not Applicable,Not Applicable
