"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Influenza and pneumonia","J09-J18","2018","2018","Jan., 2018","2018/01","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Jan., 2018","2018/01","15-24 years","15-24",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Jan., 2018","2018/01","25-34 years","25-34",21,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Jan., 2018","2018/01","35-44 years","35-44",28,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Jan., 2018","2018/01","45-54 years","45-54",57,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Jan., 2018","2018/01","55-64 years","55-64",104,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Jan., 2018","2018/01","65-74 years","65-74",93,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Jan., 2018","2018/01","75-84 years","75-84",95,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Jan., 2018","2018/01","85+ years","85+",53,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Feb., 2018","2018/02","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Feb., 2018","2018/02","15-24 years","15-24",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Feb., 2018","2018/02","25-34 years","25-34",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Feb., 2018","2018/02","35-44 years","35-44",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Feb., 2018","2018/02","45-54 years","45-54",39,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Feb., 2018","2018/02","55-64 years","55-64",88,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Feb., 2018","2018/02","65-74 years","65-74",71,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Feb., 2018","2018/02","75-84 years","75-84",70,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Feb., 2018","2018/02","85+ years","85+",36,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Mar., 2018","2018/03","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Mar., 2018","2018/03","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Mar., 2018","2018/03","15-24 years","15-24",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
