"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,"Influenza and pneumonia","J09-J18","2018","2018","American Indian or Alaska Native","1002-5",45,4147521,1.1,0.8,1.5,1.2,0.9,1.6
,"Influenza and pneumonia","J09-J18","2018","2018","Asian","A",162,19330600,0.8,0.7,1.0,0.8,0.7,1.0
,"Influenza and pneumonia","J09-J18","2018","2018","Black or African American","2054-5",506,43804319,1.2,1.1,1.3,1.2,1.1,1.3
,"Influenza and pneumonia","J09-J18","2018","2018","Native Hawaiian or Other Pacific Islander","NHOPI",10,799418,1.3,0.6,2.3,1.9,0.9,3.7
,"Influenza and pneumonia","J09-J18","2018","2018","White","2106-3",2997,250139096,1.2,1.2,1.2,0.9,0.9,1.0
,"Influenza and pneumonia","J09-J18","2018","2018","More than one race","M",30,8946480,0.3,0.2,0.5,0.7,0.4,1.0
,"Influenza and pneumonia","J09-J18","2019","2019","American Indian or Alaska Native","1002-5",62,4188092,1.5,1.1,1.9,1.6,1.2,2.0
,"Influenza and pneumonia","J09-J18","2019","2019","Asian","A",159,19504862,0.8,0.7,0.9,0.8,0.7,0.9
,"Influenza and pneumonia","J09-J18","2019","2019","Black or African American","2054-5",461,44075086,1.0,1.0,1.1,1.1,1.0,1.2
,"Influenza and pneumonia","J09-J18","2019","2019","Native Hawaiian or Other Pacific Islander","NHOPI",10,806937,1.2,0.6,2.3,1.3,0.6,2.4
,"Influenza and pneumonia","J09-J18","2019","2019","White","2106-3",2875,250522190,1.1,1.1,1.2,0.9,0.9,1.0
,"Influenza and pneumonia","J09-J18","2019","2019","More than one race","M",19,9142356,0.2,0.1,0.3,0.3,0.2,0.6
,"Influenza and pneumonia","J09-J18","2020","2020","American Indian or Alaska Native","1002-5",610,4292990,14.2,13.1,15.3,16.5,15.2,18.0
,"Influenza and pneumonia","J09-J18","2020","2020","Asian","A",1473,20012278,7.4,7.0,7.7,7.0,6.6,7.4
,"Influenza and pneumonia","J09-J18","2020","2020","Black or African American","2054-5",6003,44531112,13.5,13.1,13.8,14.0,13.7,14.4
,"Influenza and pneumonia","J09-J18","2020","2020","Native Hawaiian or Other Pacific Islander","NHOPI",116,843693,13.7,11.2,16.3,15.7,12.9,19.1
,"Influenza and pneumonia","J09-J18","2020","2020","White","2106-3",22038,250309724,8.8,8.7,8.9,6.5,6.4,6.6
,"Influenza and pneumonia","J09-J18","2020","2020","More than one race","M",146,9494326,1.5,1.3,1.8,3.0,2.5,3.5
,"Influenza and pneumonia","J09-J18","2021","2021","American Indian or Alaska Native","1002-5",764,4367540,17.5,16.3,18.7,19.3,17.9,20.8
,"Influenza and pneumonia","J09-J18","2021","2021","Asian","A",1531,20350483,7.5,7.1,7.9,7.1,6.7,7.4
,"Influenza and pneumonia","J09-J18","2021","2021","Black or African American","2054-5",5465,45060857,12.1,11.8,12.4,12.1,11.8,12.4
,"Influenza and pneumonia","J09-J18","2021","2021","Native Hawaiian or Other Pacific Islander","NHOPI",217,863043,25.1,21.8,28.5,28.0,24.3,32.2
,"Influenza and pneumonia","J09-J18","2021","2021","White","2106-3",31018,251461611,12.3,12.2,12.5,9.6,9.5,9.7
,"Influenza and pneumonia","J09-J18","2021","2021","More than one race","M",256,9790211,2.6,2.3,2.9,4.6,4.1,5.3
,"Influenza and pneumonia","J09-J18","2022","2022","American Indian or Alaska Native","1002-5",211,4382234,4.8,4.2,5.5,5.3,4.6,6.1
,"Influenza and pneumonia","J09-J18","2022","2022","Asian","A",547,20953941,2.6,2.4,2.8,2.5,2.3,2.7
,"Influenza and pneumonia","J09-J18","2022","2022","Black or African American","2054-5",1589,45399743,3.5,3.3,3.7,3.5,3.3,3.6
,"Influenza and pneumonia","J09-J18","2022","2022","Native Hawaiian or Other Pacific Islander","NHOPI",31,878808,3.5,2.4,5.0,3.9,2.6,5.7
,"Influenza and pneumonia","J09-J18","2022","2022","White","2106-3",10677,251602174,4.2,4.2,4.3,3.2,3.1,3.2
,"Influenza and pneumonia","J09-J18","2022","2022","More than one race","M",100,10070657,1.0,0.8,1.2,1.7,1.4,2.1
,"Influenza and pneumonia","J09-J18","2023","2023","American Indian or Alaska Native","1002-5",72,4486417,1.6,1.3,2.0,1.8,1.4,2.3
,"Influenza and pneumonia","J09-J18","2023","2023","Asian","A",286,21386914,1.3,1.2,1.5,1.2,1.1,1.4
,"Influenza and pneumonia","J09-J18","2023","2023","Black or African American","2054-5",694,45757433,1.5,1.4,1.6,1.5,1.4,1.6
,"Influenza and pneumonia","J09-J18","2023","2023","Native Hawaiian or Other Pacific Islander","NHOPI",13,899815,1.4,0.8,2.5,1.8,0.9,3.2
,"Influenza and pneumonia","J09-J18","2023","2023","White","2106-3",4194,252065704,1.7,1.6,1.7,1.2,1.2,1.3
,"Influenza and pneumonia","J09-J18","2023","2023","More than one race","M",31,10318612,0.3,0.2,0.4,0.5,0.3,0.7
,"Influenza and pneumonia","J09-J18","2024","2024","American Indian or Alaska Native","1002-5",59,4743298,1.2,0.9,1.6,1.3,1.0,1.7
,"Influenza and pneumonia","J09-J18","2024","2024","Asian","A",268,22825008,1.2,1.0,1.3,1.1,0.9,1.2
,"Influenza and pneumonia","J09-J18","2024","2024","Black or African American","2054-5",619,46608846,1.3,1.2,1.4,1.3,1.2,1.4
,"Influenza and pneumonia","J09-J18","2024","2024","Native Hawaiian or Other Pacific Islander","NHOPI",13,939712,1.4,0.7,2.4,1.5,0.8,2.7
,"Influenza and pneumonia","J09-J18","2024","2024","White","2106-3",3829,254281598,1.5,1.5,1.6,1.1,1.1,1.2
,"Influenza and pneumonia","J09-J18","2024","2024","More than one race","M",33,10712526,0.3,0.2,0.4,0.5,0.3,0.7
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","American Indian or Alaska Native","1002-5",62,4743298,1.3,1.0,1.7,1.5,1.1,1.9
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","Asian","A",235,22825008,1.0,0.9,1.2,0.9,0.8,1.1
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","Black or African American","2054-5",568,46608846,1.2,1.1,1.3,1.2,1.1,1.3
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed,939712,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","White","2106-3",3394,254281598,1.3,1.3,1.4,1.0,1.0,1.0
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","More than one race","M",29,10712526,0.3,0.2,0.4,0.4,0.3,0.6
,"Other respiratory diseases principally affecting the interstitium","J80-J84","2018","2018","American Indian or Alaska Native","1002-5",45,4147521,1.1,0.8,1.5,1.2,0.9,1.6
