"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","State","State Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,"Influenza and pneumonia","J09-J18","2010","2010","Alabama","01",86,4779736,1.8,1.4,2.2,1.7,1.3,2.1
,"Influenza and pneumonia","J09-J18","2010","2010","Alaska","02",Suppressed,710231,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Influenza and pneumonia","J09-J18","2010","2010","Arizona","04",69,6392017,1.1,0.8,1.4,1.0,0.8,1.3
,"Influenza and pneumonia","J09-J18","2010","2010","Arkansas","05",50,2915918,1.7,1.3,2.3,1.5,1.1,2.0
,"Influenza and pneumonia","J09-J18","2010","2010","California","06",410,37253956,1.1,1.0,1.2,1.1,1.0,1.3
,"Influenza and pneumonia","J09-J18","2010","2010","Colorado","08",38,5029196,0.8,0.5,1.0,0.8,0.5,1.1
,"Influenza and pneumonia","J09-J18","2010","2010","Connecticut","09",33,3574097,0.9,0.6,1.3,0.7,0.5,1.1
,"Influenza and pneumonia","J09-J18","2010","2010","Delaware","10",Suppressed,897934,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Influenza and pneumonia","J09-J18","2010","2010","District of Columbia","11",Suppressed,601723,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Influenza and pneumonia","J09-J18","2010","2010","Florida","12",204,18801310,1.1,0.9,1.2,0.8,0.7,1.0
,"Influenza and pneumonia","J09-J18","2010","2010","Georgia","13",104,9687653,1.1,0.9,1.3,1.1,0.9,1.4
,"Influenza and pneumonia","J09-J18","2010","2010","Hawaii","15",22,1360301,1.6,1.0,2.4,1.3,0.8,2.0
,"Influenza and pneumonia","J09-J18","2010","2010","Idaho","16",14,1567582,Unreliable,0.5,1.5,Unreliable,0.5,1.6
,"Influenza and pneumonia","J09-J18","2010","2010","Illinois","17",118,12830632,0.9,0.8,1.1,0.9,0.7,1.0
,"Influenza and pneumonia","J09-J18","2010","2010","Indiana","18",57,6483802,0.9,0.7,1.1,0.8,0.6,1.0
,"Influenza and pneumonia","J09-J18","2010","2010","Iowa","19",31,3046355,1.0,0.7,1.4,0.8,0.6,1.2
,"Influenza and pneumonia","J09-J18","2010","2010","Kansas","20",28,2853118,1.0,0.7,1.4,0.9,0.6,1.3
,"Influenza and pneumonia","J09-J18","2010","2010","Kentucky","21",61,4339367,1.4,1.1,1.8,1.2,0.9,1.6
,"Influenza and pneumonia","J09-J18","2010","2010","Louisiana","22",41,4533372,0.9,0.6,1.2,0.9,0.7,1.3
