"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Residence State","Residence State Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,"Influenza and pneumonia","J09-J18","2018","2018","Alabama","01",105,4887871,2.1,1.7,2.6,1.9,1.5,2.3
,"Influenza and pneumonia","J09-J18","2018","2018","Alaska","02",Suppressed,737438,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Influenza and pneumonia","J09-J18","2018","2018","Arizona","04",66,7171646,0.9,0.7,1.2,0.8,0.6,1.0
,"Influenza and pneumonia","J09-J18","2018","2018","Arkansas","05",27,3013825,0.9,0.6,1.3,0.7,0.5,1.0
,"Influenza and pneumonia","J09-J18","2018","2018","California","06",407,39557045,1.0,0.9,1.1,0.9,0.9,1.0
,"Influenza and pneumonia","J09-J18","2018","2018","Colorado","08",63,5695564,1.1,0.8,1.4,1.0,0.8,1.3
,"Influenza and pneumonia","J09-J18","2018","2018","Connecticut","09",37,3572665,1.0,0.7,1.4,0.8,0.6,1.1
,"Influenza and pneumonia","J09-J18","2018","2018","Delaware","10",20,967171,2.1,1.3,3.2,1.9,1.2,3.1
,"Influenza and pneumonia","J09-J18","2018","2018","District of Columbia","11",Suppressed,702455,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Influenza and pneumonia","J09-J18","2018","2018","Florida","12",253,21299325,1.2,1.0,1.3,0.9,0.8,1.0
,"Influenza and pneumonia","J09-J18","2018","2018","Georgia","13",95,10519475,0.9,0.7,1.1,0.9,0.7,1.1
,"Influenza and pneumonia","J09-J18","2018","2018","Hawaii","15",24,1420491,1.7,1.1,2.5,1.3,0.8,1.9
,"Influenza and pneumonia","J09-J18","2018","2018","Idaho","16",20,1754208,1.1,0.7,1.8,1.0,0.6,1.6
,"Influenza and pneumonia","J09-J18","2018","2018","Illinois","17",105,12741080,0.8,0.7,1.0,0.7,0.6,0.9
,"Influenza and pneumonia","J09-J18","2018","2018","Indiana","18",70,6691878,1.0,0.8,1.3,0.9,0.7,1.1
,"Influenza and pneumonia","J09-J18","2018","2018","Iowa","19",29,3156145,0.9,0.6,1.3,0.7,0.4,1.0
,"Influenza and pneumonia","J09-J18","2018","2018","Kansas","20",34,2911505,1.2,0.8,1.6,0.9,0.7,1.4
,"Influenza and pneumonia","J09-J18","2018","2018","Kentucky","21",64,4468402,1.4,1.1,1.8,1.2,0.9,1.6
,"Influenza and pneumonia","J09-J18","2018","2018","Louisiana","22",48,4659978,1.0,0.8,1.4,0.9,0.6,1.2
,"Influenza and pneumonia","J09-J18","2018","2018","Maine","23",24,1338404,1.8,1.1,2.7,1.2,0.7,1.8
,"Influenza and pneumonia","J09-J18","2018","2018","Maryland","24",73,6042718,1.2,0.9,1.5,1.0,0.8,1.3
,"Influenza and pneumonia","J09-J18","2018","2018","Massachusetts","25",76,6902149,1.1,0.9,1.4,0.9,0.7,1.1
,"Influenza and pneumonia","J09-J18","2018","2018","Michigan","26",98,9995915,1.0,0.8,1.2,0.8,0.6,1.0
,"Influenza and pneumonia","J09-J18","2018","2018","Minnesota","27",68,5611179,1.2,0.9,1.5,1.0,0.8,1.3
,"Influenza and pneumonia","J09-J18","2018","2018","Mississippi","28",53,2986530,1.8,1.3,2.3,1.5,1.1,2.0
,"Influenza and pneumonia","J09-J18","2018","2018","Missouri","29",73,6126452,1.2,0.9,1.5,1.0,0.8,1.3
,"Influenza and pneumonia","J09-J18","2018","2018","Montana","30",14,1062305,1.3,0.7,2.2,0.9,0.5,1.7
,"Influenza and pneumonia","J09-J18","2018","2018","Nebraska","31",18,1929268,0.9,0.6,1.5,0.8,0.5,1.3
,"Influenza and pneumonia","J09-J18","2018","2018","Nevada","32",30,3034392,1.0,0.7,1.4,0.8,0.6,1.2
,"Influenza and pneumonia","J09-J18","2018","2018","New Hampshire","33",14,1356458,1.0,0.6,1.7,0.8,0.4,1.4
,"Influenza and pneumonia","J09-J18","2018","2018","New Jersey","34",104,8908520,1.2,0.9,1.4,0.9,0.8,1.1
,"Influenza and pneumonia","J09-J18","2018","2018","New Mexico","35",30,2095428,1.4,1.0,2.0,1.2,0.8,1.8
,"Influenza and pneumonia","J09-J18","2018","2018","New York","36",179,19542209,0.9,0.8,1.1,0.7,0.6,0.9
,"Influenza and pneumonia","J09-J18","2018","2018","North Carolina","37",109,10383620,1.0,0.9,1.2,0.9,0.7,1.0
,"Influenza and pneumonia","J09-J18","2018","2018","North Dakota","38",14,760077,1.8,1.0,3.1,1.5,0.8,2.7
,"Influenza and pneumonia","J09-J18","2018","2018","Ohio","39",143,11689442,1.2,1.0,1.4,1.0,0.9,1.2
,"Influenza and pneumonia","J09-J18","2018","2018","Oklahoma","40",40,3943079,1.0,0.7,1.4,0.9,0.6,1.2
,"Influenza and pneumonia","J09-J18","2018","2018","Oregon","41",62,4190713,1.5,1.1,1.9,1.2,0.9,1.5
,"Influenza and pneumonia","J09-J18","2018","2018","Pennsylvania","42",179,12807060,1.4,1.2,1.6,1.1,0.9,1.3
,"Influenza and pneumonia","J09-J18","2018","2018","Rhode Island","44",Suppressed,1057315,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
