"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Other bacterial diseases","A30-A49","2010","2010","< 1 year","1",604,3944153,15.3
,"Other bacterial diseases","A30-A49","2010","2010","1-4 years","1-4",233,16257209,1.4
,"Other bacterial diseases","A30-A49","2010","2010","5-14 years","5-14",266,41025851,0.6
,"Other bacterial diseases","A30-A49","2010","2010","15-24 years","15-24",756,43626342,1.7
,"Other bacterial diseases","A30-A49","2010","2010","25-34 years","25-34",1576,41063948,3.8
,"Other bacterial diseases","A30-A49","2010","2010","35-44 years","35-44",3809,41070606,9.3
,"Other bacterial diseases","A30-A49","2010","2010","45-54 years","45-54",11734,45006716,26.1
,"Other bacterial diseases","A30-A49","2010","2010","55-64 years","55-64",22880,36482729,62.7
,"Other bacterial diseases","A30-A49","2010","2010","65-74 years","65-74",31208,21713429,143.7
,"Other bacterial diseases","A30-A49","2010","2010","75-84 years","75-84",44119,13061122,337.8
,"Other bacterial diseases","A30-A49","2010","2010","85+ years","85+",42454,5493433,772.8
,"Other bacterial diseases","A30-A49","2011","2011","< 1 year","1",490,3996537,12.3
,"Other bacterial diseases","A30-A49","2011","2011","1-4 years","1-4",215,16165521,1.3
,"Other bacterial diseases","A30-A49","2011","2011","5-14 years","5-14",279,41039048,0.7
,"Other bacterial diseases","A30-A49","2011","2011","15-24 years","15-24",699,43797875,1.6
,"Other bacterial diseases","A30-A49","2011","2011","25-34 years","25-34",1690,41790498,4.0
,"Other bacterial diseases","A30-A49","2011","2011","35-44 years","35-44",3913,40627954,9.6
,"Other bacterial diseases","A30-A49","2011","2011","45-54 years","45-54",12119,44718203,27.1
,"Other bacterial diseases","A30-A49","2011","2011","55-64 years","55-64",24282,38062140,63.8
,"Other bacterial diseases","A30-A49","2011","2011","65-74 years","65-74",32220,22481738,143.3
,"Other bacterial diseases","A30-A49","2011","2011","75-84 years","75-84",44578,13175230,338.3
,"Other bacterial diseases","A30-A49","2011","2011","85+ years","85+",44316,5737173,772.4
,"Other bacterial diseases","A30-A49","2012","2012","< 1 year","1",467,3943077,11.8
,"Other bacterial diseases","A30-A49","2012","2012","1-4 years","1-4",197,16056267,1.2
,"Other bacterial diseases","A30-A49","2012","2012","5-14 years","5-14",256,41144754,0.6
,"Other bacterial diseases","A30-A49","2012","2012","15-24 years","15-24",666,43943905,1.5
,"Other bacterial diseases","A30-A49","2012","2012","25-34 years","25-34",1669,42309321,3.9
,"Other bacterial diseases","A30-A49","2012","2012","35-44 years","35-44",3767,40516420,9.3
,"Other bacterial diseases","A30-A49","2012","2012","45-54 years","45-54",11586,44268738,26.2
,"Other bacterial diseases","A30-A49","2012","2012","55-64 years","55-64",24698,38586202,64.0
,"Other bacterial diseases","A30-A49","2012","2012","65-74 years","65-74",33292,23985392,138.8
,"Other bacterial diseases","A30-A49","2012","2012","75-84 years","75-84",44031,13272634,331.7
,"Other bacterial diseases","A30-A49","2012","2012","85+ years","85+",44452,5887330,755.0
,"Other bacterial diseases","A30-A49","2012","2012","Not Stated","NS",11,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","< 1 year","1",429,3941783,10.9
,"Other bacterial diseases","A30-A49","2013","2013","1-4 years","1-4",190,15926305,1.2
,"Other bacterial diseases","A30-A49","2013","2013","5-14 years","5-14",240,41221035,0.6
,"Other bacterial diseases","A30-A49","2013","2013","15-24 years","15-24",688,43954402,1.6
,"Other bacterial diseases","A30-A49","2013","2013","25-34 years","25-34",1826,42844587,4.3
,"Other bacterial diseases","A30-A49","2013","2013","35-44 years","35-44",3924,40452690,9.7
,"Other bacterial diseases","A30-A49","2013","2013","45-54 years","45-54",11995,43767532,27.4
,"Other bacterial diseases","A30-A49","2013","2013","55-64 years","55-64",26074,39316431,66.3
,"Other bacterial diseases","A30-A49","2013","2013","65-74 years","65-74",36124,25216766,143.3
,"Other bacterial diseases","A30-A49","2013","2013","75-84 years","75-84",45805,13446519,340.6
,"Other bacterial diseases","A30-A49","2013","2013","85+ years","85+",46320,6040789,766.8
,"Other bacterial diseases","A30-A49","2014","2014","< 1 year","1",421,3948350,10.7
,"Other bacterial diseases","A30-A49","2014","2014","1-4 years","1-4",170,15928533,1.1
,"Other bacterial diseases","A30-A49","2014","2014","5-14 years","5-14",234,41191072,0.6
,"Other bacterial diseases","A30-A49","2014","2014","15-24 years","15-24",731,43979821,1.7
,"Other bacterial diseases","A30-A49","2014","2014","25-34 years","25-34",1797,43516504,4.1
,"Other bacterial diseases","A30-A49","2014","2014","35-44 years","35-44",4194,40513133,10.4
,"Other bacterial diseases","A30-A49","2014","2014","45-54 years","45-54",12547,43458851,28.9
,"Other bacterial diseases","A30-A49","2014","2014","55-64 years","55-64",27980,40077581,69.8
,"Other bacterial diseases","A30-A49","2014","2014","65-74 years","65-74",39222,26398290,148.6
,"Other bacterial diseases","A30-A49","2014","2014","75-84 years","75-84",46739,13682690,341.6
,"Other bacterial diseases","A30-A49","2014","2014","85+ years","85+",48198,6162231,782.2
,"Other bacterial diseases","A30-A49","2015","2015","< 1 year","1",464,3978038,11.7
,"Other bacterial diseases","A30-A49","2015","2015","1-4 years","1-4",207,15929243,1.3
,"Other bacterial diseases","A30-A49","2015","2015","5-14 years","5-14",249,41109506,0.6
,"Other bacterial diseases","A30-A49","2015","2015","15-24 years","15-24",706,43848216,1.6
,"Other bacterial diseases","A30-A49","2015","2015","25-34 years","25-34",1996,44137202,4.5
,"Other bacterial diseases","A30-A49","2015","2015","35-44 years","35-44",4236,40589783,10.4
,"Other bacterial diseases","A30-A49","2015","2015","45-54 years","45-54",12845,43188161,29.7
,"Other bacterial diseases","A30-A49","2015","2015","55-64 years","55-64",29412,40877819,72.0
,"Other bacterial diseases","A30-A49","2015","2015","65-74 years","65-74",42671,27550517,154.9
,"Other bacterial diseases","A30-A49","2015","2015","75-84 years","75-84",50007,13923174,359.2
,"Other bacterial diseases","A30-A49","2015","2015","85+ years","85+",52413,6287161,833.7
,"Other bacterial diseases","A30-A49","2016","2016","< 1 year","1",505,3970145,12.7
,"Other bacterial diseases","A30-A49","2016","2016","1-4 years","1-4",230,15956892,1.4
,"Other bacterial diseases","A30-A49","2016","2016","5-14 years","5-14",282,41048032,0.7
