"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Other bacterial diseases","A30-A49","2018","2018","< 1 year","1",394,3848208,10.2,9.2,11.2
,"Other bacterial diseases","A30-A49","2018","2018","1-4 years","1-4",177,15962067,1.1,0.9,1.3
,"Other bacterial diseases","A30-A49","2018","2018","5-14 years","5-14",242,41075169,0.6,0.5,0.7
,"Other bacterial diseases","A30-A49","2018","2018","15-24 years","15-24",697,42970800,1.6,1.5,1.7
,"Other bacterial diseases","A30-A49","2018","2018","25-34 years","25-34",2178,45697774,4.8,4.6,5.0
,"Other bacterial diseases","A30-A49","2018","2018","35-44 years","35-44",4694,41277888,11.4,11.0,11.7
,"Other bacterial diseases","A30-A49","2018","2018","45-54 years","45-54",12495,41631699,30.0,29.5,30.5
,"Other bacterial diseases","A30-A49","2018","2018","55-64 years","55-64",31253,42272636,73.9,73.1,74.8
,"Other bacterial diseases","A30-A49","2018","2018","65-74 years","65-74",47731,30492316,156.5,155.1,157.9
,"Other bacterial diseases","A30-A49","2018","2018","75-84 years","75-84",53407,15394374,346.9,344.0,349.9
,"Other bacterial diseases","A30-A49","2018","2018","85+ years","85+",52644,6544503,804.4,797.5,811.3
,"Other bacterial diseases","A30-A49","2018","2018","Not Stated","NS",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2019","2019","< 1 year","1",361,3783052,9.5,8.6,10.5
,"Other bacterial diseases","A30-A49","2019","2019","1-4 years","1-4",174,15793631,1.1,0.9,1.3
,"Other bacterial diseases","A30-A49","2019","2019","5-14 years","5-14",241,40994163,0.6,0.5,0.7
,"Other bacterial diseases","A30-A49","2019","2019","15-24 years","15-24",679,42687510,1.6,1.5,1.7
,"Other bacterial diseases","A30-A49","2019","2019","25-34 years","25-34",2291,45940321,5.0,4.8,5.2
,"Other bacterial diseases","A30-A49","2019","2019","35-44 years","35-44",4694,41659144,11.3,10.9,11.6
,"Other bacterial diseases","A30-A49","2019","2019","45-54 years","45-54",11911,40874902,29.1,28.6,29.7
,"Other bacterial diseases","A30-A49","2019","2019","55-64 years","55-64",30758,42448537,72.5,71.6,73.3
,"Other bacterial diseases","A30-A49","2019","2019","65-74 years","65-74",47448,31483433,150.7,149.4,152.1
,"Other bacterial diseases","A30-A49","2019","2019","75-84 years","75-84",52990,15969872,331.8,329.0,334.6
,"Other bacterial diseases","A30-A49","2019","2019","85+ years","85+",49536,6604958,750.0,743.4,756.6
,"Other bacterial diseases","A30-A49","2019","2019","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2020","2020","< 1 year","1",365,3735010,9.8,8.8,10.8
,"Other bacterial diseases","A30-A49","2020","2020","1-4 years","1-4",146,15566282,0.9,0.8,1.1
,"Other bacterial diseases","A30-A49","2020","2020","5-14 years","5-14",210,40992134,0.5,0.4,0.6
,"Other bacterial diseases","A30-A49","2020","2020","15-24 years","15-24",711,42555684,1.7,1.5,1.8
,"Other bacterial diseases","A30-A49","2020","2020","25-34 years","25-34",2680,46069646,5.8,5.6,6.0
,"Other bacterial diseases","A30-A49","2020","2020","35-44 years","35-44",6335,42136192,15.0,14.7,15.4
,"Other bacterial diseases","A30-A49","2020","2020","45-54 years","45-54",15512,40366133,38.4,37.8,39.0
,"Other bacterial diseases","A30-A49","2020","2020","55-64 years","55-64",38610,42403677,91.1,90.1,92.0
,"Other bacterial diseases","A30-A49","2020","2020","65-74 years","65-74",60623,32549398,186.2,184.8,187.7
,"Other bacterial diseases","A30-A49","2020","2020","75-84 years","75-84",63001,16451547,382.9,380.0,385.9
,"Other bacterial diseases","A30-A49","2020","2020","85+ years","85+",53957,6658420,810.4,803.5,817.2
,"Other bacterial diseases","A30-A49","2020","2020","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2021","2021","< 1 year","1",352,3564493,9.9,8.8,10.9
,"Other bacterial diseases","A30-A49","2021","2021","1-4 years","1-4",157,15262845,1.0,0.9,1.2
,"Other bacterial diseases","A30-A49","2021","2021","5-14 years","5-14",212,41739332,0.5,0.4,0.6
,"Other bacterial diseases","A30-A49","2021","2021","15-24 years","15-24",813,43088663,1.9,1.8,2.0
,"Other bacterial diseases","A30-A49","2021","2021","25-34 years","25-34",3244,45495105,7.1,6.9,7.4
,"Other bacterial diseases","A30-A49","2021","2021","35-44 years","35-44",8428,43403854,19.4,19.0,19.8
,"Other bacterial diseases","A30-A49","2021","2021","45-54 years","45-54",18530,40688436,45.5,44.9,46.2
,"Other bacterial diseases","A30-A49","2021","2021","55-64 years","55-64",44387,42803064,103.7,102.7,104.7
,"Other bacterial diseases","A30-A49","2021","2021","65-74 years","65-74",67707,33666122,201.1,199.6,202.6
,"Other bacterial diseases","A30-A49","2021","2021","75-84 years","75-84",65827,16206075,406.2,403.1,409.3
,"Other bacterial diseases","A30-A49","2021","2021","85+ years","85+",51287,5975756,858.3,850.8,865.7
,"Other bacterial diseases","A30-A49","2021","2021","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2022","2022","< 1 year","1",386,3683113,10.5,9.4,11.5
,"Other bacterial diseases","A30-A49","2022","2022","1-4 years","1-4",203,14855240,1.4,1.2,1.6
,"Other bacterial diseases","A30-A49","2022","2022","5-14 years","5-14",301,40899034,0.7,0.7,0.8
,"Other bacterial diseases","A30-A49","2022","2022","15-24 years","15-24",720,44341571,1.6,1.5,1.7
,"Other bacterial diseases","A30-A49","2022","2022","25-34 years","25-34",2869,45501300,6.3,6.1,6.5
,"Other bacterial diseases","A30-A49","2022","2022","35-44 years","35-44",6590,43695365,15.1,14.7,15.4
,"Other bacterial diseases","A30-A49","2022","2022","45-54 years","45-54",14959,40431645,37.0,36.4,37.6
,"Other bacterial diseases","A30-A49","2022","2022","55-64 years","55-64",37385,42085437,88.8,87.9,89.7
,"Other bacterial diseases","A30-A49","2022","2022","65-74 years","65-74",62185,33788439,184.0,182.6,185.5
,"Other bacterial diseases","A30-A49","2022","2022","75-84 years","75-84",66328,17520545,378.6,375.7,381.5
,"Other bacterial diseases","A30-A49","2022","2022","85+ years","85+",51740,6485868,797.7,790.9,804.6
,"Other bacterial diseases","A30-A49","2022","2022","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2023","2023","< 1 year","1",363,3648654,9.9,8.9,11.0
,"Other bacterial diseases","A30-A49","2023","2023","1-4 years","1-4",222,14862506,1.5,1.3,1.7
,"Other bacterial diseases","A30-A49","2023","2023","5-14 years","5-14",340,40987321,0.8,0.7,0.9
,"Other bacterial diseases","A30-A49","2023","2023","15-24 years","15-24",729,43886652,1.7,1.5,1.8
,"Other bacterial diseases","A30-A49","2023","2023","25-34 years","25-34",2501,45542516,5.5,5.3,5.7
,"Other bacterial diseases","A30-A49","2023","2023","35-44 years","35-44",5878,44390693,13.2,12.9,13.6
,"Other bacterial diseases","A30-A49","2023","2023","45-54 years","45-54",12857,40493781,31.8,31.2,32.3
,"Other bacterial diseases","A30-A49","2023","2023","55-64 years","55-64",32588,41854411,77.9,77.0,78.7
,"Other bacterial diseases","A30-A49","2023","2023","65-74 years","65-74",56149,34685284,161.9,160.5,163.2
,"Other bacterial diseases","A30-A49","2023","2023","75-84 years","75-84",64038,18368097,348.6,345.9,351.3
,"Other bacterial diseases","A30-A49","2023","2023","85+ years","85+",49825,6194980,804.3,797.2,811.3
,"Other bacterial diseases","A30-A49","2023","2023","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2024","2024","< 1 year","1",331,3615598,9.2,8.2,10.1
,"Other bacterial diseases","A30-A49","2024","2024","1-4 years","1-4",203,14983716,1.4,1.2,1.5
,"Other bacterial diseases","A30-A49","2024","2024","5-14 years","5-14",308,41098826,0.7,0.7,0.8
,"Other bacterial diseases","A30-A49","2024","2024","15-24 years","15-24",636,44797761,1.4,1.3,1.5
,"Other bacterial diseases","A30-A49","2024","2024","25-34 years","25-34",2237,46453864,4.8,4.6,5.0
,"Other bacterial diseases","A30-A49","2024","2024","35-44 years","35-44",5606,45539224,12.3,12.0,12.6
,"Other bacterial diseases","A30-A49","2024","2024","45-54 years","45-54",12252,40780356,30.0,29.5,30.6
,"Other bacterial diseases","A30-A49","2024","2024","55-64 years","55-64",30683,41661725,73.6,72.8,74.5
,"Other bacterial diseases","A30-A49","2024","2024","65-74 years","65-74",55384,35444962,156.3,155.0,157.6
,"Other bacterial diseases","A30-A49","2024","2024","75-84 years","75-84",64418,19299813,333.8,331.2,336.4
,"Other bacterial diseases","A30-A49","2024","2024","85+ years","85+",49134,6435143,763.5,756.8,770.3
,"Other bacterial diseases","A30-A49","2024","2024","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2025 (provisional)","2025","< 1 year","1",331,3615598,9.2,8.2,10.1
,"Other bacterial diseases","A30-A49","2025 (provisional)","2025","1-4 years","1-4",199,14983716,1.3,1.1,1.5
,"Other bacterial diseases","A30-A49","2025 (provisional)","2025","5-14 years","5-14",260,41098826,0.6,0.6,0.7
,"Other bacterial diseases","A30-A49","2025 (provisional)","2025","15-24 years","15-24",588,44797761,1.3,1.2,1.4
,"Other bacterial diseases","A30-A49","2025 (provisional)","2025","25-34 years","25-34",2031,46453864,4.4,4.2,4.6
,"Other bacterial diseases","A30-A49","2025 (provisional)","2025","35-44 years","35-44",5572,45539224,12.2,11.9,12.6
,"Other bacterial diseases","A30-A49","2025 (provisional)","2025","45-54 years","45-54",11914,40780356,29.2,28.7,29.7
