"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Other bacterial diseases","A30-A49","2010","2010","Jan., 2010","2010/01",14929,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Feb., 2010","2010/02",13004,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Mar., 2010","2010/03",14262,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Apr., 2010","2010/04",13009,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","May, 2010","2010/05",12847,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jun., 2010","2010/06",12335,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jul., 2010","2010/07",12702,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Aug., 2010","2010/08",12766,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Sep., 2010","2010/09",12501,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Oct., 2010","2010/10",13242,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Nov., 2010","2010/11",13462,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Dec., 2010","2010/12",14583,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jan., 2011","2011/01",15972,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Feb., 2011","2011/02",14596,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Mar., 2011","2011/03",15182,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Apr., 2011","2011/04",13307,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","May, 2011","2011/05",13381,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jun., 2011","2011/06",12714,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jul., 2011","2011/07",12960,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Aug., 2011","2011/08",12706,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Sep., 2011","2011/09",12696,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Oct., 2011","2011/10",13579,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Nov., 2011","2011/11",13402,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Dec., 2011","2011/12",14310,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jan., 2012","2012/01",15234,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Feb., 2012","2012/02",13657,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Mar., 2012","2012/03",14511,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Apr., 2012","2012/04",13542,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","May, 2012","2012/05",13217,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jun., 2012","2012/06",12612,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jul., 2012","2012/07",12739,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Aug., 2012","2012/08",13164,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Sep., 2012","2012/09",12860,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Oct., 2012","2012/10",13814,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Nov., 2012","2012/11",14025,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Dec., 2012","2012/12",15717,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Jan., 2013","2013/01",18149,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Feb., 2013","2013/02",14686,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Mar., 2013","2013/03",15689,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Apr., 2013","2013/04",14229,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","May, 2013","2013/05",13511,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Jun., 2013","2013/06",12890,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Jul., 2013","2013/07",13288,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Aug., 2013","2013/08",13592,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Sep., 2013","2013/09",13157,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Oct., 2013","2013/10",14164,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Nov., 2013","2013/11",14190,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Dec., 2013","2013/12",16075,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Jan., 2014","2014/01",17686,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Feb., 2014","2014/02",15099,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Mar., 2014","2014/03",15834,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Apr., 2014","2014/04",14658,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","May, 2014","2014/05",14616,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Jun., 2014","2014/06",13850,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Jul., 2014","2014/07",14499,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Aug., 2014","2014/08",14075,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Sep., 2014","2014/09",14117,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Oct., 2014","2014/10",15070,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Nov., 2014","2014/11",15184,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Dec., 2014","2014/12",17554,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Jan., 2015","2015/01",19755,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Feb., 2015","2015/02",16737,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Mar., 2015","2015/03",17718,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Apr., 2015","2015/04",15936,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","May, 2015","2015/05",15318,Not Applicable,Not Applicable,Not Applicable
