"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Other bacterial diseases","A30-A49","2010","2010","Jan., 2010","2010/01","< 1 year","1",63,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jan., 2010","2010/01","1-4 years","1-4",18,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jan., 2010","2010/01","5-14 years","5-14",25,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jan., 2010","2010/01","15-24 years","15-24",66,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jan., 2010","2010/01","25-34 years","25-34",145,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jan., 2010","2010/01","35-44 years","35-44",342,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jan., 2010","2010/01","45-54 years","45-54",1066,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jan., 2010","2010/01","55-64 years","55-64",2047,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jan., 2010","2010/01","65-74 years","65-74",2914,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jan., 2010","2010/01","75-84 years","75-84",4214,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jan., 2010","2010/01","85+ years","85+",4029,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Feb., 2010","2010/02","< 1 year","1",46,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Feb., 2010","2010/02","1-4 years","1-4",19,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Feb., 2010","2010/02","5-14 years","5-14",15,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Feb., 2010","2010/02","15-24 years","15-24",61,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Feb., 2010","2010/02","25-34 years","25-34",132,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Feb., 2010","2010/02","35-44 years","35-44",324,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Feb., 2010","2010/02","45-54 years","45-54",937,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Feb., 2010","2010/02","55-64 years","55-64",1837,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Feb., 2010","2010/02","65-74 years","65-74",2476,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Feb., 2010","2010/02","75-84 years","75-84",3663,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Feb., 2010","2010/02","85+ years","85+",3493,Not Applicable,Not Applicable
