"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","State","State Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Other bacterial diseases","A30-A49","2010","2010","Alabama","01",3033,4779736,63.5,58.6
,"Other bacterial diseases","A30-A49","2010","2010","Alaska","02",179,710231,25.2,37.4
,"Other bacterial diseases","A30-A49","2010","2010","Arizona","04",2659,6392017,41.6,39.1
,"Other bacterial diseases","A30-A49","2010","2010","Arkansas","05",1757,2915918,60.3,53.9
,"Other bacterial diseases","A30-A49","2010","2010","California","06",17395,37253956,46.7,48.3
,"Other bacterial diseases","A30-A49","2010","2010","Colorado","08",1493,5029196,29.7,32.4
,"Other bacterial diseases","A30-A49","2010","2010","Connecticut","09",2130,3574097,59.6,48.7
,"Other bacterial diseases","A30-A49","2010","2010","Delaware","10",504,897934,56.1,49.6
,"Other bacterial diseases","A30-A49","2010","2010","District of Columbia","11",484,601723,80.4,84.4
,"Other bacterial diseases","A30-A49","2010","2010","Florida","12",9034,18801310,48.0,36.1
,"Other bacterial diseases","A30-A49","2010","2010","Georgia","13",5104,9687653,52.7,60.4
,"Other bacterial diseases","A30-A49","2010","2010","Hawaii","15",585,1360301,43.0,35.9
,"Other bacterial diseases","A30-A49","2010","2010","Idaho","16",479,1567582,30.6,30.3
,"Other bacterial diseases","A30-A49","2010","2010","Illinois","17",7153,12830632,55.7,53.0
,"Other bacterial diseases","A30-A49","2010","2010","Indiana","18",3313,6483802,51.1,47.8
,"Other bacterial diseases","A30-A49","2010","2010","Iowa","19",1209,3046355,39.7,31.8
,"Other bacterial diseases","A30-A49","2010","2010","Kansas","20",1190,2853118,41.7,37.6
,"Other bacterial diseases","A30-A49","2010","2010","Kentucky","21",2960,4339367,68.2,63.9
,"Other bacterial diseases","A30-A49","2010","2010","Louisiana","22",2885,4533372,63.6,64.1
,"Other bacterial diseases","A30-A49","2010","2010","Maine","23",625,1328361,47.1,36.8
,"Other bacterial diseases","A30-A49","2010","2010","Maryland","24",3300,5773552,57.2,55.5
,"Other bacterial diseases","A30-A49","2010","2010","Massachusetts","25",3398,6547629,51.9,44.2
,"Other bacterial diseases","A30-A49","2010","2010","Michigan","26",5541,9883640,56.1,49.3
,"Other bacterial diseases","A30-A49","2010","2010","Minnesota","27",1581,5303925,29.8,27.2
,"Other bacterial diseases","A30-A49","2010","2010","Mississippi","28",1970,2967297,66.4,65.3
,"Other bacterial diseases","A30-A49","2010","2010","Missouri","29",2980,5988927,49.8,43.9
,"Other bacterial diseases","A30-A49","2010","2010","Montana","30",352,989415,35.6,30.0
,"Other bacterial diseases","A30-A49","2010","2010","Nebraska","31",633,1826341,34.7,30.5
,"Other bacterial diseases","A30-A49","2010","2010","Nevada","32",1419,2700551,52.5,56.4
,"Other bacterial diseases","A30-A49","2010","2010","New Hampshire","33",527,1316470,40.0,36.0
,"Other bacterial diseases","A30-A49","2010","2010","New Jersey","34",6299,8791894,71.6,63.0
,"Other bacterial diseases","A30-A49","2010","2010","New Mexico","35",967,2059179,47.0,44.8
,"Other bacterial diseases","A30-A49","2010","2010","New York","36",9813,19378102,50.6,44.7
,"Other bacterial diseases","A30-A49","2010","2010","North Carolina","37",5450,9535483,57.2,55.5
,"Other bacterial diseases","A30-A49","2010","2010","North Dakota","38",273,672591,40.6,32.6
,"Other bacterial diseases","A30-A49","2010","2010","Ohio","39",6763,11536504,58.6,50.7
,"Other bacterial diseases","A30-A49","2010","2010","Oklahoma","40",2393,3751351,63.8,59.4
,"Other bacterial diseases","A30-A49","2010","2010","Oregon","41",1372,3831074,35.8,30.9
