"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Residence State","Residence State Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,"Other bacterial diseases","A30-A49","2018","2018","Alabama","01",3889,4887871,79.6,77.1,82.1,64.5,62.5,66.7
,"Other bacterial diseases","A30-A49","2018","2018","Alaska","02",266,737438,36.1,31.7,40.4,42.5,37.3,48.3
,"Other bacterial diseases","A30-A49","2018","2018","Arizona","04",2587,7171646,36.1,34.7,37.5,28.9,27.7,30.0
,"Other bacterial diseases","A30-A49","2018","2018","Arkansas","05",2538,3013825,84.2,80.9,87.5,67.9,65.3,70.7
,"Other bacterial diseases","A30-A49","2018","2018","California","06",22410,39557045,56.7,55.9,57.4,50.6,49.9,51.3
,"Other bacterial diseases","A30-A49","2018","2018","Colorado","08",2536,5695564,44.5,42.8,46.3,42.4,40.7,44.1
,"Other bacterial diseases","A30-A49","2018","2018","Connecticut","09",2528,3572665,70.8,68.0,73.5,51.5,49.5,53.6
,"Other bacterial diseases","A30-A49","2018","2018","Delaware","10",628,967171,64.9,59.9,70.0,48.8,45.0,53.0
,"Other bacterial diseases","A30-A49","2018","2018","District of Columbia","11",419,702455,59.6,53.9,65.4,60.9,55.1,67.2
,"Other bacterial diseases","A30-A49","2018","2018","Florida","12",13622,21299325,64.0,62.9,65.0,42.8,42.1,43.6
,"Other bacterial diseases","A30-A49","2018","2018","Georgia","13",6680,10519475,63.5,62.0,65.0,60.7,59.3,62.2
,"Other bacterial diseases","A30-A49","2018","2018","Hawaii","15",573,1420491,40.3,37.0,43.6,29.7,27.2,32.3
,"Other bacterial diseases","A30-A49","2018","2018","Idaho","16",758,1754208,43.2,40.1,46.3,37.8,35.1,40.6
,"Other bacterial diseases","A30-A49","2018","2018","Illinois","17",7996,12741080,62.8,61.4,64.1,51.7,50.5,52.8
,"Other bacterial diseases","A30-A49","2018","2018","Indiana","18",4765,6691878,71.2,69.2,73.2,59.7,58.0,61.5
,"Other bacterial diseases","A30-A49","2018","2018","Iowa","19",1830,3156145,58.0,55.3,60.6,43.7,41.6,45.8
,"Other bacterial diseases","A30-A49","2018","2018","Kansas","20",1920,2911505,65.9,63.0,68.9,53.4,51.0,55.9
,"Other bacterial diseases","A30-A49","2018","2018","Kentucky","21",4503,4468402,100.8,97.8,103.7,83.7,81.3,86.3
,"Other bacterial diseases","A30-A49","2018","2018","Louisiana","22",3458,4659978,74.2,71.7,76.7,64.2,62.0,66.4
,"Other bacterial diseases","A30-A49","2018","2018","Maine","23",609,1338404,45.5,41.9,49.1,30.9,28.5,33.6
,"Other bacterial diseases","A30-A49","2018","2018","Maryland","24",3504,6042718,58.0,56.1,59.9,48.7,47.1,50.4
,"Other bacterial diseases","A30-A49","2018","2018","Massachusetts","25",4377,6902149,63.4,61.5,65.3,49.2,47.7,50.7
,"Other bacterial diseases","A30-A49","2018","2018","Michigan","26",6550,9995915,65.5,63.9,67.1,50.8,49.6,52.1
,"Other bacterial diseases","A30-A49","2018","2018","Minnesota","27",2482,5611179,44.2,42.5,46.0,36.0,34.6,37.5
,"Other bacterial diseases","A30-A49","2018","2018","Mississippi","28",2751,2986530,92.1,88.7,95.6,78.0,75.1,81.1
,"Other bacterial diseases","A30-A49","2018","2018","Missouri","29",3848,6126452,62.8,60.8,64.8,49.0,47.4,50.6
,"Other bacterial diseases","A30-A49","2018","2018","Montana","30",559,1062305,52.6,48.3,57.0,39.7,36.4,43.3
,"Other bacterial diseases","A30-A49","2018","2018","Nebraska","31",1063,1929268,55.1,51.8,58.4,45.0,42.3,47.9
,"Other bacterial diseases","A30-A49","2018","2018","Nevada","32",1847,3034392,60.9,58.1,63.6,53.9,51.4,56.5
,"Other bacterial diseases","A30-A49","2018","2018","New Hampshire","33",711,1356458,52.4,48.6,56.3,39.3,36.4,42.4
,"Other bacterial diseases","A30-A49","2018","2018","New Jersey","34",6847,8908520,76.9,75.0,78.7,60.3,58.8,61.8
,"Other bacterial diseases","A30-A49","2018","2018","New Mexico","35",1278,2095428,61.0,57.6,64.3,49.6,46.8,52.5
