"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Influenza and pneumonia","J09-J18","2018","2018","< 1 year","1",295,3848208,7.7,6.8,8.5
,"Influenza and pneumonia","J09-J18","2018","2018","1-4 years","1-4",195,15962067,1.2,1.1,1.4
,"Influenza and pneumonia","J09-J18","2018","2018","5-14 years","5-14",193,41075169,0.5,0.4,0.5
,"Influenza and pneumonia","J09-J18","2018","2018","15-24 years","15-24",525,42970800,1.2,1.1,1.3
,"Influenza and pneumonia","J09-J18","2018","2018","25-34 years","25-34",1419,45697774,3.1,2.9,3.3
,"Influenza and pneumonia","J09-J18","2018","2018","35-44 years","35-44",2647,41277888,6.4,6.2,6.7
,"Influenza and pneumonia","J09-J18","2018","2018","45-54 years","45-54",6607,41631699,15.9,15.5,16.3
,"Influenza and pneumonia","J09-J18","2018","2018","55-64 years","55-64",16924,42272636,40.0,39.4,40.6
,"Influenza and pneumonia","J09-J18","2018","2018","65-74 years","65-74",27424,30492316,89.9,88.9,91.0
,"Influenza and pneumonia","J09-J18","2018","2018","75-84 years","75-84",37665,15394374,244.7,242.2,247.1
,"Influenza and pneumonia","J09-J18","2018","2018","85+ years","85+",54602,6544503,834.3,827.3,841.3
,"Influenza and pneumonia","J09-J18","2018","2018","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2019","2019","< 1 year","1",295,3783052,7.8,6.9,8.7
,"Influenza and pneumonia","J09-J18","2019","2019","1-4 years","1-4",194,15793631,1.2,1.1,1.4
,"Influenza and pneumonia","J09-J18","2019","2019","5-14 years","5-14",212,40994163,0.5,0.4,0.6
,"Influenza and pneumonia","J09-J18","2019","2019","15-24 years","15-24",520,42687510,1.2,1.1,1.3
,"Influenza and pneumonia","J09-J18","2019","2019","25-34 years","25-34",1392,45940321,3.0,2.9,3.2
,"Influenza and pneumonia","J09-J18","2019","2019","35-44 years","35-44",2711,41659144,6.5,6.3,6.8
,"Influenza and pneumonia","J09-J18","2019","2019","45-54 years","45-54",6184,40874902,15.1,14.8,15.5
,"Influenza and pneumonia","J09-J18","2019","2019","55-64 years","55-64",16407,42448537,38.7,38.1,39.2
,"Influenza and pneumonia","J09-J18","2019","2019","65-74 years","65-74",26709,31483433,84.8,83.8,85.9
