"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Influenza and pneumonia","J09-J18","2010","2010","Jan., 2010","2010/01",15874,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Feb., 2010","2010/02",13875,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Mar., 2010","2010/03",15500,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Apr., 2010","2010/04",13211,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","May, 2010","2010/05",12504,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jun., 2010","2010/06",11436,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jul., 2010","2010/07",11472,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Aug., 2010","2010/08",10954,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Sep., 2010","2010/09",11369,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Oct., 2010","2010/10",12537,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Nov., 2010","2010/11",13040,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Dec., 2010","2010/12",14997,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jan., 2011","2011/01",17468,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Feb., 2011","2011/02",16225,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Mar., 2011","2011/03",16539,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Apr., 2011","2011/04",13834,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","May, 2011","2011/05",13303,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jun., 2011","2011/06",11993,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jul., 2011","2011/07",11513,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Aug., 2011","2011/08",11220,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Sep., 2011","2011/09",11081,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Oct., 2011","2011/10",12367,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Nov., 2011","2011/11",12859,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Dec., 2011","2011/12",14201,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2012","2012","Jan., 2012","2012/01",15579,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2012","2012","Feb., 2012","2012/02",13985,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2012","2012","Mar., 2012","2012/03",15063,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2012","2012","Apr., 2012","2012/04",13085,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2012","2012","May, 2012","2012/05",12210,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2012","2012","Jun., 2012","2012/06",11118,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2012","2012","Jul., 2012","2012/07",10953,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2012","2012","Aug., 2012","2012/08",11197,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2012","2012","Sep., 2012","2012/09",11226,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2012","2012","Oct., 2012","2012/10",12364,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2012","2012","Nov., 2012","2012/11",12599,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2012","2012","Dec., 2012","2012/12",15719,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2013","2013","Jan., 2013","2013/01",21324,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2013","2013","Feb., 2013","2013/02",15788,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2013","2013","Mar., 2013","2013/03",15621,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2013","2013","Apr., 2013","2013/04",13561,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2013","2013","May, 2013","2013/05",12002,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2013","2013","Jun., 2013","2013/06",11303,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2013","2013","Jul., 2013","2013/07",11043,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2013","2013","Aug., 2013","2013/08",10850,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2013","2013","Sep., 2013","2013/09",10658,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2013","2013","Oct., 2013","2013/10",11752,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2013","2013","Nov., 2013","2013/11",12063,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2013","2013","Dec., 2013","2013/12",14478,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2014","2014","Jan., 2014","2014/01",18123,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2014","2014","Feb., 2014","2014/02",14039,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2014","2014","Mar., 2014","2014/03",14343,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2014","2014","Apr., 2014","2014/04",12961,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2014","2014","May, 2014","2014/05",12132,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2014","2014","Jun., 2014","2014/06",11175,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2014","2014","Jul., 2014","2014/07",10932,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2014","2014","Aug., 2014","2014/08",10645,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2014","2014","Sep., 2014","2014/09",10728,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2014","2014","Oct., 2014","2014/10",11727,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2014","2014","Nov., 2014","2014/11",11948,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2014","2014","Dec., 2014","2014/12",15158,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2015","2015","Jan., 2015","2015/01",19579,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2015","2015","Feb., 2015","2015/02",15386,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2015","2015","Mar., 2015","2015/03",15392,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2015","2015","Apr., 2015","2015/04",13585,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2015","2015","May, 2015","2015/05",12420,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2015","2015","Jun., 2015","2015/06",11324,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2015","2015","Jul., 2015","2015/07",11181,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2015","2015","Aug., 2015","2015/08",10820,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2015","2015","Sep., 2015","2015/09",10773,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2015","2015","Oct., 2015","2015/10",11785,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2015","2015","Nov., 2015","2015/11",11870,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2015","2015","Dec., 2015","2015/12",13174,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2016","2016","Jan., 2016","2016/01",15439,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2016","2016","Feb., 2016","2016/02",14069,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2016","2016","Mar., 2016","2016/03",15413,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2016","2016","Apr., 2016","2016/04",13267,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2016","2016","May, 2016","2016/05",12010,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2016","2016","Jun., 2016","2016/06",10582,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2016","2016","Jul., 2016","2016/07",10551,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2016","2016","Aug., 2016","2016/08",10427,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2016","2016","Sep., 2016","2016/09",10799,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2016","2016","Oct., 2016","2016/10",11643,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2016","2016","Nov., 2016","2016/11",11601,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2016","2016","Dec., 2016","2016/12",14052,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2017","2017","Jan., 2017","2017/01",16625,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2017","2017","Feb., 2017","2017/02",14663,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2017","2017","Mar., 2017","2017/03",15044,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2017","2017","Apr., 2017","2017/04",12903,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2017","2017","May, 2017","2017/05",11640,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2017","2017","Jun., 2017","2017/06",10811,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2017","2017","Jul., 2017","2017/07",10547,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2017","2017","Aug., 2017","2017/08",10162,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2017","2017","Sep., 2017","2017/09",10449,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2017","2017","Oct., 2017","2017/10",11598,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2017","2017","Nov., 2017","2017/11",11714,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2017","2017","Dec., 2017","2017/12",14517,Not Applicable,Not Applicable,Not Applicable
"---"
"Dataset: Multiple Cause of Death, 1999-2020"
"Query Parameters:"
"MCD - ICD-10 Codes: J12.0 (Adenoviral pneumonia); J12.1 (Respiratory syncytial virus pneumonia); J12.2 (Parainfluenza virus"
"pneumonia); J12.3 (Human metapneumovirus pneumonia); J12.8 (Other viral pneumonia); J12.9 (Viral pneumonia, unspecified); J13"
"(Pneumonia due to Streptococcus pneumoniae); J14 (Pneumonia due to Haemophilus influenzae); J15.0 (Pneumonia due to Klebsiella"
"pneumoniae); J15.1 (Pneumonia due to Pseudomonas); J15.2 (Pneumonia due to staphylococcus); J15.3 (Pneumonia due to"
"streptococcus, group B); J15.4 (Pneumonia due to other streptococci); J15.5 (Pneumonia due to Escherichia coli); J15.6"
"(Pneumonia due to other aerobic Gram-negative bacteria); J15.7 (Pneumonia due to Mycoplasma pneumoniae); J15.8 (Other bacterial"
"pneumonia); J15.9 (Bacterial pneumonia, unspecified); J16.0 (Chlamydial pneumonia); J16.8 (Pneumonia due to other specified"
"infectious organisms); J18.0 (Bronchopneumonia, unspecified); J18.1 (Lobar pneumonia, unspecified); J18.2 (Hypostatic pneumonia,"
"unspecified); J18.8 (Other pneumonia, organism unspecified); J18.9 (Pneumonia, unspecified)"
"Year/Month: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017"
"Group By: MCD - ICD Sub-Chapter; Year; Month"
"Show Totals: False"
"Show Zero Values: False"
"Show Suppressed: False"
"Standard Population: 2000 U.S. Std. Population"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Apr 9, 2026 6:42:47 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10.html on Apr 9, 2026 6:42:47 PM"
"---"
Footnotes:
"1. Totals and sub-totals show the frequency of the selected causes of death, which may be greater than the number of deaths."
"Note that any single death record may have up to 20 causes. More information."
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when Autopsy, Place of Death, Weekday or Month are grouped by or limited,"
"due to lack of a valid population. More information: http://wonder.cdc.gov/wonder/help/mcd.html#NotApplicableRates."
"2. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"3. These items in the results table are not fully selected: Influenza and pneumonia. The Query Description lists the actual"
"values selected."
"4. The populations used to calculate standard age-adjusted rates are documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2000 Standard Population."
"5. The method used to calculate age-adjusted rates is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Age-Adjusted Rates."
"6. Deaths for persons of unknown age are included in counts and crude rates, but are not included in age-adjusted rates."
"7. Beginning with the 2018 data, changes have been implemented that affect the counts for ICD-10 cause of death codes O00-O99"
"compared to previous practice. In addition, data for the cause of death codes O00-O99 for 2003 through 2017 reflect differences"
"in information available to individual states and probable errors. Caution should be used in interpreting these data. More"
"information can be found at: https://www.cdc.gov/nchs/maternal-mortality/."
"8. On March 11, 2021, the 2019 mortality data on CDC WONDER was updated with the 2019 mortality data updated by NCHS on March 4,"
"2021 to include corrected information for residents of Texas affecting 5 records previously coded to cause code *U01.4,"
"Terrorism involving firearms (homicide). The underlying and multiple cause of death codes for 5 records were corrected in the"
"2019 data. Underlying and multiple cause of death codes for those 5 records were recoded to Assault (homicide) by other and"
"unspecified firearm discharge, ICD-10 code X95. The corrected final death records replaces the data released on December 22,"
"2020."
"9. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#ICD-10 Changes."
