"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Influenza and pneumonia","J09-J18","2010","2010","Jan., 2010","2010/01","< 1 year","1",42,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jan., 2010","2010/01","1-4 years","1-4",24,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jan., 2010","2010/01","5-14 years","5-14",32,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jan., 2010","2010/01","15-24 years","15-24",69,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jan., 2010","2010/01","25-34 years","25-34",137,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jan., 2010","2010/01","35-44 years","35-44",271,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jan., 2010","2010/01","45-54 years","45-54",785,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jan., 2010","2010/01","55-64 years","55-64",1395,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jan., 2010","2010/01","65-74 years","65-74",2154,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jan., 2010","2010/01","75-84 years","75-84",4387,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jan., 2010","2010/01","85+ years","85+",6578,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Feb., 2010","2010/02","< 1 year","1",60,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Feb., 2010","2010/02","1-4 years","1-4",24,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Feb., 2010","2010/02","5-14 years","5-14",29,Not Applicable,Not Applicable
