"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Residence State","Residence State Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,"Influenza and pneumonia","J09-J18","2018","2018","Alabama","01",2665,4887871,54.5,52.5,56.6,44.4,42.7,46.2
,"Influenza and pneumonia","J09-J18","2018","2018","Alaska","02",173,737438,23.5,20.0,27.0,28.5,24.2,33.4
,"Influenza and pneumonia","J09-J18","2018","2018","Arizona","04",3059,7171646,42.7,41.1,44.2,33.9,32.7,35.2
,"Influenza and pneumonia","J09-J18","2018","2018","Arkansas","05",1913,3013825,63.5,60.6,66.3,51.2,48.9,53.6
,"Influenza and pneumonia","J09-J18","2018","2018","California","06",16686,39557045,42.2,41.5,42.8,37.7,37.1,38.2
,"Influenza and pneumonia","J09-J18","2018","2018","Colorado","08",1665,5695564,29.2,27.8,30.6,28.3,27.0,29.8
,"Influenza and pneumonia","J09-J18","2018","2018","Connecticut","09",1774,3572665,49.7,47.3,52.0,34.8,33.2,36.5
,"Influenza and pneumonia","J09-J18","2018","2018","Delaware","10",467,967171,48.3,43.9,52.7,36.5,33.2,40.1
,"Influenza and pneumonia","J09-J18","2018","2018","District of Columbia","11",267,702455,38.0,33.5,42.6,39.4,34.8,44.6
,"Influenza and pneumonia","J09-J18","2018","2018","Florida","12",9288,21299325,43.6,42.7,44.5,28.8,28.2,29.4
,"Influenza and pneumonia","J09-J18","2018","2018","Georgia","13",3580,10519475,34.0,32.9,35.1,33.4,32.3,34.6
,"Influenza and pneumonia","J09-J18","2018","2018","Hawaii","15",1033,1420491,72.7,68.3,77.2,48.6,45.6,51.8
,"Influenza and pneumonia","J09-J18","2018","2018","Idaho","16",527,1754208,30.0,27.5,32.6,26.7,24.5,29.2
,"Influenza and pneumonia","J09-J18","2018","2018","Illinois","17",5661,12741080,44.4,43.3,45.6,36.2,35.3,37.2
,"Influenza and pneumonia","J09-J18","2018","2018","Indiana","18",3361,6691878,50.2,48.5,51.9,42.0,40.6,43.5
,"Influenza and pneumonia","J09-J18","2018","2018","Iowa","19",1603,3156145,50.8,48.3,53.3,37.1,35.3,39.1
,"Influenza and pneumonia","J09-J18","2018","2018","Kansas","20",1468,2911505,50.4,47.8,53.0,40.2,38.2,42.4
,"Influenza and pneumonia","J09-J18","2018","2018","Kentucky","21",2949,4468402,66.0,63.6,68.4,55.1,53.1,57.2
,"Influenza and pneumonia","J09-J18","2018","2018","Louisiana","22",1834,4659978,39.4,37.6,41.2,34.7,33.1,36.4
,"Influenza and pneumonia","J09-J18","2018","2018","Maine","23",851,1338404,63.6,59.3,67.9,42.0,39.1,45.0
,"Influenza and pneumonia","J09-J18","2018","2018","Maryland","24",2721,6042718,45.0,43.3,46.7,37.9,36.5,39.4
,"Influenza and pneumonia","J09-J18","2018","2018","Massachusetts","25",3499,6902149,50.7,49.0,52.4,38.6,37.3,40.0
,"Influenza and pneumonia","J09-J18","2018","2018","Michigan","26",4664,9995915,46.7,45.3,48.0,36.3,35.2,37.4
