"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Influenza and pneumonia","J09-J18","2020","2020","Jan., 2020","2020/01",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Feb., 2020","2020/02",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Mar., 2020","2020/03",3123,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Apr., 2020","2020/04",26854,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","May, 2020","2020/05",14911,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Jun., 2020","2020/06",7221,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Jul., 2020","2020/07",13925,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Aug., 2020","2020/08",14250,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Sep., 2020","2020/09",8889,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Oct., 2020","2020/10",11019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Nov., 2020","2020/11",23593,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Dec., 2020","2020/12",45738,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Influenza and pneumonia","J09-J18","2020","2020",,,169532,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2021","2021","Jan., 2021","2021/01",53127,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2021","2021","Feb., 2021","2021/02",25302,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2021","2021","Mar., 2021","2021/03",11856,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2021","2021","Apr., 2021","2021/04",9496,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2021","2021","May, 2021","2021/05",7953,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2021","2021","Jun., 2021","2021/06",4234,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2021","2021","Jul., 2021","2021/07",6085,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2021","2021","Aug., 2021","2021/08",28557,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2021","2021","Sep., 2021","2021/09",37861,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2021","2021","Oct., 2021","2021/10",25089,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2021","2021","Nov., 2021","2021/11",18098,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2021","2021","Dec., 2021","2021/12",25309,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Influenza and pneumonia","J09-J18","2021","2021",,,252967,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2022","2022","Jan., 2022","2022/01",41352,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2022","2022","Feb., 2022","2022/02",24777,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2022","2022","Mar., 2022","2022/03",6774,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2022","2022","Apr., 2022","2022/04",2056,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2022","2022","May, 2022","2022/05",2319,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2022","2022","Jun., 2022","2022/06",2993,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2022","2022","Jul., 2022","2022/07",4093,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2022","2022","Aug., 2022","2022/08",4519,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2022","2022","Sep., 2022","2022/09",3418,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2022","2022","Oct., 2022","2022/10",2917,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2022","2022","Nov., 2022","2022/11",3029,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2022","2022","Dec., 2022","2022/12",4637,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Influenza and pneumonia","J09-J18","2022","2022",,,102884,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2023","2023","Jan., 2023","2023/01",5151,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2023","2023","Feb., 2023","2023/02",3008,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2023","2023","Mar., 2023","2023/03",2462,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2023","2023","Apr., 2023","2023/04",1690,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2023","2023","May, 2023","2023/05",1180,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2023","2023","Jun., 2023","2023/06",829,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2023","2023","Jul., 2023","2023/07",773,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2023","2023","Aug., 2023","2023/08",1411,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2023","2023","Sep., 2023","2023/09",2151,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2023","2023","Oct., 2023","2023/10",2010,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2023","2023","Nov., 2023","2023/11",2127,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2023","2023","Dec., 2023","2023/12",2906,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Influenza and pneumonia","J09-J18","2023","2023",,,25698,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2024","2024","Jan., 2024","2024/01",3633,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2024","2024","Feb., 2024","2024/02",2108,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2024","2024","Mar., 2024","2024/03",1447,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2024","2024","Apr., 2024","2024/04",755,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2024","2024","May, 2024","2024/05",552,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2024","2024","Jun., 2024","2024/06",639,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2024","2024","Jul., 2024","2024/07",1205,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2024","2024","Aug., 2024","2024/08",1870,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2024","2024","Sep., 2024","2024/09",1813,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2024","2024","Oct., 2024","2024/10",1226,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2024","2024","Nov., 2024","2024/11",799,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2024","2024","Dec., 2024","2024/12",1000,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Influenza and pneumonia","J09-J18","2024","2024",,,17047,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","Jan., 2025 (provisional)","2025/01",1580,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","Feb., 2025 (provisional)","2025/02",1113,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","Mar., 2025 (provisional)","2025/03",847,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","Apr., 2025 (provisional)","2025/04",597,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","May., 2025 (provisional)","2025/05",374,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","Jun., 2025 (provisional)","2025/06",296,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","Jul., 2025 (provisional)","2025/07",320,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","Aug., 2025 (provisional)","2025/08",510,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","Sep., 2025 (provisional)","2025/09",718,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","Oct., 2025 (provisional)","2025/10",512,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","Nov., 2025 (provisional)","2025/11",302,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","Dec., 2025 (provisional)","2025/12",447,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Influenza and pneumonia","J09-J18","2025 (provisional)","2025",,,7616,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Influenza and pneumonia","J09-J18",,,,,575744,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2020","2020","Jan., 2020","2020/01",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2020","2020","Feb., 2020","2020/02",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2020","2020","Mar., 2020","2020/03",3097,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2020","2020","Apr., 2020","2020/04",26636,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2020","2020","May, 2020","2020/05",14700,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2020","2020","Jun., 2020","2020/06",7084,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2020","2020","Jul., 2020","2020/07",13712,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2020","2020","Aug., 2020","2020/08",13965,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2020","2020","Sep., 2020","2020/09",8674,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2020","2020","Oct., 2020","2020/10",10767,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2020","2020","Nov., 2020","2020/11",23093,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2020","2020","Dec., 2020","2020/12",44816,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Provisional assignment of new diseases of uncertain etiology","U00-U49","2020","2020",,,166553,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2021","2021","Jan., 2021","2021/01",52136,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2021","2021","Feb., 2021","2021/02",24694,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2021","2021","Mar., 2021","2021/03",11499,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2021","2021","Apr., 2021","2021/04",9247,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2021","2021","May, 2021","2021/05",7681,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2021","2021","Jun., 2021","2021/06",4095,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2021","2021","Jul., 2021","2021/07",5889,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2021","2021","Aug., 2021","2021/08",27879,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Provisional assignment of new diseases of uncertain etiology","U00-U49","2021","2021","Sep., 2021","2021/09",36675,Not Applicable,Not Applicable,Not Applicable,Not Applicable
