Outcome,Year,Female Deaths,Female AAMR,Male Deaths,Male AAMR,<25 Deaths,<25 AAMR,25-44 Deaths,25-44 AAMR,45-64 Deaths,45-64 AAMR,65+ Deaths,65+ AAMR
Pneumonia,2010,79403.00,39.60,77366.00,58.60,1596.00,1.51,3919.00,4.92,21516.00,25.16,129733.00,314.18
Pneumonia,2011,82831.00,40.40,79772.00,58.10,1611.00,1.52,4038.00,5.06,22976.00,26.27,133971.00,314.73
Pneumonia,2012,78426.00,37.50,76672.00,54.30,1447.00,1.37,3756.00,4.70,22126.00,25.03,127765.00,292.45
Pneumonia,2013,81259.00,38.10,79184.00,54.20,1400.00,1.33,3931.00,4.90,23157.00,25.99,131951.00,293.88
Pneumonia,2014,76672.00,35.70,77239.00,51.20,1382.00,1.31,4148.00,5.16,24059.00,26.77,124313.00,270.69
Pneumonia,2015,78580.00,35.70,78709.00,50.90,1350.00,1.28,3812.00,4.70,23104.00,25.32,129018.00,274.02
Pneumonia,2016,73655.00,33.10,76198.00,47.80,1372.00,1.30,4104.00,5.05,23730.00,25.68,120643.00,250.66
Pneumonia,2017,74226.00,32.80,76447.00,46.80,1290.00,1.23,3972.00,4.83,23198.00,24.99,122207.00,247.76
Pneumonia,2018,72053.00,31.40,76445.00,45.40,1208.00,1.16,4066.00,4.91,23531.00,25.36,119691.00,236.17
Pneumonia,2019,67571.00,29.10,72621.00,42.10,1221.00,1.19,4103.00,4.93,22591.00,24.37,112274.00,216.51
Pneumonia,2020,138434.00,59.00,173190.00,96.90,1309.00,1.26,8787.00,10.54,55670.00,60.69,245852.00,463.40
Pneumonia,2021,162474.00,73.30,212155.00,118.70,1971.00,1.88,17916.00,21.18,90886.00,100.01,263850.00,508.76
Pneumonia,2022,104323.00,44.20,127702.00,70.50,1572.00,1.53,7497.00,8.78,42134.00,46.10,180819.00,332.44
Pneumonia,2023,74451.00,31.60,86773.00,47.50,1364.00,1.34,5118.00,5.91,25119.00,27.51,129622.00,238.30
Pneumonia,2024,71960.00,29.70,83725.00,44.10,1246.00,1.21,4921.00,5.56,24422.00,26.78,125095.00,221.03
Pneumonia,2025,70720.00,29.20,81657.00,42.90,1100.00,1.07,4891.00,5.54,23734.00,26.08,122702.00,216.70
Pneumonia,Total,1387038.00,38.77,1535855.00,58.18,22439.00,1.34,88979.00,6.71,491953.00,33.88,2319506.00,292.79
Pneumonia/ARDS,2010,1539.00,0.80,1660.00,1.10,82.00,0.08,263.00,0.32,1016.00,1.20,1838.00,4.59
Pneumonia/ARDS,2011,1650.00,0.90,1728.00,1.10,103.00,0.10,310.00,0.38,1111.00,1.29,1848.00,4.48
Pneumonia/ARDS,2012,1527.00,0.80,1559.00,1.00,65.00,0.07,222.00,0.28,1007.00,1.15,1785.00,4.20
Pneumonia/ARDS,2013,1706.00,0.90,1821.00,1.10,76.00,0.07,300.00,0.37,1174.00,1.33,1970.00,4.47
Pneumonia/ARDS,2014,1894.00,1.00,1955.00,1.20,73.00,0.08,358.00,0.45,1405.00,1.60,2005.00,4.45
Pneumonia/ARDS,2015,1671.00,0.90,1950.00,1.20,93.00,0.09,286.00,0.35,1152.00,1.29,2090.00,4.49
Pneumonia/ARDS,2016,1816.00,0.90,1973.00,1.20,69.00,0.07,295.00,0.36,1312.00,1.45,2107.00,4.37
Pneumonia/ARDS,2017,1756.00,0.80,1951.00,1.10,72.00,0.07,306.00,0.37,1188.00,1.31,2136.00,4.32
Pneumonia/ARDS,2018,1809.00,0.90,1941.00,1.10,90.00,0.09,298.00,0.36,1223.00,1.37,2137.00,4.18
Pneumonia/ARDS,2019,1709.00,0.80,1877.00,1.00,83.00,0.08,305.00,0.36,1210.00,1.36,1981.00,3.77
Pneumonia/ARDS,2020,12115.00,5.30,18271.00,9.90,121.00,0.26,1251.00,1.51,8130.00,8.97,20868.00,38.81
Pneumonia/ARDS,2021,15688.00,7.40,23563.00,12.50,250.00,0.24,3406.00,4.03,15040.00,16.90,20547.00,37.60
Pneumonia/ARDS,2022,5587.00,2.50,7568.00,4.00,160.00,0.15,876.00,1.03,4191.00,4.67,7928.00,14.08
Pneumonia/ARDS,2023,2441.00,1.10,2849.00,1.50,104.00,0.10,416.00,0.48,1403.00,1.56,3367.00,5.92
Pneumonia/ARDS,2024,2223.00,1.00,2598.00,1.30,101.00,0.10,386.00,0.43,1283.00,1.45,3051.00,5.16
Pneumonia/ARDS,2025,2081.00,0.90,2215.00,1.10,91.00,0.09,347.00,0.39,1176.00,1.32,2675.00,4.52
Pneumonia/ARDS,Total,57212.00,1.69,75479.00,2.62,1633.00,0.10,9625.00,0.73,43021.00,3.02,78333.00,9.80
Pneumonia/Sepsis,2010,15748.00,8.10,16877.00,12.40,240.00,0.23,1031.00,1.30,6349.00,7.43,25004.00,61.35
Pneumonia/Sepsis,2011,17138.00,8.70,18142.00,12.80,280.00,0.26,1102.00,1.38,7144.00,8.17,26753.00,63.77
Pneumonia/Sepsis,2012,17104.00,8.50,17958.00,12.30,255.00,0.24,1042.00,1.31,7185.00,8.14,26578.00,61.49
Pneumonia/Sepsis,2013,18530.00,9.00,19741.00,13.10,216.00,0.20,1157.00,1.45,7724.00,8.65,29173.00,65.71
Pneumonia/Sepsis,2014,19465.00,9.30,20771.00,13.40,224.00,0.21,1177.00,1.48,8310.00,9.21,30523.00,67.01
Pneumonia/Sepsis,2015,21328.00,10.00,22829.00,14.40,244.00,0.23,1209.00,1.51,8527.00,9.31,34177.00,73.10
Pneumonia/Sepsis,2016,21408.00,9.90,23331.00,14.30,266.00,0.25,1329.00,1.65,9011.00,9.72,34131.00,71.30
Pneumonia/Sepsis,2017,22261.00,10.10,24087.00,14.40,246.00,0.23,1304.00,1.61,8927.00,9.57,35870.00,72.93
Pneumonia/Sepsis,2018,22256.00,9.80,24823.00,14.50,231.00,0.22,1311.00,1.60,9228.00,9.96,36308.00,71.65
Pneumonia/Sepsis,2019,21306.00,9.30,23847.00,13.60,233.00,0.22,1346.00,1.63,8616.00,9.26,34957.00,67.29
