Disease,Year,Observed AAMR,Predicted AAMR,Excess AAMR,Observed Death,Predicted Death,Excess Death
Pneumonia,2020,75.7,34.4,41.3,311624.0,143130.3,168493.7
Pneumonia,2021,93.6,33.1,60.5,374629.0,141365.3,233263.7
Pneumonia,2022,55.6,32.1,23.5,232025.0,139622.0,92403.0
Pneumonia,2023,38.4,30.9,7.5,161224.0,137900.3,23323.7
Pneumonia/ARDS,2020,7.3,1.2,6.1,30386.0,3874.4,26511.6
Pneumonia/ARDS,2021,9.7,1.2,8.5,39251.0,3933.2,35317.8
Pneumonia/ARDS,2022,3.0,1.2,1.8,13155.0,3992.0,9163.0
Pneumonia/ARDS,2023,1.3,1.2,0.1,5290.0,4052.0,1238.0
Pneumonia/Sepsis,2020,16.3,11.2,5.1,67111.0,46463.0,20648.0
Pneumonia/Sepsis,2021,19.0,10.9,8.1,76553.0,46299.0,30254.0
Pneumonia/Sepsis,2022,13.8,10.4,3.4,59053.0,45913.2,13139.8
Pneumonia/Sepsis,2023,11.6,10.2,1.4,50029.0,45305.3,4723.7
