Disease,Model,Validation Year,Training Years,Year,Month,Age Adjusted Rate,Predicted AAMR,Actual - Predicted
Pneumonia,log_linear_month_fe,,,2010,"Jan., 2010",4.8,,
Pneumonia,log_linear_month_fe,,,2010,"Feb., 2010",4.2,,
Pneumonia,log_linear_month_fe,,,2010,"Mar., 2010",4.7,,
Pneumonia,log_linear_month_fe,,,2010,"Apr., 2010",4.0,,
Pneumonia,log_linear_month_fe,,,2010,"May, 2010",3.8,,
Pneumonia,log_linear_month_fe,,,2010,"Jun., 2010",3.5,,
Pneumonia,log_linear_month_fe,,,2010,"Jul., 2010",3.5,,
Pneumonia,log_linear_month_fe,,,2010,"Aug., 2010",3.3,,
Pneumonia,log_linear_month_fe,,,2010,"Sep., 2010",3.4,,
Pneumonia,log_linear_month_fe,,,2010,"Oct., 2010",3.8,,
Pneumonia,log_linear_month_fe,,,2010,"Nov., 2010",3.9,,
Pneumonia,log_linear_month_fe,,,2010,"Dec., 2010",4.5,,
Pneumonia,log_linear_month_fe,,,2011,"Jan., 2011",5.1,,
Pneumonia,log_linear_month_fe,,,2011,"Feb., 2011",4.8,,
Pneumonia,log_linear_month_fe,,,2011,"Mar., 2011",4.9,,
Pneumonia,log_linear_month_fe,,,2011,"Apr., 2011",4.1,,
Pneumonia,log_linear_month_fe,,,2011,"May, 2011",3.9,,
Pneumonia,log_linear_month_fe,,,2011,"Jun., 2011",3.5,,
Pneumonia,log_linear_month_fe,,,2011,"Jul., 2011",3.4,,
Pneumonia,log_linear_month_fe,,,2011,"Aug., 2011",3.3,,
Pneumonia,log_linear_month_fe,,,2011,"Sep., 2011",3.2,,
Pneumonia,log_linear_month_fe,,,2011,"Oct., 2011",3.6,,
Pneumonia,log_linear_month_fe,,,2011,"Nov., 2011",3.8,,
Pneumonia,log_linear_month_fe,,,2011,"Dec., 2011",4.2,,
Pneumonia,log_linear_month_fe,,,2012,"Jan., 2012",4.5,,
Pneumonia,log_linear_month_fe,,,2012,"Feb., 2012",4.0,,
Pneumonia,log_linear_month_fe,,,2012,"Mar., 2012",4.3,,
Pneumonia,log_linear_month_fe,,,2012,"Apr., 2012",3.7,,
Pneumonia,log_linear_month_fe,,,2012,"May, 2012",3.5,,
Pneumonia,log_linear_month_fe,,,2012,"Jun., 2012",3.2,,
Pneumonia,log_linear_month_fe,,,2012,"Jul., 2012",3.1,,
Pneumonia,log_linear_month_fe,,,2012,"Aug., 2012",3.2,,
Pneumonia,log_linear_month_fe,,,2012,"Sep., 2012",3.2,,
Pneumonia,log_linear_month_fe,,,2012,"Oct., 2012",3.5,,
Pneumonia,log_linear_month_fe,,,2012,"Nov., 2012",3.6,,
Pneumonia,log_linear_month_fe,,,2012,"Dec., 2012",4.5,,
Pneumonia,log_linear_month_fe,,,2013,"Jan., 2013",5.9,,
Pneumonia,log_linear_month_fe,,,2013,"Feb., 2013",4.4,,
Pneumonia,log_linear_month_fe,,,2013,"Mar., 2013",4.4,,
Pneumonia,log_linear_month_fe,,,2013,"Apr., 2013",3.8,,
Pneumonia,log_linear_month_fe,,,2013,"May, 2013",3.4,,
Pneumonia,log_linear_month_fe,,,2013,"Jun., 2013",3.2,,
Pneumonia,log_linear_month_fe,,,2013,"Jul., 2013",3.1,,
Pneumonia,log_linear_month_fe,,,2013,"Aug., 2013",3.0,,
Pneumonia,log_linear_month_fe,,,2013,"Sep., 2013",3.0,,
Pneumonia,log_linear_month_fe,,,2013,"Oct., 2013",3.3,,
Pneumonia,log_linear_month_fe,,,2013,"Nov., 2013",3.4,,
Pneumonia,log_linear_month_fe,,,2013,"Dec., 2013",4.1,,
Pneumonia,log_linear_month_fe,,,2014,"Jan., 2014",5.0,,
Pneumonia,log_linear_month_fe,,,2014,"Feb., 2014",3.9,,
Pneumonia,log_linear_month_fe,,,2014,"Mar., 2014",3.9,,
Pneumonia,log_linear_month_fe,,,2014,"Apr., 2014",3.6,,
Pneumonia,log_linear_month_fe,,,2014,"May, 2014",3.3,,
Pneumonia,log_linear_month_fe,,,2014,"Jun., 2014",3.0,,
Pneumonia,log_linear_month_fe,,,2014,"Jul., 2014",3.0,,
Pneumonia,log_linear_month_fe,,,2014,"Aug., 2014",2.9,,
Pneumonia,log_linear_month_fe,,,2014,"Sep., 2014",2.9,,
Pneumonia,log_linear_month_fe,,,2014,"Oct., 2014",3.2,,
Pneumonia,log_linear_month_fe,,,2014,"Nov., 2014",3.3,,
Pneumonia,log_linear_month_fe,,,2014,"Dec., 2014",4.1,,
Pneumonia,log_linear_month_fe,,,2015,"Jan., 2015",5.2,,
Pneumonia,log_linear_month_fe,,,2015,"Feb., 2015",4.1,,
Pneumonia,log_linear_month_fe,,,2015,"Mar., 2015",4.1,,
Pneumonia,log_linear_month_fe,,,2015,"Apr., 2015",3.6,,
Pneumonia,log_linear_month_fe,,,2015,"May, 2015",3.3,,
Pneumonia,log_linear_month_fe,,,2015,"Jun., 2015",3.0,,
Pneumonia,log_linear_month_fe,,,2015,"Jul., 2015",3.0,,
Pneumonia,log_linear_month_fe,,,2015,"Aug., 2015",2.9,,
Pneumonia,log_linear_month_fe,,,2015,"Sep., 2015",2.9,,
Pneumonia,log_linear_month_fe,,,2015,"Oct., 2015",3.1,,
Pneumonia,log_linear_month_fe,,,2015,"Nov., 2015",3.2,,
Pneumonia,log_linear_month_fe,,,2015,"Dec., 2015",3.5,,
Pneumonia,log_linear_month_fe,,,2016,"Jan., 2016",4.0,,
Pneumonia,log_linear_month_fe,,,2016,"Feb., 2016",3.7,,
Pneumonia,log_linear_month_fe,,,2016,"Mar., 2016",4.0,,
Pneumonia,log_linear_month_fe,,,2016,"Apr., 2016",3.5,,
Pneumonia,log_linear_month_fe,,,2016,"May, 2016",3.1,,
Pneumonia,log_linear_month_fe,,,2016,"Jun., 2016",2.8,,
Pneumonia,log_linear_month_fe,,,2016,"Jul., 2016",2.8,,
Pneumonia,log_linear_month_fe,,,2016,"Aug., 2016",2.7,,
Pneumonia,log_linear_month_fe,,,2016,"Sep., 2016",2.8,,
Pneumonia,log_linear_month_fe,,,2016,"Oct., 2016",3.1,,
Pneumonia,log_linear_month_fe,,,2016,"Nov., 2016",3.0,,
Pneumonia,log_linear_month_fe,,,2016,"Dec., 2016",3.7,,
Pneumonia,log_linear_month_fe,,,2017,"Jan., 2017",4.3,,
Pneumonia,log_linear_month_fe,,,2017,"Feb., 2017",3.8,,
Pneumonia,log_linear_month_fe,,,2017,"Mar., 2017",3.9,,
Pneumonia,log_linear_month_fe,,,2017,"Apr., 2017",3.3,,
Pneumonia,log_linear_month_fe,,,2017,"May, 2017",3.0,,
Pneumonia,log_linear_month_fe,,,2017,"Jun., 2017",2.8,,
Pneumonia,log_linear_month_fe,,,2017,"Jul., 2017",2.7,,
Pneumonia,log_linear_month_fe,,,2017,"Aug., 2017",2.6,,
Pneumonia,log_linear_month_fe,,,2017,"Sep., 2017",2.7,,
Pneumonia,log_linear_month_fe,,,2017,"Oct., 2017",3.0,,
Pneumonia,log_linear_month_fe,,,2017,"Nov., 2017",3.0,,
