Disease,Model,Validation Year,Training Years,Year,Month,Age Adjusted Rate,Predicted AAMR,Death,Predicted Death,Excess AAMR,Excess Death
Pneumonia,log_linear_month_fe,,,2010,"Jan., 2010",4.80,,15874.00,,,
Pneumonia,log_linear_month_fe,,,2010,"Feb., 2010",4.20,,13875.00,,,
Pneumonia,log_linear_month_fe,,,2010,"Mar., 2010",4.70,,15500.00,,,
Pneumonia,log_linear_month_fe,,,2010,"Apr., 2010",4.00,,13211.00,,,
Pneumonia,log_linear_month_fe,,,2010,"May, 2010",3.80,,12504.00,,,
Pneumonia,log_linear_month_fe,,,2010,"Jun., 2010",3.50,,11436.00,,,
Pneumonia,log_linear_month_fe,,,2010,"Jul., 2010",3.50,,11472.00,,,
Pneumonia,log_linear_month_fe,,,2010,"Aug., 2010",3.30,,10954.00,,,
Pneumonia,log_linear_month_fe,,,2010,"Sep., 2010",3.40,,11369.00,,,
Pneumonia,log_linear_month_fe,,,2010,"Oct., 2010",3.80,,12537.00,,,
Pneumonia,log_linear_month_fe,,,2010,"Nov., 2010",3.90,,13040.00,,,
Pneumonia,log_linear_month_fe,,,2010,"Dec., 2010",4.50,,14997.00,,,
Pneumonia,log_linear_month_fe,,,2011,"Jan., 2011",5.10,,17468.00,,,
Pneumonia,log_linear_month_fe,,,2011,"Feb., 2011",4.80,,16225.00,,,
Pneumonia,log_linear_month_fe,,,2011,"Mar., 2011",4.90,,16539.00,,,
Pneumonia,log_linear_month_fe,,,2011,"Apr., 2011",4.10,,13834.00,,,
Pneumonia,log_linear_month_fe,,,2011,"May, 2011",3.90,,13303.00,,,
Pneumonia,log_linear_month_fe,,,2011,"Jun., 2011",3.50,,11993.00,,,
Pneumonia,log_linear_month_fe,,,2011,"Jul., 2011",3.40,,11513.00,,,
Pneumonia,log_linear_month_fe,,,2011,"Aug., 2011",3.30,,11220.00,,,
Pneumonia,log_linear_month_fe,,,2011,"Sep., 2011",3.20,,11081.00,,,
Pneumonia,log_linear_month_fe,,,2011,"Oct., 2011",3.60,,12367.00,,,
Pneumonia,log_linear_month_fe,,,2011,"Nov., 2011",3.80,,12859.00,,,
Pneumonia,log_linear_month_fe,,,2011,"Dec., 2011",4.20,,14201.00,,,
Pneumonia,log_linear_month_fe,,,2012,"Jan., 2012",4.50,,15579.00,,,
Pneumonia,log_linear_month_fe,,,2012,"Feb., 2012",4.00,,13985.00,,,
Pneumonia,log_linear_month_fe,,,2012,"Mar., 2012",4.30,,15063.00,,,
Pneumonia,log_linear_month_fe,,,2012,"Apr., 2012",3.70,,13085.00,,,
Pneumonia,log_linear_month_fe,,,2012,"May, 2012",3.50,,12210.00,,,
Pneumonia,log_linear_month_fe,,,2012,"Jun., 2012",3.20,,11118.00,,,
Pneumonia,log_linear_month_fe,,,2012,"Jul., 2012",3.10,,10953.00,,,
Pneumonia,log_linear_month_fe,,,2012,"Aug., 2012",3.20,,11197.00,,,
Pneumonia,log_linear_month_fe,,,2012,"Sep., 2012",3.20,,11226.00,,,
Pneumonia,log_linear_month_fe,,,2012,"Oct., 2012",3.50,,12364.00,,,
Pneumonia,log_linear_month_fe,,,2012,"Nov., 2012",3.60,,12599.00,,,
Pneumonia,log_linear_month_fe,,,2012,"Dec., 2012",4.50,,15719.00,,,
Pneumonia,log_linear_month_fe,,,2013,"Jan., 2013",5.90,,21324.00,,,
Pneumonia,log_linear_month_fe,,,2013,"Feb., 2013",4.40,,15788.00,,,
Pneumonia,log_linear_month_fe,,,2013,"Mar., 2013",4.40,,15621.00,,,
Pneumonia,log_linear_month_fe,,,2013,"Apr., 2013",3.80,,13561.00,,,
