Disease,Model,Model Label,Projection Plausible,Minimum Projected AAMR,2025 Mean Predicted AAMR,2025/2019 Predicted Ratio,MAE,RMSE,MAPE (%),R-squared
Combined,cubic_month_fe,Cubic trend + month effects,False,-0.3,-0.11666666666666665,-0.12727272727272723,0.041666666666666664,0.07637626158259732,3.9404461279461276,0.7811074918566776
Combined,log_cubic_month_fe,Log-cubic trend + month effects,False,0.3,0.3333333333333333,0.36363636363636354,0.041666666666666664,0.07637626158259732,3.9404461279461276,0.7811074918566776
Combined,recent_2012_quadratic_month_fe,2012+ quadratic trend + month effects,False,0.2,0.35000000000000003,0.3818181818181818,0.041666666666666664,0.07637626158259732,3.836279461279461,0.7811074918566776
Combined,recent_2014_quadratic_month_fe,2014+ quadratic trend + month effects,False,0.1,0.27499999999999997,0.2999999999999999,0.041666666666666664,0.07637626158259732,3.882575757575758,0.7811074918566776
Combined,anchored_quadratic_month_fe_30,"Quadratic trend + month effects, anchored 30% to recent seasonal mean",True,0.6,0.7666666666666666,0.8363636363636361,0.04583333333333334,0.07905694150420947,4.414983164983164,0.7654723127035832
Combined,anchored_quadratic_month_fe_40,"Quadratic trend + month effects, anchored 40% to recent seasonal mean",True,0.6,0.775,0.8454545454545453,0.04583333333333334,0.07905694150420947,4.414983164983164,0.7654723127035832
Combined,recent_2013_quadratic_month_fe,2013+ quadratic trend + month effects,False,0.2,0.425,0.4636363636363635,0.049999999999999996,0.0816496580927726,4.877946127946128,0.7498371335504886
Combined,recency_weighted_60_quadratic_month_fe,Recency-weighted quadratic trend + month effects (60-month half-life),False,0.4,0.6166666666666667,0.6727272727272726,0.049999999999999996,0.0816496580927726,4.935816498316497,0.7498371335504888
Combined,anchored_quadratic_month_fe_50,"Quadratic trend + month effects, anchored 50% to recent seasonal mean",True,0.7,0.8333333333333334,0.909090909090909,0.04999999999999999,0.0816496580927726,4.793771043771042,0.7498371335504888
Combined,log_anchored_quadratic_month_fe_20,"Log-quadratic trend + month effects, anchored 20% to recent seasonal mean",True,0.6,0.75,0.818181818181818,0.04999999999999999,0.0816496580927726,4.793771043771042,0.7498371335504888
Combined,recency_weighted_24_quadratic_month_fe,Recency-weighted quadratic trend + month effects (24-month half-life),False,0.4,0.5333333333333333,0.5818181818181817,0.05416666666666666,0.0841625411530173,5.256734006734006,0.7342019543973943
Combined,recency_weighted_36_quadratic_month_fe,Recency-weighted quadratic trend + month effects (36-month half-life),False,0.4,0.5666666666666667,0.618181818181818,0.05416666666666666,0.0841625411530173,5.256734006734006,0.7342019543973943
Combined,recency_weighted_48_quadratic_month_fe,Recency-weighted quadratic trend + month effects (48-month half-life),False,0.4,0.5916666666666667,0.6454545454545453,0.05416666666666666,0.0841625411530173,5.39877946127946,0.7342019543973943
