Disease,Selected Model,Selected Model Label,Year,Month,Month Code,Age Adjusted Rate,Predicted AAMR,Actual - Predicted
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,2020,"Jan., 2020",2020/01,0.1,0.1,0.0
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,2020,"Feb., 2020",2020/02,0.1,0.1,0.0
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,2020,"Mar., 2020",2020/03,0.3,0.1,0.2
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,2020,"Apr., 2020",2020/04,1.6,0.1,1.5
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,2020,"May, 2020",2020/05,0.7,0.1,0.6
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,2020,"Jun., 2020",2020/06,0.3,0.1,0.2
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,2020,"Jul., 2020",2020/07,0.6,0.1,0.5
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,2020,"Aug., 2020",2020/08,0.6,0.1,0.5
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,2020,"Sep., 2020",2020/09,0.4,0.1,0.3
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,2020,"Oct., 2020",2020/10,0.4,0.1,0.3
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,2020,"Nov., 2020",2020/11,0.8,0.1,0.7
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,2020,"Dec., 2020",2020/12,1.4,0.1,1.3
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,2021,"Jan., 2021",2021/01,1.7,0.1,1.6
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,2021,"Feb., 2021",2021/02,0.9,0.1,0.8
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,2021,"Mar., 2021",2021/03,0.5,0.1,0.4
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,2021,"Apr., 2021",2021/04,0.4,0.1,0.3
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,2021,"May, 2021",2021/05,0.3,0.1,0.2
