Disease,Year,Mean Actual Deaths,Mean Predicted Deaths,Mean Excess Deaths,Total Actual Deaths,Total Predicted Deaths,Total Excess Deaths
Pneumonia,2020,25968.7,11927.5,14041.1,311624.0,143130.3,168493.7
Pneumonia,2021,31219.1,11780.4,19438.6,374629.0,141365.3,233263.7
Pneumonia,2022,19335.4,11635.2,7700.2,232025.0,139622.0,92403.0
Pneumonia,2023,13435.3,11491.7,1943.6,161224.0,137900.3,23323.7
Pneumonia/ARDS,2020,2532.2,322.9,2209.3,30386.0,3874.4,26511.6
Pneumonia/ARDS,2021,3270.9,327.8,2943.2,39251.0,3933.2,35317.8
Pneumonia/ARDS,2022,1096.2,332.7,763.6,13155.0,3992.0,9163.0
Pneumonia/ARDS,2023,440.8,337.7,103.2,5290.0,4052.0,1238.0
Pneumonia/Sepsis,2020,5592.6,3871.9,1720.7,67111.0,46463.0,20648.0
Pneumonia/Sepsis,2021,6379.4,3858.2,2521.2,76553.0,46299.0,30254.0
Pneumonia/Sepsis,2022,4921.1,3826.1,1095.0,59053.0,45913.2,13139.8
Pneumonia/Sepsis,2023,4169.1,3775.4,393.6,50029.0,45305.3,4723.7
