Disease,Model,Model Label,Validation Year,Training Years,Year,Month,Month Code,Deaths,Predicted Deaths,Actual - Predicted Deaths
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2020,"Jan., 2020",2020/01,413.0,432.8,-19.8
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2020,"Feb., 2020",2020/02,369.0,372.6,-3.6
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2020,"Mar., 2020",2020/03,1389.0,403.4,985.6
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2020,"Apr., 2020",2020/04,6576.0,331.8,6244.2
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2020,"May, 2020",2020/05,3008.0,307.6,2700.4
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2020,"Jun., 2020",2020/06,1429.0,269.6,1159.4
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2020,"Jul., 2020",2020/07,2399.0,270.0,2129.0
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2020,"Aug., 2020",2020/08,2540.0,274.5,2265.5
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2020,"Sep., 2020",2020/09,1515.0,263.4,1251.6
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2020,"Oct., 2020",2020/10,1659.0,297.8,1361.2
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2020,"Nov., 2020",2020/11,3172.0,293.9,2878.1
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2020,"Dec., 2020",2020/12,5917.0,357.0,5560.0
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2021,"Jan., 2021",2021/01,6789.0,437.7,6351.3
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2021,"Feb., 2021",2021/02,3644.0,377.5,3266.5
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2021,"Mar., 2021",2021/03,1916.0,408.3,1507.7
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2021,"Apr., 2021",2021/04,1586.0,336.7,1249.3
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2021,"May, 2021",2021/05,1421.0,312.5,1108.5
