outcome,Year,Overall (n),Women (n),Men (n),American Indian or Alaska Native (n),Asian (n),Native Hawaiian or Other Pacific Islander (n),Black or African American (n),White (n),More than one race (n),Population,"Crude rate (/100,000)","AAMR (/100,000), age-adjusted (all ages)"
ARDS (ARDS + Pneumonia),2010,3199.0,1539.0,1660.0,56.0,152.0,0.0,336.0,2655.0,0.0,308745538.0,1.0,1.0
ARDS (ARDS + Pneumonia),2011,3378.0,1650.0,1728.0,42.0,115.0,0.0,393.0,2828.0,0.0,311591917.0,1.1,1.0
ARDS (ARDS + Pneumonia),2012,3086.0,1527.0,1559.0,34.0,144.0,0.0,374.0,2534.0,0.0,313914040.0,1.0,0.9
ARDS (ARDS + Pneumonia),2013,3527.0,1706.0,1821.0,58.0,168.0,0.0,402.0,2899.0,0.0,316128839.0,1.1,1.0
ARDS (ARDS + Pneumonia),2014,3849.0,1894.0,1955.0,62.0,157.0,0.0,435.0,3195.0,0.0,318857056.0,1.2,1.1
ARDS (ARDS + Pneumonia),2015,3621.0,1671.0,1950.0,65.0,161.0,0.0,431.0,2964.0,0.0,321418820.0,1.1,1.0
ARDS (ARDS + Pneumonia),2016,3789.0,1816.0,1973.0,61.0,175.0,0.0,449.0,3104.0,0.0,323127513.0,1.2,1.0
ARDS (ARDS + Pneumonia),2017,3707.0,1756.0,1951.0,55.0,181.0,0.0,447.0,3024.0,0.0,325719178.0,1.1,1.0
ARDS (ARDS + Pneumonia),2018,3750.0,1809.0,1941.0,45.0,162.0,10.0,506.0,2997.0,30.0,327167434.0,1.1,1.0
ARDS (ARDS + Pneumonia),2019,3586.0,1709.0,1877.0,62.0,159.0,10.0,461.0,2875.0,19.0,328239523.0,1.1,0.9
ARDS (ARDS + Pneumonia),2020,30386.0,12115.0,18271.0,610.0,1473.0,116.0,6003.0,22038.0,146.0,329484123.0,9.2,7.4
ARDS (ARDS + Pneumonia),2021,39251.0,15688.0,23563.0,764.0,1531.0,217.0,5465.0,31018.0,256.0,331893745.0,11.8,9.8
ARDS (ARDS + Pneumonia),2022,13155.0,5587.0,7568.0,211.0,547.0,31.0,1589.0,10677.0,100.0,333287557.0,3.9,3.2
ARDS (ARDS + Pneumonia),2023,5290.0,2441.0,2849.0,72.0,286.0,13.0,694.0,4194.0,31.0,334914895.0,1.6,1.3
ARDS (ARDS + Pneumonia),2024,4821.0,2223.0,2598.0,59.0,268.0,13.0,619.0,3829.0,33.0,340110988.0,1.4,1.1
ARDS (ARDS + Pneumonia),2025,4296.0,2081.0,2215.0,62.0,235.0,0.0,568.0,3394.0,29.0,340110988.0,1.3,1.0
ARDS (ARDS + Pneumonia),Total,132691.0,57212.0,75479.0,2318.0,5914.0,410.0,19172.0,104225.0,644.0,5204712154.0,2.5494397398715396,1.0
Pneumonia,2010,156769.0,79403.0,77366.0,1017.0,4563.0,0.0,15740.0,135449.0,0.0,308745538.0,50.8,47.3
Pneumonia,2011,162603.0,82831.0,79772.0,1088.0,4708.0,0.0,16088.0,140719.0,0.0,311591917.0,52.2,47.7
Pneumonia,2012,155098.0,78426.0,76672.0,1028.0,4902.0,0.0,15662.0,133506.0,0.0,313914040.0,49.4,44.4
Pneumonia,2013,160443.0,81259.0,79184.0,1122.0,5361.0,0.0,16397.0,137563.0,0.0,316128839.0,50.8,44.9
Pneumonia,2014,153911.0,76672.0,77239.0,1161.0,5083.0,0.0,16033.0,131634.0,0.0,318857056.0,48.3,42.2
Pneumonia,2015,157289.0,78580.0,78709.0,1147.0,5460.0,0.0,16548.0,134134.0,0.0,321418820.0,48.9,42.1
Pneumonia,2016,149853.0,73655.0,76198.0,1101.0,5405.0,0.0,16291.0,127056.0,0.0,323127513.0,46.4,39.4
Pneumonia,2017,150673.0,74226.0,76447.0,1257.0,5794.0,0.0,16179.0,127443.0,0.0,325719178.0,46.3,38.7
Pneumonia,2018,148498.0,72053.0,76445.0,1119.0,5298.0,199.0,16555.0,124631.0,696.0,327167434.0,45.4,37.4
Pneumonia,2019,140192.0,67571.0,72621.0,1054.0,4898.0,198.0,16149.0,117246.0,647.0,328239523.0,42.7,34.6
Pneumonia,2020,311624.0,138434.0,173190.0,3715.0,11938.0,623.0,46504.0,247546.0,1298.0,329484123.0,94.6,75.6
