outcome,Metric,Pre-pandemic (2010–2019),Pandemic (2020–2023),Post-pandemic (2024–2025)
ARDS (ARDS + Pneumonia),"Total deaths, n","35,492","88,082","9,117"
ARDS (ARDS + Pneumonia),"Male deaths, n (%)","18,415 (51.9%)","52,251 (59.3%)","4,813 (52.8%)"
ARDS (ARDS + Pneumonia),"Female deaths, n (%)","17,077 (48.1%)","35,831 (40.7%)","4,304 (47.2%)"
ARDS (ARDS + Pneumonia),Population,"3,194,909,858","1,329,580,320","680,221,976"
ARDS (ARDS + Pneumonia),"Crude mortality rate (/100,000)",1.1,6.6,1.3
ARDS (ARDS + Pneumonia),"AAMR (/100,000), age-adjusted (all ages)",1.0,5.4,1.0
ARDS (ARDS + Pneumonia),"Male AAMR (/100,000)",1.1,7.0,1.2
ARDS (ARDS + Pneumonia),"Female AAMR (/100,000)",0.9,4.1,0.9
ARDS (ARDS + Pneumonia),"<25 AAMR (/100,000)",0.1,0.2,0.1
ARDS (ARDS + Pneumonia),"25–44 AAMR (/100,000)",0.4,1.8,0.4
ARDS (ARDS + Pneumonia),"45–64 AAMR (/100,000)",1.3,8.1,1.4
ARDS (ARDS + Pneumonia),"65+ AAMR (/100,000)",4.3,23.7,4.8
ARDS (ARDS + Pneumonia),"American Indian or Alaska Native AAMR (/100,000)",1.6,10.6,1.4
ARDS (ARDS + Pneumonia),"Asian AAMR (/100,000)",0.9,4.4,1.0
ARDS (ARDS + Pneumonia),"Native Hawaiian or Other Pacific Islander AAMR (/100,000)",1.6,12.2,1.5
ARDS (ARDS + Pneumonia),"Black or African American AAMR (/100,000)",1.1,7.7,1.2
ARDS (ARDS + Pneumonia),"White AAMR (/100,000)",1.0,5.1,1.1
ARDS (ARDS + Pneumonia),"More than one race AAMR (/100,000)",0.5,2.4,0.5
ARDS (ARDS + Pneumonia),Place of death: Medical Facility N(%),"34,576 (97.4%)","82,521 (93.7%)","8,861 (97.2%)"
ARDS (ARDS + Pneumonia),Place of death: Non-medical facility N(%),875 (2.5%),"5,545 (6.3%)",255 (2.8%)
Pneumonia,"Total deaths, n","1,535,329","1,079,502","308,062"
Pneumonia,"Male deaths, n (%)","770,653 (50.2%)","599,820 (55.6%)","165,382 (53.7%)"
Pneumonia,"Female deaths, n (%)","764,676 (49.8%)","479,682 (44.4%)","142,680 (46.3%)"
Pneumonia,Population,"3,194,909,858","1,329,580,320","680,221,976"
Pneumonia,"Crude mortality rate (/100,000)",48.1,81.2,45.3
Pneumonia,"AAMR (/100,000), age-adjusted (all ages)",41.8,65.7,35.6
Pneumonia,"Male AAMR (/100,000)",50.8,83.3,43.5
Pneumonia,"Female AAMR (/100,000)",35.3,52.0,29.4
Pneumonia,"<25 AAMR (/100,000)",1.3,1.5,1.1
Pneumonia,"25–44 AAMR (/100,000)",4.9,11.6,5.6
Pneumonia,"45–64 AAMR (/100,000)",25.5,58.7,26.4
Pneumonia,"65+ AAMR (/100,000)",268.2,383.0,218.9
Pneumonia,"American Indian or Alaska Native AAMR (/100,000)",40.6,79.7,31.6
Pneumonia,"Asian AAMR (/100,000)",34.2,46.5,26.3
Pneumonia,"Native Hawaiian or Other Pacific Islander AAMR (/100,000)",33.6,76.3,35.1
Pneumonia,"Black or African American AAMR (/100,000)",46.1,83.4,42.1
Pneumonia,"White AAMR (/100,000)",41.6,64.8,35.6
Pneumonia,"More than one race AAMR (/100,000)",16.0,28.3,15.8
Pneumonia,Place of death: Medical Facility N(%),"1,050,133 (68.4%)","851,813 (78.9%)","232,828 (75.6%)"
Pneumonia,Place of death: Non-medical facility N(%),"485,196 (31.6%)","227,675 (21.1%)","75,280 (24.4%)"
Sepsis+ Pneumonia,"Total deaths, n","408,950","252,746","100,119"
Sepsis+ Pneumonia,"Male deaths, n (%)","212,406 (51.9%)","140,909 (55.8%)","54,089 (54.0%)"
Sepsis+ Pneumonia,"Female deaths, n (%)","196,544 (48.1%)","111,837 (44.2%)","46,030 (46.0%)"
Sepsis+ Pneumonia,Population,"3,194,909,858","1,329,580,320","680,221,976"
Sepsis+ Pneumonia,"Crude mortality rate (/100,000)",12.8,19.0,14.7
Sepsis+ Pneumonia,"AAMR (/100,000), age-adjusted (all ages)",11.1,15.3,11.5
Sepsis+ Pneumonia,"Male AAMR (/100,000)",13.5,19.1,14.0
Sepsis+ Pneumonia,"Female AAMR (/100,000)",9.3,12.2,9.5
Sepsis+ Pneumonia,"<25 AAMR (/100,000)",0.2,0.3,0.2
Sepsis+ Pneumonia,"25–44 AAMR (/100,000)",1.5,2.9,1.9
Sepsis+ Pneumonia,"45–64 AAMR (/100,000)",8.9,15.7,9.8
Sepsis+ Pneumonia,"65+ AAMR (/100,000)",67.9,85.3,68.5
Sepsis+ Pneumonia,"American Indian or Alaska Native AAMR (/100,000)",12.4,17.3,10.2
Sepsis+ Pneumonia,"Asian AAMR (/100,000)",9.6,11.9,8.8
Sepsis+ Pneumonia,"Native Hawaiian or Other Pacific Islander AAMR (/100,000)",12.3,18.9,13.9
Sepsis+ Pneumonia,"Black or African American AAMR (/100,000)",15.9,22.1,16.3
Sepsis+ Pneumonia,"White AAMR (/100,000)",10.6,14.7,11.1
Sepsis+ Pneumonia,"More than one race AAMR (/100,000)",4.7,6.9,5.2
Sepsis+ Pneumonia,Place of death: Medical Facility N(%),"359,454 (87.9%)","226,322 (89.5%)","87,666 (87.6%)"
Sepsis+ Pneumonia,Place of death: Non-medical facility N(%),"49,471 (12.1%)","26,419 (10.5%)","12,460 (12.4%)"
