Metric,Pre-pandemic (2010–2019),Pandemic (2020–2023),Post-pandemic (2024–2025)
"Total deaths, n","1,535,329","1,079,502","308,062"
"Male deaths, n (%)","770,653 (50.2%)","599,820 (55.6%)","165,382 (53.7%)"
"Female deaths, n (%)","764,676 (49.8%)","479,682 (44.4%)","142,680 (46.3%)"
Population,"3,194,909,858","1,329,580,320","680,221,976"
"Crude mortality rate (/100,000)",48.1,81.2,45.3
"AAMR (/100,000), age-adjusted (all ages)",41.8,65.7,35.6
"Male AAMR (/100,000)",50.8,83.3,43.5
"Female AAMR (/100,000)",35.3,52.0,29.4
"<25 AAMR (/100,000)",1.3,1.5,1.1
"25–44 AAMR (/100,000)",4.9,11.6,5.6
"45–64 AAMR (/100,000)",25.5,58.7,26.4
"65+ AAMR (/100,000)",268.2,383.0,218.9
"American Indian or Alaska Native AAMR (/100,000)",40.6,79.7,31.6
"Asian AAMR (/100,000)",34.2,46.5,26.3
"Native Hawaiian or Other Pacific Islander AAMR (/100,000)",33.6,76.3,35.1
"Black or African American AAMR (/100,000)",46.1,83.4,42.1
"White AAMR (/100,000)",41.6,64.8,35.6
"More than one race AAMR (/100,000)",16.0,28.3,15.8
Place of death: Medical Facility N(%),"1,050,133 (68.4%)","851,813 (78.9%)","232,828 (75.6%)"
Place of death: Non-medical facility N(%),"485,196 (31.6%)","227,675 (21.1%)","75,280 (24.4%)"
