Metric,Pre-pandemic (2010–2019),Pandemic (2020–2023),Post-pandemic (2024–2025)
"Total deaths, n","1,849,463","972,265","442,319"
"Male deaths, n (%)","906,497 (49.0%)","501,542 (51.6%)","225,311 (50.9%)"
"Female deaths, n (%)","942,966 (51.0%)","470,723 (48.4%)","217,008 (49.1%)"
Population,"3,194,909,858","1,329,580,320","680,221,976"
"Crude mortality rate (/100,000)",57.9,73.1,65.0
"AAMR (/100,000), age-adjusted (all ages)",50.2,58.7,50.7
"Male AAMR (/100,000)",57.1,68.1,57.9
"Female AAMR (/100,000)",45.0,51.4,45.2
"<25 AAMR (/100,000)",1.5,1.5,1.4
"25–44 AAMR (/100,000)",7.7,11.4,8.8
"45–64 AAMR (/100,000)",44.4,58.7,46.5
"65+ AAMR (/100,000)",296.9,330.2,295.2
"American Indian or Alaska Native AAMR (/100,000)",52.3,61.3,47.4
"Asian AAMR (/100,000)",32.5,36.1,30.9
"Native Hawaiian or Other Pacific Islander AAMR (/100,000)",54.4,67.1,56.5
"Black or African American AAMR (/100,000)",75.7,86.7,73.8
"White AAMR (/100,000)",48.1,56.9,49.4
"More than one race AAMR (/100,000)",21.0,26.2,22.0
Place of death: Medical Facility N(%),"1,542,156 (83.4%)","816,846 (84.0%)","369,174 (83.5%)"
Place of death: Non-medical facility N(%),"307,307 (16.6%)","155,411 (16.0%)","73,187 (16.5%)"
