Outcome,Year,Female Deaths,Female AAMR,Male Deaths,Male AAMR,<25 Deaths,<25 AAMR,25-44 Deaths,25-44 AAMR,45-64 Deaths,45-64 AAMR,65+ Deaths,65+ AAMR
Pneumonia/ARDS,2010,1539.00,0.80,1660.00,1.10,82.00,0.08,263.00,0.32,1016.00,1.20,1838.00,4.59
Pneumonia/ARDS,2011,1650.00,0.90,1728.00,1.10,103.00,0.10,310.00,0.38,1111.00,1.29,1848.00,4.48
Pneumonia/ARDS,2012,1527.00,0.80,1559.00,1.00,65.00,0.07,222.00,0.28,1007.00,1.15,1785.00,4.20
Pneumonia/ARDS,2013,1706.00,0.90,1821.00,1.10,76.00,0.07,300.00,0.37,1174.00,1.33,1970.00,4.47
Pneumonia/ARDS,2014,1894.00,1.00,1955.00,1.20,73.00,0.08,358.00,0.45,1405.00,1.60,2005.00,4.45
Pneumonia/ARDS,2015,1671.00,0.90,1950.00,1.20,93.00,0.09,286.00,0.35,1152.00,1.29,2090.00,4.49
Pneumonia/ARDS,2016,1816.00,0.90,1973.00,1.20,69.00,0.07,295.00,0.36,1312.00,1.45,2107.00,4.37
Pneumonia/ARDS,2017,1756.00,0.80,1951.00,1.10,72.00,0.07,306.00,0.37,1188.00,1.31,2136.00,4.32
Pneumonia/ARDS,2018,1809.00,0.90,1941.00,1.10,90.00,0.09,298.00,0.36,1223.00,1.37,2137.00,4.18
Pneumonia/ARDS,2019,1709.00,0.80,1877.00,1.00,83.00,0.08,305.00,0.36,1210.00,1.36,1981.00,3.77
Pneumonia/ARDS,2020,12115.00,5.30,18271.00,9.90,121.00,0.26,1251.00,1.51,8130.00,8.97,20868.00,38.81
Pneumonia/ARDS,2021,15688.00,7.40,23563.00,12.50,250.00,0.24,3406.00,4.03,15040.00,16.90,20547.00,37.60
Pneumonia/ARDS,2022,5587.00,2.50,7568.00,4.00,160.00,0.15,876.00,1.03,4191.00,4.67,7928.00,14.08
Pneumonia/ARDS,2023,2441.00,1.10,2849.00,1.50,104.00,0.10,416.00,0.48,1403.00,1.56,3367.00,5.92
Pneumonia/ARDS,2024,2223.00,1.00,2598.00,1.30,101.00,0.10,386.00,0.43,1283.00,1.45,3051.00,5.16
Pneumonia/ARDS,2025,2081.00,0.90,2215.00,1.10,91.00,0.09,347.00,0.39,1176.00,1.32,2675.00,4.52
Pneumonia/ARDS,Total,57212.00,1.69,75479.00,2.62,1633.00,0.10,9625.00,0.73,43021.00,3.02,78333.00,9.80
