Outcome,Year,Female Deaths,Female AAMR,Male Deaths,Male AAMR,<25 Deaths,<25 AAMR,25-44 Deaths,25-44 AAMR,45-64 Deaths,45-64 AAMR,65+ Deaths,65+ AAMR
Pneumonia/Sepsis,2010,15748.00,8.10,16877.00,12.40,240.00,0.23,1031.00,1.30,6349.00,7.43,25004.00,61.35
Pneumonia/Sepsis,2011,17138.00,8.70,18142.00,12.80,280.00,0.26,1102.00,1.38,7144.00,8.17,26753.00,63.77
Pneumonia/Sepsis,2012,17104.00,8.50,17958.00,12.30,255.00,0.24,1042.00,1.31,7185.00,8.14,26578.00,61.49
Pneumonia/Sepsis,2013,18530.00,9.00,19741.00,13.10,216.00,0.20,1157.00,1.45,7724.00,8.65,29173.00,65.71
Pneumonia/Sepsis,2014,19465.00,9.30,20771.00,13.40,224.00,0.21,1177.00,1.48,8310.00,9.21,30523.00,67.01
Pneumonia/Sepsis,2015,21328.00,10.00,22829.00,14.40,244.00,0.23,1209.00,1.51,8527.00,9.31,34177.00,73.10
Pneumonia/Sepsis,2016,21408.00,9.90,23331.00,14.30,266.00,0.25,1329.00,1.65,9011.00,9.72,34131.00,71.30
Pneumonia/Sepsis,2017,22261.00,10.10,24087.00,14.40,246.00,0.23,1304.00,1.61,8927.00,9.57,35870.00,72.93
Pneumonia/Sepsis,2018,22256.00,9.80,24823.00,14.50,231.00,0.22,1311.00,1.60,9228.00,9.96,36308.00,71.65
Pneumonia/Sepsis,2019,21306.00,9.30,23847.00,13.60,233.00,0.22,1346.00,1.63,8616.00,9.26,34957.00,67.29
Pneumonia/Sepsis,2020,29491.00,12.80,37620.00,20.70,253.00,0.24,2191.00,2.64,14665.00,15.96,50000.00,93.71
Pneumonia/Sepsis,2021,32916.00,14.90,43637.00,23.90,329.00,0.31,3813.00,4.53,20713.00,22.66,51697.00,98.60
Pneumonia/Sepsis,2022,26525.00,11.40,32528.00,17.50,260.00,0.25,2136.00,2.50,12707.00,13.87,43948.00,80.06
Pneumonia/Sepsis,2023,22905.00,9.80,27124.00,14.50,278.00,0.27,1730.00,2.00,9430.00,10.30,38591.00,70.00
Pneumonia/Sepsis,2024,22940.00,9.50,27000.00,14.00,233.00,0.22,1676.00,1.90,9029.00,9.91,39002.00,68.12
Pneumonia/Sepsis,2025,23090.00,9.60,27089.00,14.00,207.00,0.20,1598.00,1.82,8904.00,9.76,39483.00,68.98
Pneumonia/Sepsis,Total,354411.00,10.06,407404.00,15.03,3995.00,0.24,25152.00,1.91,156469.00,10.75,576195.00,72.82
