Outcome,Year,Female Deaths,Female AAMR,Male Deaths,Male AAMR,<25 Deaths,<25 AAMR,25-44 Deaths,25-44 AAMR,45-64 Deaths,45-64 AAMR,65+ Deaths,65+ AAMR
Pneumonia,2010,79403.00,39.60,77366.00,58.60,1596.00,1.51,3919.00,4.92,21516.00,25.16,129733.00,314.18
Pneumonia,2011,82831.00,40.40,79772.00,58.10,1611.00,1.52,4038.00,5.06,22976.00,26.27,133971.00,314.73
Pneumonia,2012,78426.00,37.50,76672.00,54.30,1447.00,1.37,3756.00,4.70,22126.00,25.03,127765.00,292.45
Pneumonia,2013,81259.00,38.10,79184.00,54.20,1400.00,1.33,3931.00,4.90,23157.00,25.99,131951.00,293.88
Pneumonia,2014,76672.00,35.70,77239.00,51.20,1382.00,1.31,4148.00,5.16,24059.00,26.77,124313.00,270.69
Pneumonia,2015,78580.00,35.70,78709.00,50.90,1350.00,1.28,3812.00,4.70,23104.00,25.32,129018.00,274.02
Pneumonia,2016,73655.00,33.10,76198.00,47.80,1372.00,1.30,4104.00,5.05,23730.00,25.68,120643.00,250.66
Pneumonia,2017,74226.00,32.80,76447.00,46.80,1290.00,1.23,3972.00,4.83,23198.00,24.99,122207.00,247.76
Pneumonia,2018,72053.00,31.40,76445.00,45.40,1208.00,1.16,4066.00,4.91,23531.00,25.36,119691.00,236.17
Pneumonia,2019,67571.00,29.10,72621.00,42.10,1221.00,1.19,4103.00,4.93,22591.00,24.37,112274.00,216.51
Pneumonia,2020,138434.00,59.00,173190.00,96.90,1309.00,1.26,8787.00,10.54,55670.00,60.69,245852.00,463.40
Pneumonia,2021,162474.00,73.30,212155.00,118.70,1971.00,1.88,17916.00,21.18,90886.00,100.01,263850.00,508.76
Pneumonia,2022,104323.00,44.20,127702.00,70.50,1572.00,1.53,7497.00,8.78,42134.00,46.10,180819.00,332.44
Pneumonia,2023,74451.00,31.60,86773.00,47.50,1364.00,1.34,5118.00,5.91,25119.00,27.51,129622.00,238.30
Pneumonia,2024,71960.00,29.70,83725.00,44.10,1246.00,1.21,4921.00,5.56,24422.00,26.78,125095.00,221.03
Pneumonia,2025,70720.00,29.20,81657.00,42.90,1100.00,1.07,4891.00,5.54,23734.00,26.08,122702.00,216.70
Pneumonia,Total,1387038.00,38.77,1535855.00,58.18,22439.00,1.34,88979.00,6.71,491953.00,33.88,2319506.00,292.79
