Outcome,Period,State,State Code,Deaths,Population,"Crude rate (/100,000)","AAMR (/100,000)"
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Alabama,1.0,841.0,20144173.0,4.174904574141614,3.3593938356268085
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Alaska,2.0,173.0,2930820.0,5.90278488614108,5.6987387830027085
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Arizona,4.0,3572.0,29488258.0,12.113296078730727,9.629691635226468
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Arkansas,5.0,1123.0,12169782.0,9.227774170482265,7.3758461901782635
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),California,6.0,8317.0,156600449.0,5.310968169701736,4.583801108386349
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Colorado,8.0,2165.0,23337324.0,9.276984799114071,8.225835477109545
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Connecticut,9.0,436.0,14405984.0,3.0265200905401533,2.1944200201805026
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Delaware,10.0,185.0,4040479.0,4.57866505431658,3.4448403765989135
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),District of Columbia,11.0,696.0,2733641.0,25.46054876993724,25.45991306100545
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Florida,12.0,5923.0,88369989.0,6.7025016830091495,4.826179577774984
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Georgia,13.0,2133.0,43451686.0,4.908900427937365,4.325834120682912
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Hawaii,15.0,228.0,5723893.0,3.983302972295254,3.1511905795583535
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Idaho,16.0,510.0,7631595.0,6.682744563882125,5.580714857117026
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Illinois,17.0,1415.0,50390720.0,2.80805672155508,2.2526453581135573
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Indiana,18.0,1630.0,27256174.0,5.980296427517669,4.987460785948901
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Iowa,19.0,531.0,12764161.0,4.160085414152955,3.242617505373052
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Kansas,20.0,557.0,11726083.0,4.750094298326219,3.996328023603448
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Kentucky,21.0,1550.0,18025109.0,8.599115822267706,7.022752777805672
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Louisiana,22.0,2850.0,18433355.0,15.461102984236998,13.03131091979729
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Maine,23.0,139.0,5503450.0,2.52568843180187,1.6730962214610836
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Maryland,24.0,1162.0,24565844.0,4.73014483035877,3.807324002383147
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Massachusetts,25.0,1241.0,27861670.0,4.454147938727291,3.3882427830061865
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Michigan,26.0,1965.0,40088740.0,4.901625743288514,3.824296884860936
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Minnesota,27.0,1393.0,22819831.0,6.104339685951223,4.941229582287441
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Mississippi,28.0,1401.0,11796498.0,11.876406031688386,9.968924548624516
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Missouri,29.0,1598.0,24693848.0,6.47124741352583,5.1203122453819265
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Montana,30.0,319.0,4440527.0,7.183832009128646,5.37163469561158
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Nebraska,31.0,337.0,7847546.0,4.294336089269181,3.663985403844718
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Nevada,32.0,4794.0,12654198.0,37.88466088486999,32.51602588326814
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),New Hampshire,33.0,195.0,5552552.0,3.511898672898516,2.5239414957302517
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),New Jersey,34.0,3165.0,36702041.0,8.623498622324574,6.701575923257238
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),New Mexico,35.0,635.0,8449911.0,7.514872050131652,6.249196861363393
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),New York,36.0,7006.0,78421056.0,8.933825119620934,6.811268097435464
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),North Carolina,37.0,2131.0,42686449.0,4.9922166165660675,4.028852652981278
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),North Dakota,38.0,250.0,3103444.0,8.05556665433628,7.098121055189009
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Ohio,39.0,3329.0,47015227.0,7.080684732203888,5.498955970158349
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Oklahoma,40.0,794.0,16041046.0,4.949801901945796,4.258144980071749
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Oregon,41.0,701.0,16961157.0,4.1329727683082,3.226972151722904
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Pennsylvania,42.0,2732.0,51681001.0,5.286275318080623,3.89677995788046
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Rhode Island,44.0,251.0,4342431.0,5.780172442578823,4.271727472468762
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),South Carolina,45.0,1601.0,21064934.0,7.600308645638291,5.95258821128991
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),South Dakota,46.0,279.0,3617235.0,7.7130736598534515,6.409959568565492
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Tennessee,47.0,1913.0,28039880.0,6.822425773576778,5.575417063125805
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Texas,48.0,8109.0,119421573.0,6.790230438515493,6.5197591636144345
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Utah,49.0,795.0,13386388.0,5.938868647763684,6.518715773067387
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Vermont,50.0,29.0,2563445.0,1.1312901193511076,0.7451076188488538
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Virginia,51.0,1419.0,34632154.0,4.097348377464479,3.319248551505055
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Washington,53.0,2078.0,31030970.0,6.696535751218863,5.588118109101972
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),West Virginia,54.0,589.0,7112973.0,8.28064439440442,5.983023905756426
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Wisconsin,55.0,697.0,23532057.0,2.9619170138845066,2.273060731579904
ARDS (ARDS + Pneumonia),Pandemic (2020-2023),Wyoming,56.0,173.0,2326569.0,7.435842220884057,5.886472698639069
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),Alabama,1.0,188.0,10315398.0,1.8225181422956243,1.4
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),Alaska,2.0,12.0,1480266.0,0.8106651101896551,0.75
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),Arizona,4.0,211.0,15164768.0,1.3913829740092298,1.1
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),Arkansas,5.0,111.0,6176708.0,1.797073781049711,1.45
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),California,6.0,1084.0,78862526.0,1.3745438486208266,1.1500000000000001
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),Colorado,8.0,152.0,11914986.0,1.2757043944491415,1.05
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),Connecticut,9.0,72.0,7350138.0,0.9795734447434864,0.75
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),Delaware,10.0,36.0,2103834.0,1.7111616220671404,1.1500000000000001
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),District of Columbia,11.0,11.0,1404500.0,0.7831968672125312,0.8
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),Florida,12.0,625.0,46744430.0,1.3370576986391747,0.9
